Coac;Marasbot;Conrisc;AntiSquid;Baseline1;Baseline2;UJIAgent1;UJIAgent2
93.97;48.85;43.18;54.38;26.90;33.92;40.73;57.40
94.00;48.86;43.14;54.36;26.79;34.64;40.71;57.50
94.06;48.72;43.04;54.26;26.78;34.52;40.48;57.32
93.96;48.82;43.40;54.10;26.77;34.46;40.40;57.42
93.99;48.90;43.37;54.07;26.76;34.41;40.54;57.32
94.02;48.83;43.54;54.26;26.65;34.82;40.52;57.35
94.09;48.57;43.37;54.50;26.50;34.70;40.30;57.17
94.12;48.66;43.32;54.48;26.49;34.85;40.15;57.27
94.15;48.60;43.35;54.52;26.42;34.80;40.16;57.38
94.18;48.68;43.32;54.50;26.46;35.19;40.15;57.54
94.24;48.55;43.16;54.40;26.45;35.00;40.00;57.43
94.27;48.58;43.36;54.25;26.31;35.01;40.05;57.53
94.23;48.65;43.27;54.29;26.37;35.03;39.94;57.63
94.26;48.79;43.30;54.21;26.28;35.46;40.05;57.65
94.25;48.54;43.21;54.31;26.14;35.34;39.85;57.61
94.28;48.63;43.41;54.23;26.14;35.35;39.77;57.58
94.31;48.70;43.32;54.15;26.01;35.36;39.91;57.67
94.33;48.58;43.53;54.31;25.99;35.59;39.90;57.76
94.44;48.41;43.32;54.35;25.92;35.54;39.71;57.60
94.47;48.26;43.69;54.39;25.85;35.61;39.63;57.50
94.44;48.21;43.72;54.37;25.85;35.56;39.47;57.83
94.46;48.27;43.87;54.35;25.89;35.77;39.52;57.86
94.45;48.22;43.78;54.38;25.77;35.60;39.45;57.64
94.42;48.37;43.60;54.36;25.83;35.67;39.56;57.61
94.39;48.21;43.40;54.34;25.76;35.56;39.99;57.81
94.41;48.16;43.38;54.26;25.98;35.94;39.98;57.89
94.51;48.11;43.29;53.96;26.03;35.78;39.85;57.80
94.54;48.37;43.30;53.83;26.03;35.67;39.84;57.88
94.56;48.37;43.11;53.70;25.91;35.57;40.47;57.79
94.59;48.38;43.02;53.68;26.00;35.83;40.62;57.87
94.57;48.33;42.83;53.56;26.00;35.83;40.50;57.72
94.60;48.31;42.90;53.49;25.88;35.95;40.54;57.80
94.57;48.26;42.77;53.37;25.83;35.85;40.92;57.93
94.53;48.32;42.86;53.41;25.87;36.15;40.91;57.95
94.63;48.33;42.78;53.30;25.86;35.99;40.79;57.70
94.54;48.25;42.90;53.34;25.86;36.11;40.83;57.67
94.57;48.10;42.72;53.27;25.80;36.11;41.19;57.75
94.54;48.06;42.70;53.31;25.68;36.61;41.28;57.83
94.52;47.96;42.52;53.31;25.63;36.56;41.21;57.69
94.55;48.10;42.75;53.19;25.62;36.51;41.15;57.66
94.57;48.00;42.73;53.07;25.52;36.36;41.50;57.79
94.54;48.01;42.81;53.06;25.77;36.53;41.53;57.76
94.58;47.97;42.73;52.71;25.76;36.48;41.46;57.72
94.60;48.05;42.80;52.70;25.86;36.49;41.45;57.59
94.62;47.91;42.68;52.69;25.76;36.44;41.73;57.72
94.59;47.97;42.66;52.68;25.89;36.66;41.72;57.84
94.68;47.88;42.64;52.25;25.99;36.56;41.70;57.76
94.70;47.81;42.66;52.14;25.98;36.71;41.68;57.87
94.72;47.72;42.59;51.99;25.88;36.72;41.91;58.04
94.74;47.73;42.66;51.88;25.82;37.16;41.84;58.16
94.77;47.74;42.50;51.90;25.77;37.07;41.73;57.98
94.79;47.59;42.52;51.89;25.81;37.12;41.81;58.05
94.72;47.50;42.36;51.79;25.72;37.07;42.22;58.21
94.69;47.51;42.25;51.79;25.85;37.36;42.29;58.27
94.63;47.52;42.13;51.67;25.84;37.31;42.18;58.19
94.65;47.65;42.11;51.57;25.75;37.31;42.30;58.26
94.67;47.52;42.05;51.56;25.65;37.22;42.51;58.41
94.69;47.53;42.03;51.65;25.78;37.27;42.58;58.47
94.72;47.49;41.93;51.49;25.82;37.23;42.52;58.30
94.69;47.80;42.04;51.39;25.77;37.14;42.50;58.27
94.62;47.67;41.94;51.34;25.77;37.14;42.74;58.38
94.60;47.68;41.96;51.47;25.94;37.19;42.86;58.30
94.59;47.64;41.81;51.58;25.85;37.10;42.70;58.23
94.61;47.68;41.89;51.62;25.84;37.01;42.73;58.24
94.62;47.64;41.78;51.66;25.80;36.88;42.96;58.26
94.64;47.65;41.81;51.66;25.83;36.98;43.07;58.36
94.67;47.61;41.71;51.55;25.78;36.98;42.97;58.25
94.69;47.69;41.78;51.63;25.74;36.98;42.95;58.17
94.71;47.61;41.72;51.62;25.73;36.90;43.05;58.28
94.73;47.62;41.79;51.74;25.68;36.99;43.11;58.33
94.76;47.58;41.74;51.80;25.59;36.86;42.97;58.22
94.77;47.49;41.89;51.71;25.59;36.87;43.03;58.28
94.79;47.42;41.88;51.71;25.59;36.83;43.08;58.33
94.81;47.51;41.86;51.70;25.58;36.96;43.15;58.43
94.88;47.43;41.80;51.68;25.50;36.84;43.05;58.36
94.89;47.43;41.99;51.63;25.50;36.84;43.03;58.33
94.91;47.43;41.98;51.67;25.45;36.80;43.08;58.31
94.93;47.44;42.05;51.79;25.45;36.89;43.14;58.32
94.95;47.41;41.99;51.80;25.40;36.77;43.00;58.21
94.97;47.60;41.93;51.76;25.40;36.77;43.06;58.15
94.98;47.53;41.84;51.79;25.36;36.74;43.31;58.08
94.96;47.62;41.90;51.87;25.32;36.90;43.37;58.06
95.02;47.47;41.85;52.00;25.28;36.83;43.24;57.87
95.04;47.58;41.95;51.95;25.24;36.79;43.22;57.89
95.02;47.62;41.90;51.91;25.16;36.83;43.34;57.87
94.99;47.67;41.96;51.94;25.12;37.00;43.44;57.88
95.05;47.68;41.83;51.96;25.04;36.96;43.30;57.74
