Coac;Marasbot;Conrisc;AntiSquid;Baseline1;Baseline2;UJIAgent1;UJIAgent2
95.41;47.03;42.52;51.66;23.85;37.62;44.67;57.09
95.41;46.99;42.53;51.69;23.82;37.58;44.70;57.12
95.42;46.99;42.54;51.69;23.79;37.71;44.71;57.14
95.43;46.95;42.50;51.69;23.78;37.68;44.65;57.13
95.42;46.88;42.62;51.71;23.75;37.70;44.62;57.16
95.42;46.87;42.65;51.71;23.72;37.70;44.62;57.17
95.43;46.87;42.69;51.72;23.75;37.78;44.59;57.16
95.45;46.84;42.67;51.69;23.72;37.75;44.55;57.13
95.46;46.84;42.76;51.68;23.73;37.75;44.54;57.11
95.46;46.81;42.78;51.74;23.71;37.73;44.55;57.05
95.45;46.79;42.76;51.77;23.77;37.86;44.56;57.05
95.45;46.76;42.75;51.76;23.75;37.81;44.52;57.02
95.45;46.74;42.79;51.79;23.75;37.79;44.53;57.01
95.44;46.73;42.80;51.76;23.72;37.77;44.56;57.07
95.45;46.75;42.87;51.74;23.79;37.73;44.58;57.09
95.44;46.74;42.85;51.78;23.78;37.68;44.52;57.04
95.44;46.80;42.84;51.74;23.80;37.64;44.51;57.08
95.45;46.76;42.88;51.76;23.80;37.60;44.48;57.14
95.44;46.80;42.90;51.74;23.85;37.66;44.47;57.14
95.43;46.78;42.87;51.74;23.84;37.61;44.43;57.12
95.42;46.80;42.89;51.73;23.82;37.58;44.47;57.16
95.43;46.80;42.88;51.74;23.79;37.55;44.49;57.17
95.43;46.79;42.90;51.74;23.85;37.55;44.52;57.22
95.42;46.76;42.88;51.76;23.83;37.52;44.48;57.17
95.43;46.77;42.93;51.76;23.80;37.53;44.48;57.16
95.42;46.77;42.96;51.74;23.80;37.48;44.51;57.17
95.43;46.80;43.00;51.75;23.84;37.42;44.56;57.19
95.45;46.76;42.98;51.78;23.83;37.37;44.51;57.15
95.44;46.75;43.04;51.74;23.88;37.36;44.48;57.17
95.43;46.74;43.10;51.77;23.85;37.38;44.42;57.18
95.43;46.74;43.15;51.75;23.85;37.38;44.46;57.24
95.46;46.70;43.13;51.78;23.84;37.33;44.40;57.20
95.45;46.67;43.19;51.76;23.87;37.30;44.41;57.22
95.42;46.64;43.16;51.77;23.86;37.27;44.50;57.24
95.41;46.67;43.15;51.79;23.91;37.27;44.52;57.28
95.39;46.65;43.11;51.84;23.88;37.24;44.48;57.24
95.38;46.70;43.22;51.81;23.85;37.24;44.46;57.22
95.39;46.65;43.20;51.79;23.83;37.21;44.51;57.27
95.39;46.64;43.25;51.77;23.95;37.15;44.57;57.28
95.38;46.62;43.22;51.82;23.92;37.13;44.51;57.23
95.37;46.68;43.28;51.77;23.92;37.10;44.53;57.20
95.38;46.67;43.26;51.80;23.89;37.06;44.61;57.20
95.38;46.67;43.27;51.80;23.96;37.06;44.64;57.22
95.41;46.64;43.24;51.75;23.96;37.05;44.60;57.18
95.41;46.68;43.26;51.71;23.99;37.02;44.63;57.17
95.40;46.68;43.24;51.68;23.99;36.99;44.70;57.18
95.41;46.71;43.28;51.70;24.04;36.93;44.73;57.20
95.40;46.69;43.24;51.69;24.04;36.90;44.71;57.16
95.38;46.64;43.33;51.66;24.06;36.89;44.73;57.19
95.35;46.62;43.33;51.64;24.03;36.87;44.79;57.24
95.34;46.62;43.32;51.67;24.11;36.88;44.79;57.28
95.33;46.58;43.27;51.70;24.08;36.85;44.77;57.25
95.34;46.60;43.25;51.70;24.06;36.88;44.77;57.26
95.33;46.57;43.23;51.73;24.05;36.86;44.78;57.30
95.34;46.58;43.23;51.73;24.09;36.95;44.79;57.31
95.36;46.55;43.19;51.69;24.07;36.93;44.77;57.28
95.35;46.54;43.28;51.67;24.09;36.94;44.71;57.29
95.33;46.53;43.27;51.69;24.09;36.97;44.74;57.25
95.32;46.55;43.30;51.70;24.08;37.05;44.76;57.26
95.29;46.52;43.27;51.69;24.09;37.03;44.72;57.21
95.29;46.46;43.31;51.72;24.12;37.05;44.73;57.20
95.29;46.47;43.31;51.69;24.11;37.09;44.74;57.17
95.30;46.44;43.35;51.70;24.13;37.15;44.74;57.19
95.30;46.43;43.31;51.69;24.13;37.12;44.69;57.15
95.28;46.43;43.32;51.72;24.13;37.14;44.70;57.16
95.29;46.47;43.32;51.73;24.15;37.11;44.67;57.14
95.29;46.47;43.32;51.77;24.18;37.14;44.67;57.16
95.26;46.46;43.28;51.81;24.17;37.10;44.63;57.13
95.26;46.45;43.34;51.80;24.15;37.11;44.61;57.14
95.24;46.42;43.32;51.80;24.12;37.08;44.62;57.25
95.24;46.44;43.33;51.79;24.14;37.19;44.61;57.26
95.22;46.42;43.29;51.82;24.13;37.17;44.58;57.21
95.21;46.49;43.30;51.80;24.14;37.17;44.57;57.18
95.19;46.50;43.30;51.80;24.12;37.16;44.58;57.22
95.18;46.53;43.28;51.81;24.12;37.22;44.61;57.24
95.19;46.53;43.23;51.82;24.09;37.20;44.56;57.21
95.18;46.52;43.26;51.80;24.11;37.23;44.53;57.24
95.17;46.51;43.27;51.79;24.11;37.26;44.52;57.24
95.15;46.51;43.25;51.79;24.14;37.39;44.53;57.24
95.16;46.50;43.20;51.85;24.12;37.36;44.48;57.18
95.15;46.55;43.25;51.85;24.10;37.39;44.44;57.15
95.13;46.56;43.23;51.86;24.08;37.39;44.48;57.15
95.13;46.55;43.22;51.88;24.09;37.44;44.50;57.17
95.11;46.54;43.19;51.88;24.08;37.42;44.48;57.15
95.10;46.55;43.22;51.85;24.10;37.46;44.49;57.13
95.11;46.55;43.21;51.87;24.10;37.46;44.55;57.03
95.11;46.54;43.23;51.88;24.13;37.49;44.57;57.05
95.11;46.50;43.18;51.93;24.12;37.44;44.54;57.02
95.11;46.52;43.17;51.95;24.12;37.46;44.52;57.03
95.09;46.48;43.14;51.95;24.12;37.44;44.61;57.04
95.10;46.50;43.16;51.94;24.12;37.50;44.63;57.06
95.12;46.46;43.13;51.96;24.09;37.49;44.61;57.00
95.12;46.49;43.14;51.94;24.08;37.49;44.61;57.00
95.11;46.48;43.14;51.92;24.12;37.50;44.60;57.00
95.12;46.47;43.17;51.94;24.17;37.54;44.60;56.99
95.10;46.47;43.14;51.94;24.14;37.51;44.55;56.99
95.09;46.45;43.17;51.93;24.13;37.53;44.57;57.02
95.10;46.41;43.17;51.92;24.12;37.57;44.58;57.00
95.09;46.40;43.20;51.95;24.16;37.57;44.60;57.03
95.07;46.36;43.18;51.99;24.15;37.55;44.55;56.99
95.06;46.41;43.19;51.98;24.15;37.54;44.55;57.01
95.07;46.38;43.19;51.99;24.12;37.53;44.56;57.04
95.06;46.42;43.17;52.00;24.18;37.57;44.55;57.06
95.07;46.39;43.15;52.02;24.16;37.53;44.50;57.04
95.07;46.41;43.14;52.03;24.13;37.55;44.52;57.03
95.08;46.37;43.16;52.03;24.13;37.55;44.46;57.10
95.07;46.35;43.15;52.04;24.21;37.61;44.48;57.09
95.05;46.34;43.12;52.07;24.20;37.57;44.45;57.06
95.06;46.33;43.20;52.05;24.19;37.55;44.45;57.05
95.06;46.31;43.18;52.05;24.18;37.55;44.45;57.10
95.05;46.30;43.16;52.08;24.26;37.54;44.48;57.13
95.05;46.27;43.13;52.12;24.23;37.50;44.45;57.10
95.05;46.26;43.13;52.14;24.21;37.53;44.47;57.09
95.04;46.27;43.13;52.18;24.21;37.49;44.48;57.08
95.05;46.27;43.13;52.19;24.20;37.55;44.49;57.12
95.04;46.25;43.10;52.24;24.19;37.53;44.44;57.07
95.04;46.29;43.17;52.21;24.17;37.50;44.43;57.08
95.02;46.27;43.14;52.19;24.16;37.49;44.48;57.14
95.02;46.29;43.10;52.22;24.22;37.53;44.51;57.12
95.00;46.26;43.07;52.25;24.19;37.51;44.48;57.08
94.99;46.29;43.09;52.22;24.19;37.54;44.46;57.10
94.99;46.28;43.10;52.24;24.17;37.54;44.44;57.12
94.98;46.29;43.12;52.24;24.21;37.59;44.44;57.14
94.94;46.26;43.08;52.28;24.20;37.56;44.40;57.12
94.94;46.29;43.13;52.25;24.17;37.56;44.40;57.14
94.93;46.27;43.12;52.26;24.16;37.56;44.42;57.15
94.94;46.27;43.13;52.26;24.20;37.63;44.41;57.16
94.93;46.27;43.12;52.29;24.18;37.59;44.38;57.10
94.93;46.28;43.15;52.30;24.17;37.60;44.37;57.09
94.93;46.25;43.17;52.29;24.15;37.58;44.37;57.15
94.92;46.25;43.18;52.28;24.25;37.58;44.38;57.17
94.91;46.22;43.14;52.36;24.22;37.55;44.33;57.12
94.90;46.17;43.20;52.36;24.22;37.55;44.34;57.15
94.89;46.16;43.22;52.36;24.20;37.51;44.37;57.18
94.87;46.19;43.24;52.37;24.20;37.58;44.36;57.19
94.84;46.18;43.22;52.37;24.19;37.55;44.33;57.17
94.83;46.17;43.25;52.36;24.20;37.54;44.35;57.19
94.83;46.17;43.25;52.38;24.18;37.51;44.36;57.20
94.83;46.20;43.30;52.43;24.16;37.51;44.35;57.22
94.81;46.19;43.27;52.43;24.16;37.50;44.31;57.19
94.81;46.20;43.32;52.43;24.15;37.50;44.30;57.19
94.81;46.16;43.31;52.41;24.15;37.47;44.35;57.21
94.82;46.19;43.32;52.44;24.13;37.48;44.38;57.26
94.83;46.16;43.29;52.46;24.14;37.44;44.34;57.21
94.83;46.17;43.30;52.46;24.14;37.41;44.33;57.24
94.84;46.15;43.33;52.46;24.13;37.41;44.30;57.26
94.84;46.19;43.37;52.46;24.09;37.45;44.32;57.28
94.86;46.17;43.35;52.42;24.08;37.44;44.30;57.23
94.84;46.20;43.36;52.44;24.07;37.43;44.31;57.24
94.83;46.18;43.37;52.47;24.06;37.39;44.38;57.21
94.83;46.22;43.40;52.48;24.08;37.35;44.41;57.24
94.81;46.20;43.36;52.51;24.05;37.33;44.39;57.21
94.80;46.18;43.43;52.51;24.05;37.33;44.38;57.20
94.81;46.14;43.44;52.51;24.04;37.32;44.43;57.20
94.80;46.16;43.47;52.53;24.08;37.29;44.43;57.23
94.81;46.15;43.43;52.51;24.06;37.28;44.42;57.21
94.80;46.14;43.45;52.51;24.05;37.29;44.43;57.21
94.78;46.13;43.45;52.50;24.05;37.28;44.46;57.23
94.79;46.15;43.45;52.51;24.08;37.29;44.47;57.25
94.76;46.14;43.41;52.52;24.07;37.27;44.45;57.25
94.75;46.18;43.50;52.48;24.05;37.23;44.46;57.24
94.75;46.15;43.50;52.48;24.04;37.27;44.42;57.28
94.75;46.15;43.53;52.51;24.06;37.28;44.43;57.29
94.75;46.14;43.50;52.49;24.05;37.26;44.41;57.27
94.74;46.15;43.50;52.50;24.07;37.27;44.39;57.27
94.73;46.15;43.49;52.52;24.06;37.27;44.45;57.22
94.73;46.15;43.47;52.52;24.15;37.31;44.43;57.25
94.72;46.13;43.44;52.53;24.14;37.27;44.40;57.23
94.72;46.10;43.49;52.53;24.15;37.27;44.40;57.24
94.71;46.10;43.48;52.51;24.14;37.26;44.42;57.26
94.71;46.12;43.49;52.55;24.17;37.24;44.43;57.30
94.72;46.12;43.45;52.50;24.17;37.20;44.42;57.28
94.73;46.15;43.46;52.51;24.17;37.21;44.43;57.24
94.73;46.14;43.47;52.50;24.16;37.20;44.47;57.22
94.74;46.14;43.46;52.50;24.20;37.26;44.48;57.23
94.73;46.14;43.42;52.51;24.20;37.26;44.44;57.17
94.74;46.14;43.49;52.48;24.21;37.28;44.41;57.15
94.74;46.14;43.50;52.48;24.21;37.26;44.41;57.14
94.75;46.16;43.53;52.48;24.22;37.31;44.41;57.14
94.76;46.16;43.50;52.46;24.23;37.28;44.37;57.12
94.76;46.20;43.51;52.46;24.24;37.28;44.35;57.11
94.77;46.17;43.48;52.46;24.22;37.29;44.36;57.15
94.77;46.20;43.49;52.47;24.23;37.30;44.39;57.15
94.79;46.18;43.45;52.45;24.22;37.28;44.36;57.15
94.78;46.17;43.47;52.45;24.23;37.29;44.35;57.15
94.79;46.16;43.47;52.46;24.21;37.30;44.36;57.15
94.79;46.15;43.44;52.49;24.22;37.40;44.36;57.14
94.80;46.14;43.40;52.51;24.20;37.36;44.34;57.12
94.81;46.11;43.40;52.52;24.21;37.38;44.35;57.12
94.81;46.09;43.38;52.50;24.19;37.36;44.40;57.16
94.82;46.11;43.41;52.51;24.18;37.38;44.39;57.20
94.82;46.09;43.37;52.55;24.18;37.35;44.35;57.16
94.83;46.10;43.38;52.52;24.18;37.39;44.37;57.13
94.83;46.08;43.38;52.52;24.18;37.36;44.40;57.14
94.84;46.07;43.38;52.53;24.23;37.44;44.39;57.11
94.86;46.03;43.36;52.55;24.22;37.41;44.35;57.09
94.86;46.06;43.38;52.52;24.20;37.43;44.36;57.10
94.85;46.07;43.37;52.50;24.18;37.40;44.41;57.10
94.86;46.06;43.37;52.51;24.24;37.42;44.42;57.12
94.87;46.05;43.34;52.50;24.23;37.40;44.40;57.09
94.87;46.06;43.39;52.47;24.22;37.40;44.39;57.11
94.88;46.06;43.37;52.47;24.21;37.38;44.41;57.13
94.88;46.07;43.40;52.49;24.21;37.36;44.43;57.17
94.89;46.06;43.36;52.51;24.20;37.34;44.40;57.11
94.88;46.08;43.41;52.52;24.21;37.33;44.37;57.10
94.89;46.09;43.38;52.52;24.20;37.32;44.38;57.13
94.89;46.09;43.38;52.55;24.18;37.38;44.38;57.14
94.89;46.07;43.35;52.57;24.17;37.35;44.34;57.13
94.89;46.13;43.36;52.54;24.17;37.38;44.30;57.13
94.88;46.10;43.35;52.54;24.18;37.37;44.37;57.10
94.88;46.09;43.37;52.53;24.26;37.37;44.39;57.11
94.87;46.07;43.34;52.51;24.25;37.34;44.36;57.11
94.87;46.11;43.36;52.48;24.26;37.37;44.36;57.10
94.86;46.08;43.38;52.48;24.25;37.37;44.36;57.12
94.86;46.08;43.40;52.45;24.29;37.39;44.37;57.15
94.84;46.05;43.41;52.46;24.27;37.36;44.34;57.15
94.83;46.01;43.50;52.43;24.29;37.38;44.31;57.15
94.83;46.00;43.50;52.45;24.30;37.36;44.30;57.17
94.82;45.98;43.50;52.43;24.34;37.44;44.31;57.19
94.77;45.98;43.48;52.39;24.36;37.43;44.27;57.18
94.78;46.03;43.53;52.38;24.34;37.42;44.29;57.14
94.77;46.00;43.52;52.38;24.36;37.42;44.27;57.18
94.77;46.01;43.51;52.38;24.46;37.43;44.26;57.16
94.78;46.00;43.49;52.35;24.46;37.42;44.23;57.14
94.76;46.04;43.53;52.32;24.46;37.45;44.21;57.12
94.75;46.01;43.54;52.31;24.46;37.46;44.20;57.17
94.75;46.03;43.58;52.32;24.49;37.46;44.21;57.18
94.74;46.02;43.58;52.28;24.49;37.45;44.17;57.16
94.73;46.02;43.61;52.27;24.52;37.45;44.14;57.16
94.72;45.99;43.63;52.30;24.52;37.42;44.15;57.16
94.73;45.98;43.65;52.29;24.61;37.41;44.12;57.20
94.72;45.96;43.62;52.29;24.62;37.40;44.10;57.18
94.71;45.94;43.65;52.26;24.64;37.40;44.11;57.18
94.70;45.93;43.66;52.27;24.64;37.41;44.08;57.20
94.69;45.91;43.67;52.27;24.70;37.46;44.08;57.22
94.69;45.90;43.67;52.18;24.70;37.46;44.07;57.21
94.70;45.84;43.71;52.19;24.71;37.47;44.06;57.23
94.70;45.84;43.70;52.18;24.70;37.48;44.11;57.19
94.71;45.85;43.73;52.16;24.72;37.50;44.11;57.22
94.71;45.85;43.72;52.11;24.72;37.49;44.08;57.19
94.71;45.88;43.76;52.09;24.72;37.50;44.06;57.18
94.69;45.88;43.73;52.09;24.72;37.48;44.07;57.23
94.70;45.88;43.73;52.07;24.77;37.53;44.07;57.26
94.70;45.86;43.70;52.07;24.79;37.52;44.03;57.21
94.71;45.87;43.76;52.03;24.80;37.53;44.03;57.18
94.69;45.84;43.74;52.03;24.78;37.52;44.08;57.22
94.69;45.84;43.73;52.02;24.84;37.56;44.09;57.23
94.70;45.83;43.71;52.01;24.83;37.53;44.07;57.20
94.70;45.78;43.74;52.00;24.84;37.57;44.06;57.22
94.69;45.76;43.71;51.99;24.84;37.56;44.05;57.30
94.68;45.77;43.73;51.99;24.85;37.61;44.07;57.31
94.68;45.76;43.70;51.94;24.86;37.59;44.03;57.32
94.68;45.77;43.70;51.95;24.87;37.58;44.03;57.32
94.68;45.76;43.73;51.95;24.86;37.57;44.03;57.32
94.68;45.75;43.73;51.99;24.89;37.60;44.03;57.32
94.68;45.75;43.72;51.96;24.86;37.57;44.02;57.31
94.69;45.79;43.70;51.96;24.86;37.59;43.99;57.33
94.68;45.77;43.70;51.95;24.85;37.61;43.97;57.36
94.68;45.77;43.72;51.95;24.87;37.66;43.97;57.38
94.67;45.77;43.70;51.94;24.87;37.62;43.94;57.38
94.67;45.81;43.76;51.91;24.88;37.62;43.92;57.35
94.66;45.80;43.74;51.89;24.87;37.62;43.92;57.42
94.66;45.78;43.72;51.90;24.89;37.69;43.92;57.44
94.65;45.77;43.72;51.88;24.89;37.67;43.89;57.42
94.65;45.80;43.78;51.87;24.88;37.66;43.88;57.39
94.64;45.76;43.76;51.86;24.86;37.66;43.92;57.46
94.63;45.75;43.78;51.89;24.91;37.67;43.90;57.46
94.61;45.72;43.76;51.91;24.90;37.65;43.89;57.44
94.59;45.71;43.80;51.92;24.91;37.66;43.88;57.44
94.59;45.69;43.80;51.92;24.90;37.64;43.92;57.44
94.59;45.70;43.82;51.95;24.90;37.67;43.93;57.44
94.59;45.70;43.80;51.94;24.88;37.66;43.90;57.41
94.58;45.74;43.80;51.92;24.88;37.67;43.90;57.42
94.58;45.74;43.81;51.91;24.87;37.65;43.93;57.43
94.58;45.73;43.83;51.91;24.90;37.66;43.93;57.46
94.59;45.71;43.81;51.90;24.89;37.64;43.91;57.44
94.57;45.73;43.84;51.87;24.90;37.65;43.91;57.45
94.57;45.71;43.81;51.86;24.89;37.64;43.93;57.50
94.57;45.70;43.84;51.87;24.89;37.69;43.95;57.50
94.58;45.68;43.80;51.89;24.89;37.66;43.93;57.46
94.57;45.71;43.82;51.89;24.88;37.67;43.92;57.45
94.57;45.69;43.82;51.90;24.86;37.67;43.93;57.48
94.57;45.70;43.83;51.91;24.86;37.71;43.92;57.50
94.57;45.69;43.81;51.91;24.85;37.70;43.89;57.48
94.56;45.72;43.82;51.91;24.84;37.70;43.87;57.48
94.56;45.71;43.85;51.92;24.82;37.69;43.88;57.49
94.56;45.72;43.87;51.93;24.84;37.73;43.86;57.48
94.56;45.70;43.86;51.92;24.83;37.72;43.84;57.46
94.54;45.76;43.92;51.90;24.82;37.70;43.82;57.45
94.54;45.75;43.90;51.92;24.82;37.67;43.84;57.47
94.54;45.76;43.93;51.91;24.83;37.70;43.85;57.47
94.54;45.75;43.89;51.93;24.83;37.68;43.82;57.44
94.55;45.71;43.90;51.93;24.84;37.70;43.85;57.44
94.53;45.70;43.87;51.93;24.83;37.68;43.88;57.49
94.53;45.72;43.85;51.92;24.87;37.72;43.87;57.51
94.54;45.70;43.82;51.97;24.87;37.69;43.84;57.46
94.54;45.73;43.80;51.97;24.90;37.69;43.84;57.46
94.53;45.71;43.78;51.97;24.89;37.67;43.88;57.47
94.53;45.72;43.79;51.95;24.97;37.68;43.90;57.47
94.53;45.70;43.75;52.00;24.96;37.66;43.86;57.43
94.54;45.74;43.76;51.96;24.95;37.67;43.88;57.42
94.54;45.74;43.76;51.95;24.94;37.67;43.89;57.42
94.55;45.74;43.77;51.96;24.97;37.70;43.88;57.44
94.55;45.74;43.74;51.96;24.96;37.67;43.85;57.42
94.55;45.75;43.81;51.95;24.95;37.65;43.85;57.40
94.53;45.76;43.80;51.95;24.93;37.64;43.90;57.40
94.54;45.79;43.84;51.95;24.94;37.61;43.92;57.41
94.54;45.77;43.81;51.96;24.93;37.59;43.89;57.39
94.55;45.83;43.81;51.96;24.92;37.57;43.87;57.40
94.55;45.81;43.79;51.97;24.93;37.56;43.90;57.40
94.56;45.80;43.80;51.98;24.96;37.58;43.90;57.42
94.57;45.79;43.79;51.99;24.94;37.56;43.87;57.38
94.58;45.82;43.80;51.99;24.95;37.56;43.86;57.36
94.58;45.81;43.78;51.97;24.95;37.54;43.89;57.39
94.57;45.81;43.80;51.98;24.98;37.58;43.88;57.40
94.57;45.79;43.77;51.97;24.98;37.55;43.86;57.40
94.58;45.78;43.80;51.97;24.98;37.55;43.87;57.38
94.57;45.77;43.80;51.99;24.96;37.53;43.92;57.38
94.58;45.77;43.78;51.98;25.01;37.56;43.95;57.38
94.59;45.76;43.76;51.96;25.01;37.53;43.91;57.37
94.60;45.78;43.79;51.94;25.01;37.51;43.92;57.38
94.60;45.78;43.78;51.96;25.00;37.49;43.92;57.39
94.60;45.80;43.80;51.98;25.05;37.46;43.91;57.40
94.60;45.78;43.77;52.03;25.04;37.43;43.89;57.36
94.60;45.76;43.77;52.02;25.06;37.43;43.89;57.38
94.58;45.75;43.78;52.03;25.07;37.42;43.86;57.41
94.59;45.75;43.78;52.03;25.15;37.40;43.87;57.44
94.59;45.73;43.77;52.01;25.14;37.39;43.83;57.43
94.59;45.73;43.83;52.00;25.13;37.37;43.84;57.43
94.57;45.72;43.82;52.00;25.12;37.36;43.86;57.46
94.57;45.71;43.83;52.00;25.15;37.39;43.86;57.49
94.56;45.71;43.80;52.01;25.14;37.37;43.85;57.47
94.54;45.78;43.83;51.99;25.13;37.36;43.83;57.45
94.55;45.77;43.82;51.99;25.13;37.37;43.82;57.47
94.54;45.77;43.84;52.00;25.09;37.43;43.84;57.48
94.53;45.78;43.82;51.99;25.08;37.42;43.82;57.46
94.52;45.80;43.82;52.00;25.08;37.42;43.81;57.46
94.53;45.79;43.82;52.02;25.08;37.43;43.77;57.46
94.51;45.81;43.82;52.01;25.08;37.52;43.78;57.47
94.52;45.80;43.79;51.99;25.08;37.50;43.75;57.45
94.51;45.80;43.81;51.98;25.09;37.51;43.76;57.45
94.52;45.81;43.80;51.99;25.09;37.49;43.75;57.47
94.51;45.82;43.80;52.01;25.10;37.53;43.75;57.48
94.52;45.80;43.78;52.03;25.10;37.50;43.73;57.43
94.52;45.82;43.79;52.01;25.10;37.52;43.73;57.44
94.52;45.82;43.78;52.03;25.08;37.51;43.75;57.43
94.52;45.83;43.78;52.03;25.13;37.56;43.74;57.42
94.50;45.81;43.75;52.06;25.11;37.56;43.72;57.39
94.50;45.86;43.75;52.04;25.13;37.56;43.69;57.38
94.48;45.86;43.73;52.04;25.11;37.56;43.71;57.42
94.48;45.86;43.74;52.05;25.13;37.59;43.72;57.44
94.49;45.86;43.70;52.04;25.11;37.57;43.70;57.42
94.50;45.89;43.71;52.07;25.12;37.56;43.67;57.40
94.50;45.88;43.70;52.06;25.11;37.55;43.70;57.41
94.50;45.90;43.70;52.06;25.12;37.61;43.71;57.41
94.50;45.89;43.69;52.01;25.12;37.60;43.69;57.39
94.51;45.92;43.70;52.00;25.12;37.59;43.67;57.41
94.50;45.94;43.70;52.00;25.11;37.56;43.67;57.43
94.51;45.96;43.74;52.02;25.10;37.55;43.68;57.45
94.52;45.94;43.71;52.01;25.08;37.53;43.67;57.44
94.53;45.98;43.71;52.01;25.08;37.53;43.66;57.41
94.53;45.99;43.70;52.02;25.08;37.52;43.66;57.42
94.53;46.02;43.69;52.02;25.10;37.55;43.66;57.43
94.51;46.03;43.66;52.01;25.10;37.55;43.63;57.40
94.52;46.06;43.67;51.99;25.08;37.55;43.64;57.39
94.50;46.07;43.67;51.98;25.06;37.57;43.65;57.41
94.51;46.09;43.67;51.97;25.04;37.63;43.67;57.40
94.51;46.08;43.65;51.98;25.04;37.62;43.64;57.39
94.51;46.11;43.67;51.96;25.04;37.61;43.64;57.38
94.51;46.10;43.67;51.97;25.04;37.61;43.65;57.36
94.52;46.11;43.66;51.99;25.04;37.66;43.65;57.38
94.52;46.10;43.63;51.98;25.04;37.63;43.64;57.36
94.53;46.09;43.67;51.97;25.02;37.64;43.64;57.36
94.53;46.08;43.66;51.97;25.02;37.65;43.65;57.35
94.54;46.08;43.67;51.97;25.06;37.65;43.67;57.36
94.54;46.08;43.65;51.94;25.06;37.64;43.64;57.34
94.55;46.06;43.69;51.94;25.05;37.65;43.66;57.33
94.53;46.05;43.68;51.94;25.04;37.64;43.67;57.36
94.54;46.07;43.69;51.94;25.02;37.70;43.67;57.37
94.54;46.06;43.67;51.94;25.01;37.68;43.66;57.35
94.55;46.09;43.66;51.92;25.01;37.67;43.67;57.36
94.55;46.08;43.64;51.93;25.00;37.66;43.69;57.37
94.55;46.08;43.65;51.94;25.00;37.71;43.69;57.38
94.56;46.06;43.62;51.91;24.99;37.71;43.69;57.36
94.57;46.06;43.63;51.90;25.00;37.71;43.69;57.36
94.57;46.07;43.62;51.89;24.99;37.71;43.69;57.38
94.56;46.05;43.64;51.89;25.02;37.72;43.71;57.41
94.58;46.05;43.61;51.85;25.00;37.71;43.70;57.39
94.57;46.10;43.61;51.86;25.00;37.70;43.69;57.39
94.57;46.08;43.59;51.84;25.00;37.70;43.73;57.41
94.56;46.08;43.61;51.83;25.01;37.74;43.73;57.43
94.58;46.08;43.60;51.80;25.01;37.73;43.71;57.40
94.58;46.08;43.62;51.80;25.00;37.72;43.71;57.42
94.59;46.08;43.62;51.78;25.00;37.72;43.71;57.43
94.58;46.09;43.64;51.79;25.03;37.73;43.72;57.43
94.60;46.08;43.62;51.76;25.02;37.72;43.69;57.41
94.60;46.10;43.64;51.76;25.03;37.72;43.69;57.39
94.60;46.09;43.63;51.76;25.03;37.71;43.71;57.41
94.60;46.08;43.63;51.77;25.03;37.73;43.71;57.44
94.61;46.08;43.61;51.79;25.02;37.71;43.68;57.41
94.60;46.10;43.61;51.78;25.01;37.72;43.68;57.43
94.60;46.08;43.63;51.78;24.99;37.72;43.67;57.45
94.61;46.08;43.66;51.79;24.97;37.77;43.67;57.45
94.61;46.06;43.63;51.79;24.96;37.76;43.66;57.43
94.62;46.07;43.65;51.80;24.94;37.75;43.66;57.44
94.61;46.06;43.63;51.81;24.92;37.75;43.66;57.48
94.61;46.04;43.65;51.82;24.96;37.75;43.66;57.51
94.62;46.05;43.63;51.80;24.95;37.73;43.65;57.48
94.63;46.07;43.64;51.80;24.93;37.74;43.64;57.47
94.61;46.08;43.63;51.78;24.92;37.73;43.64;57.53
94.62;46.08;43.63;51.78;24.91;37.80;43.65;57.54
94.62;46.07;43.62;51.79;24.90;37.77;43.62;57.51
94.62;46.08;43.63;51.77;24.92;37.76;43.63;57.52
94.62;46.05;43.61;51.74;24.91;37.75;43.70;57.53
94.63;46.06;43.64;51.75;24.92;37.75;43.71;57.55
94.64;46.04;43.61;51.74;24.92;37.74;43.68;57.53
94.64;46.07;43.63;51.71;24.93;37.72;43.69;57.54
94.64;46.06;43.62;51.69;24.92;37.71;43.70;57.58
94.64;46.07;43.62;51.69;24.92;37.75;43.72;57.58
94.65;46.05;43.60;51.69;24.92;37.74;43.69;57.57
94.65;46.06;43.60;51.70;24.92;37.74;43.68;57.56
94.64;46.03;43.59;51.69;24.92;37.74;43.75;57.58
94.64;46.04;43.60;51.69;24.90;37.78;43.76;57.58
94.66;46.04;43.58;51.67;24.90;37.76;43.74;57.56
94.66;46.05;43.60;51.65;24.92;37.74;43.75;57.56
94.66;46.03;43.60;51.64;24.92;37.73;43.79;57.57
94.66;46.04;43.60;51.64;24.96;37.71;43.81;57.59
94.67;46.02;43.57;51.66;24.94;37.69;43.79;57.56
94.68;46.04;43.54;51.66;24.94;37.70;43.78;57.58
94.68;46.04;43.52;51.66;24.93;37.67;43.85;57.56
94.68;46.05;43.52;51.67;24.94;37.67;43.87;57.59
94.69;46.03;43.49;51.69;24.94;37.64;43.85;57.57
94.68;46.03;43.51;51.68;24.94;37.66;43.88;57.56
94.67;46.01;43.49;51.66;24.94;37.64;43.92;57.59
94.68;46.01;43.50;51.67;24.97;37.65;43.92;57.61
