Baseline1;Baseline2;Chad;Coac;OneLaneIsEnough;ReinforcedGreediness
 12.45; 17.12; 80.44; 73.79; 59.09; 57.12
 12.44; 17.12; 80.44; 73.79; 59.09; 57.12
 12.44; 17.12; 80.43; 73.79; 59.12; 57.10
 12.43; 17.13; 80.42; 73.79; 59.11; 57.11
 12.44; 17.12; 80.43; 73.80; 59.11; 57.11
 12.43; 17.12; 80.43; 73.81; 59.11; 57.10
 12.42; 17.12; 80.43; 73.83; 59.11; 57.10
 12.40; 17.13; 80.43; 73.83; 59.11; 57.08
 12.41; 17.12; 80.44; 73.83; 59.10; 57.09
 12.43; 17.10; 80.45; 73.84; 59.09; 57.09
 12.42; 17.10; 80.46; 73.83; 59.10; 57.09
 12.42; 17.09; 80.46; 73.85; 59.11; 57.07
 12.43; 17.08; 80.47; 73.84; 59.11; 57.08
 12.44; 17.08; 80.47; 73.84; 59.11; 57.07
 12.44; 17.06; 80.46; 73.84; 59.14; 57.06
 12.44; 17.06; 80.47; 73.84; 59.13; 57.07
 12.45; 17.04; 80.47; 73.83; 59.14; 57.08
 12.45; 17.04; 80.47; 73.83; 59.14; 57.07
 12.43; 17.04; 80.47; 73.86; 59.14; 57.07
 12.43; 17.04; 80.47; 73.86; 59.13; 57.06
 12.44; 17.03; 80.47; 73.87; 59.13; 57.06
 12.45; 17.01; 80.47; 73.87; 59.14; 57.05
 12.45; 17.01; 80.48; 73.87; 59.14; 57.05
 12.44; 17.01; 80.49; 73.88; 59.14; 57.03
 12.45; 17.00; 80.50; 73.88; 59.14; 57.03
 12.45; 17.00; 80.50; 73.89; 59.16; 57.01
 12.43; 17.00; 80.49; 73.90; 59.18; 57.00
 12.42; 17.01; 80.50; 73.90; 59.18; 56.99
 12.44; 16.99; 80.51; 73.90; 59.17; 56.99
 12.43; 17.00; 80.50; 73.91; 59.18; 56.98
 12.43; 17.00; 80.50; 73.93; 59.18; 56.97
 12.42; 17.00; 80.50; 73.94; 59.17; 56.97
 12.41; 17.01; 80.50; 73.95; 59.18; 56.95
 12.41; 17.02; 80.50; 73.96; 59.16; 56.95
 12.41; 17.02; 80.49; 73.97; 59.17; 56.94
 12.40; 17.02; 80.48; 73.99; 59.17; 56.94
 12.40; 17.02; 80.49; 74.00; 59.17; 56.93
 12.39; 17.02; 80.50; 74.01; 59.16; 56.92
 12.38; 17.02; 80.49; 74.01; 59.19; 56.91
 12.37; 17.02; 80.51; 74.01; 59.18; 56.90
 12.38; 17.02; 80.52; 74.00; 59.19; 56.90
 12.38; 17.02; 80.51; 74.02; 59.19; 56.88
 12.39; 17.01; 80.52; 74.03; 59.17; 56.89
 12.40; 17.00; 80.51; 74.03; 59.17; 56.89
 12.40; 16.99; 80.52; 74.02; 59.18; 56.89
 12.39; 17.00; 80.52; 74.03; 59.19; 56.87
 12.40; 16.99; 80.52; 74.03; 59.19; 56.86
 12.41; 16.99; 80.53; 74.04; 59.19; 56.84
 12.41; 16.99; 80.52; 74.06; 59.19; 56.83
 12.40; 17.00; 80.52; 74.06; 59.20; 56.83
 12.38; 17.00; 80.54; 74.04; 59.20; 56.84
 12.40; 16.99; 80.56; 74.02; 59.19; 56.84
 12.40; 17.00; 80.54; 74.02; 59.22; 56.83
 12.40; 16.99; 80.54; 74.03; 59.20; 56.85
 12.40; 16.99; 80.55; 74.04; 59.17; 56.85
 12.42; 16.99; 80.55; 74.04; 59.15; 56.85
 12.42; 17.00; 80.56; 74.05; 59.13; 56.84
 12.41; 17.01; 80.54; 74.07; 59.13; 56.83
 12.42; 16.99; 80.53; 74.07; 59.16; 56.83
 12.43; 17.00; 80.55; 74.05; 59.14; 56.83
 12.42; 17.02; 80.55; 74.06; 59.14; 56.82
 12.41; 17.01; 80.55; 74.06; 59.13; 56.84
 12.42; 17.01; 80.55; 74.06; 59.12; 56.84
 12.42; 17.00; 80.56; 74.05; 59.12; 56.86
 12.42; 17.00; 80.54; 74.05; 59.13; 56.85
 12.42; 17.00; 80.52; 74.06; 59.13; 56.86
 12.44; 16.99; 80.53; 74.04; 59.13; 56.87
 12.44; 17.00; 80.54; 74.03; 59.12; 56.87
 12.45; 17.01; 80.55; 74.02; 59.11; 56.86
 12.46; 17.01; 80.54; 74.04; 59.12; 56.85
 12.46; 17.00; 80.55; 74.03; 59.11; 56.84
 12.47; 16.99; 80.55; 74.03; 59.10; 56.86
 12.46; 16.99; 80.57; 74.02; 59.10; 56.86
 12.46; 16.97; 80.57; 74.04; 59.09; 56.86
 12.46; 16.97; 80.57; 74.04; 59.11; 56.85
 12.49; 16.95; 80.58; 74.03; 59.10; 56.85
 12.48; 16.95; 80.58; 74.04; 59.11; 56.84
 12.48; 16.94; 80.58; 74.04; 59.11; 56.83
 12.49; 16.93; 80.58; 74.03; 59.12; 56.84
 12.49; 16.92; 80.58; 74.04; 59.12; 56.85
 12.48; 16.93; 80.58; 74.05; 59.12; 56.83
 12.50; 16.93; 80.58; 74.04; 59.11; 56.84
 12.49; 16.93; 80.57; 74.06; 59.11; 56.85
 12.50; 16.92; 80.56; 74.08; 59.10; 56.83
 12.52; 16.93; 80.54; 74.06; 59.11; 56.84
 12.51; 16.93; 80.53; 74.04; 59.13; 56.85
 12.51; 16.92; 80.53; 74.05; 59.13; 56.85
 12.52; 16.93; 80.52; 74.06; 59.13; 56.84
 12.52; 16.92; 80.51; 74.06; 59.14; 56.85
 12.51; 16.92; 80.50; 74.06; 59.15; 56.85
 12.50; 16.93; 80.50; 74.07; 59.13; 56.85
 12.50; 16.94; 80.50; 74.08; 59.14; 56.84
 12.51; 16.92; 80.50; 74.08; 59.14; 56.85
 12.51; 16.92; 80.49; 74.07; 59.15; 56.87
 12.50; 16.91; 80.48; 74.09; 59.15; 56.87
 12.49; 16.91; 80.47; 74.10; 59.15; 56.87
 12.50; 16.91; 80.46; 74.10; 59.17; 56.87
 12.50; 16.90; 80.46; 74.09; 59.19; 56.86
 12.50; 16.90; 80.46; 74.08; 59.21; 56.86
 12.50; 16.88; 80.45; 74.09; 59.23; 56.85
 12.50; 16.88; 80.44; 74.08; 59.23; 56.87
 12.51; 16.87; 80.46; 74.05; 59.23; 56.89
 12.51; 16.87; 80.46; 74.06; 59.23; 56.87
 12.52; 16.85; 80.46; 74.07; 59.22; 56.88
 12.52; 16.84; 80.46; 74.08; 59.23; 56.87
 12.55; 16.82; 80.45; 74.07; 59.23; 56.87
 12.54; 16.83; 80.46; 74.08; 59.24; 56.86
 12.54; 16.81; 80.45; 74.10; 59.23; 56.86
 12.54; 16.81; 80.46; 74.08; 59.24; 56.87
 12.55; 16.81; 80.45; 74.07; 59.25; 56.88
 12.55; 16.80; 80.44; 74.08; 59.27; 56.86
 12.55; 16.81; 80.43; 74.10; 59.25; 56.86
 12.54; 16.81; 80.43; 74.10; 59.25; 56.87
 12.55; 16.80; 80.41; 74.10; 59.26; 56.88
 12.55; 16.79; 80.42; 74.11; 59.25; 56.87
 12.56; 16.79; 80.41; 74.12; 59.25; 56.87
 12.55; 16.79; 80.40; 74.13; 59.25; 56.88
 12.55; 16.79; 80.41; 74.14; 59.23; 56.88
 12.54; 16.79; 80.41; 74.15; 59.24; 56.87
 12.53; 16.79; 80.40; 74.16; 59.24; 56.88
 12.54; 16.77; 80.40; 74.15; 59.25; 56.89
 12.55; 16.76; 80.40; 74.16; 59.24; 56.89
 12.54; 16.76; 80.39; 74.16; 59.25; 56.89
 12.53; 16.76; 80.39; 74.15; 59.26; 56.90
 12.54; 16.75; 80.41; 74.13; 59.25; 56.91
 12.55; 16.74; 80.40; 74.14; 59.26; 56.92
 12.54; 16.75; 80.41; 74.12; 59.26; 56.93
 12.54; 16.74; 80.41; 74.11; 59.27; 56.94
 12.56; 16.75; 80.42; 74.10; 59.22; 56.95
 12.56; 16.74; 80.43; 74.11; 59.21; 56.95
 12.56; 16.75; 80.45; 74.11; 59.19; 56.94
 12.56; 16.75; 80.46; 74.11; 59.18; 56.94
 12.56; 16.75; 80.47; 74.11; 59.17; 56.95
 12.55; 16.75; 80.46; 74.11; 59.17; 56.96
 12.54; 16.75; 80.46; 74.11; 59.19; 56.95
 12.54; 16.74; 80.45; 74.12; 59.20; 56.94
 12.57; 16.73; 80.45; 74.11; 59.19; 56.96
 12.58; 16.71; 80.45; 74.12; 59.19; 56.95
 12.57; 16.72; 80.45; 74.13; 59.18; 56.96
 12.57; 16.73; 80.44; 74.14; 59.18; 56.93
 12.56; 16.74; 80.46; 74.13; 59.17; 56.94
 12.55; 16.74; 80.48; 74.12; 59.17; 56.94
 12.54; 16.74; 80.49; 74.12; 59.17; 56.93
 12.57; 16.75; 80.49; 74.13; 59.14; 56.93
 12.58; 16.74; 80.50; 74.13; 59.11; 56.94
 12.58; 16.73; 80.50; 74.13; 59.10; 56.96
 12.58; 16.73; 80.50; 74.13; 59.11; 56.96
 12.60; 16.72; 80.50; 74.14; 59.10; 56.95
 12.60; 16.71; 80.51; 74.12; 59.09; 56.96
 12.62; 16.71; 80.50; 74.12; 59.09; 56.96
 12.61; 16.71; 80.51; 74.12; 59.09; 56.97
 12.61; 16.70; 80.51; 74.11; 59.08; 56.98
 12.63; 16.71; 80.53; 74.08; 59.06; 57.00
 12.65; 16.69; 80.52; 74.08; 59.06; 57.00
 12.64; 16.70; 80.53; 74.08; 59.07; 56.99
 12.65; 16.69; 80.53; 74.09; 59.06; 56.99
 12.66; 16.68; 80.53; 74.07; 59.07; 56.99
 12.67; 16.67; 80.52; 74.06; 59.06; 57.01
 12.66; 16.68; 80.52; 74.06; 59.06; 57.01
 12.67; 16.67; 80.53; 74.06; 59.07; 57.01
 12.67; 16.66; 80.55; 74.05; 59.05; 57.02
 12.67; 16.66; 80.55; 74.04; 59.05; 57.03
 12.67; 16.65; 80.55; 74.04; 59.05; 57.04
 12.66; 16.66; 80.55; 74.04; 59.05; 57.05
 12.65; 16.67; 80.55; 74.03; 59.06; 57.06
 12.64; 16.67; 80.54; 74.02; 59.06; 57.07
 12.63; 16.67; 80.56; 74.00; 59.07; 57.07
 12.62; 16.68; 80.56; 73.98; 59.08; 57.08
 12.61; 16.68; 80.54; 73.99; 59.10; 57.07
 12.61; 16.67; 80.56; 73.97; 59.10; 57.08
 12.61; 16.67; 80.57; 73.98; 59.09; 57.08
 12.61; 16.68; 80.55; 73.97; 59.10; 57.08
 12.61; 16.68; 80.55; 73.98; 59.10; 57.08
 12.60; 16.68; 80.56; 73.98; 59.10; 57.08
 12.60; 16.68; 80.55; 73.99; 59.10; 57.09
 12.60; 16.68; 80.55; 73.98; 59.10; 57.08
 12.59; 16.70; 80.55; 73.97; 59.10; 57.08
 12.58; 16.71; 80.56; 73.97; 59.11; 57.08
 12.58; 16.70; 80.57; 73.96; 59.10; 57.09
 12.58; 16.71; 80.58; 73.96; 59.10; 57.08
 12.57; 16.71; 80.58; 73.95; 59.12; 57.08
 12.57; 16.69; 80.58; 73.95; 59.11; 57.09
 12.57; 16.70; 80.58; 73.95; 59.12; 57.08
 12.57; 16.71; 80.58; 73.94; 59.12; 57.08
 12.57; 16.70; 80.59; 73.93; 59.13; 57.09
 12.56; 16.70; 80.60; 73.92; 59.13; 57.09
 12.56; 16.70; 80.60; 73.91; 59.13; 57.09
 12.56; 16.71; 80.60; 73.89; 59.15; 57.08
 12.55; 16.71; 80.60; 73.91; 59.14; 57.08
 12.55; 16.71; 80.61; 73.89; 59.15; 57.09
 12.55; 16.71; 80.60; 73.91; 59.14; 57.09
 12.56; 16.70; 80.59; 73.91; 59.13; 57.11
 12.55; 16.70; 80.59; 73.92; 59.14; 57.10
 12.55; 16.69; 80.59; 73.91; 59.14; 57.11
 12.55; 16.69; 80.60; 73.90; 59.14; 57.12
 12.56; 16.68; 80.61; 73.89; 59.14; 57.13
 12.55; 16.69; 80.60; 73.88; 59.16; 57.12
 12.56; 16.69; 80.61; 73.86; 59.14; 57.14
 12.56; 16.69; 80.60; 73.87; 59.14; 57.14
 12.56; 16.69; 80.60; 73.87; 59.14; 57.14
 12.55; 16.69; 80.58; 73.89; 59.14; 57.14
 12.57; 16.70; 80.58; 73.91; 59.10; 57.15
 12.56; 16.70; 80.60; 73.89; 59.11; 57.15
 12.56; 16.69; 80.60; 73.89; 59.12; 57.14
 12.56; 16.69; 80.60; 73.90; 59.10; 57.15
 12.57; 16.69; 80.61; 73.90; 59.08; 57.15
 12.56; 16.70; 80.62; 73.91; 59.09; 57.13
 12.57; 16.70; 80.61; 73.90; 59.10; 57.12
 12.58; 16.70; 80.60; 73.92; 59.07; 57.12
 12.60; 16.69; 80.60; 73.91; 59.08; 57.12
 12.60; 16.68; 80.59; 73.92; 59.10; 57.11
 12.59; 16.69; 80.59; 73.93; 59.11; 57.09
 12.59; 16.68; 80.58; 73.93; 59.12; 57.10
 12.60; 16.67; 80.59; 73.92; 59.13; 57.10
 12.59; 16.68; 80.58; 73.94; 59.12; 57.09
 12.60; 16.67; 80.58; 73.96; 59.12; 57.08
 12.60; 16.66; 80.58; 73.94; 59.13; 57.08
 12.60; 16.66; 80.59; 73.94; 59.12; 57.08
 12.59; 16.66; 80.59; 73.95; 59.13; 57.07
 12.58; 16.67; 80.58; 73.97; 59.14; 57.06
 12.58; 16.66; 80.58; 73.98; 59.15; 57.04
 12.57; 16.67; 80.58; 73.98; 59.15; 57.05
 12.57; 16.67; 80.57; 73.99; 59.17; 57.03
 12.57; 16.66; 80.56; 74.01; 59.19; 57.01
 12.57; 16.66; 80.56; 74.00; 59.20; 57.02
 12.57; 16.65; 80.57; 73.99; 59.20; 57.03
 12.57; 16.66; 80.56; 74.00; 59.18; 57.02
 12.57; 16.65; 80.55; 74.02; 59.19; 57.02
 12.57; 16.65; 80.53; 74.01; 59.20; 57.04
 12.57; 16.65; 80.53; 74.01; 59.18; 57.05
 12.59; 16.64; 80.53; 74.01; 59.19; 57.04
 12.59; 16.65; 80.53; 74.03; 59.19; 57.02
 12.59; 16.64; 80.53; 74.03; 59.17; 57.03
 12.59; 16.63; 80.54; 74.03; 59.16; 57.04
 12.60; 16.62; 80.54; 74.03; 59.18; 57.03
 12.60; 16.62; 80.55; 74.03; 59.18; 57.03
 12.60; 16.62; 80.55; 74.01; 59.18; 57.03
 12.62; 16.62; 80.56; 74.02; 59.17; 57.02
 12.61; 16.62; 80.54; 74.03; 59.18; 57.01
 12.61; 16.62; 80.53; 74.03; 59.21; 57.00
 12.60; 16.63; 80.52; 74.02; 59.21; 57.01
 12.60; 16.63; 80.53; 74.01; 59.22; 57.01
 12.59; 16.64; 80.54; 74.01; 59.22; 57.00
 12.58; 16.64; 80.54; 74.01; 59.21; 57.01
 12.59; 16.63; 80.54; 74.02; 59.22; 57.01
 12.59; 16.63; 80.54; 74.03; 59.21; 57.00
 12.58; 16.63; 80.55; 74.03; 59.21; 57.00
 12.60; 16.63; 80.54; 74.02; 59.20; 57.01
 12.60; 16.63; 80.53; 74.03; 59.22; 57.00
 12.60; 16.62; 80.53; 74.03; 59.23; 57.00
 12.60; 16.61; 80.53; 74.04; 59.23; 56.99
 12.59; 16.62; 80.55; 74.03; 59.22; 57.00
 12.59; 16.61; 80.55; 74.04; 59.22; 57.00
 12.59; 16.61; 80.55; 74.04; 59.21; 57.01
 12.58; 16.62; 80.56; 74.03; 59.21; 57.00
 12.59; 16.61; 80.57; 74.01; 59.22; 57.00
 12.59; 16.61; 80.56; 74.02; 59.23; 56.98
 12.59; 16.62; 80.56; 74.02; 59.23; 56.97
 12.58; 16.63; 80.57; 74.01; 59.24; 56.97
 12.58; 16.62; 80.57; 74.00; 59.25; 56.98
 12.59; 16.62; 80.57; 74.02; 59.23; 56.97
 12.59; 16.62; 80.56; 74.02; 59.24; 56.97
 12.58; 16.62; 80.57; 74.02; 59.25; 56.95
 12.59; 16.62; 80.59; 73.99; 59.26; 56.96
 12.59; 16.61; 80.59; 74.00; 59.26; 56.95
 12.60; 16.61; 80.59; 73.99; 59.26; 56.95
 12.60; 16.60; 80.60; 73.98; 59.27; 56.95
 12.61; 16.60; 80.59; 73.97; 59.26; 56.96
 12.62; 16.60; 80.60; 73.97; 59.25; 56.97
 12.62; 16.59; 80.60; 73.97; 59.25; 56.97
 12.61; 16.60; 80.60; 73.96; 59.25; 56.96
 12.61; 16.61; 80.61; 73.97; 59.24; 56.97
 12.61; 16.60; 80.60; 73.98; 59.25; 56.96
 12.61; 16.60; 80.60; 73.99; 59.23; 56.96
 12.60; 16.61; 80.62; 73.98; 59.23; 56.96
 12.60; 16.61; 80.62; 73.98; 59.23; 56.96
 12.60; 16.60; 80.62; 73.98; 59.25; 56.95
 12.61; 16.59; 80.62; 73.98; 59.24; 56.95
 12.61; 16.60; 80.62; 73.99; 59.23; 56.95
 12.60; 16.61; 80.62; 73.98; 59.24; 56.95
 12.61; 16.61; 80.61; 73.99; 59.23; 56.95
 12.60; 16.62; 80.61; 74.00; 59.24; 56.94
 12.60; 16.62; 80.60; 74.01; 59.24; 56.93
 12.59; 16.63; 80.60; 74.01; 59.25; 56.91
 12.59; 16.63; 80.60; 74.01; 59.25; 56.92
 12.58; 16.63; 80.58; 74.03; 59.27; 56.91
 12.57; 16.64; 80.58; 74.04; 59.26; 56.91
 12.57; 16.64; 80.58; 74.04; 59.26; 56.91
 12.57; 16.63; 80.58; 74.06; 59.26; 56.90
 12.57; 16.63; 80.56; 74.07; 59.27; 56.90
 12.58; 16.62; 80.55; 74.09; 59.26; 56.89
 12.58; 16.63; 80.55; 74.09; 59.27; 56.88
 12.57; 16.64; 80.55; 74.09; 59.28; 56.88
 12.57; 16.63; 80.54; 74.10; 59.28; 56.88
 12.57; 16.63; 80.54; 74.12; 59.28; 56.87
 12.57; 16.64; 80.54; 74.12; 59.29; 56.85
 12.57; 16.64; 80.53; 74.12; 59.31; 56.83
 12.56; 16.64; 80.52; 74.13; 59.33; 56.82
 12.58; 16.63; 80.52; 74.13; 59.32; 56.82
 12.58; 16.64; 80.51; 74.14; 59.34; 56.79
 12.58; 16.63; 80.50; 74.15; 59.34; 56.80
 12.58; 16.64; 80.50; 74.14; 59.34; 56.80
 12.59; 16.63; 80.49; 74.15; 59.33; 56.81
 12.58; 16.65; 80.48; 74.17; 59.33; 56.79
 12.57; 16.66; 80.48; 74.18; 59.32; 56.79
 12.58; 16.65; 80.48; 74.20; 59.33; 56.78
 12.59; 16.63; 80.48; 74.20; 59.33; 56.77
 12.59; 16.63; 80.48; 74.20; 59.33; 56.77
 12.58; 16.62; 80.48; 74.22; 59.32; 56.76
 12.58; 16.62; 80.48; 74.23; 59.32; 56.76
 12.58; 16.62; 80.48; 74.23; 59.31; 56.77
 12.58; 16.62; 80.48; 74.24; 59.32; 56.76
 12.58; 16.63; 80.46; 74.25; 59.32; 56.76
 12.58; 16.62; 80.47; 74.26; 59.33; 56.75
 12.58; 16.62; 80.46; 74.25; 59.34; 56.75
 12.58; 16.61; 80.46; 74.25; 59.35; 56.75
 12.57; 16.62; 80.46; 74.26; 59.35; 56.74
 12.56; 16.62; 80.46; 74.27; 59.36; 56.73
 12.56; 16.62; 80.47; 74.28; 59.35; 56.72
 12.56; 16.62; 80.47; 74.29; 59.36; 56.71
 12.56; 16.62; 80.47; 74.30; 59.35; 56.71
 12.55; 16.62; 80.49; 74.28; 59.35; 56.71
 12.56; 16.62; 80.49; 74.28; 59.36; 56.71
 12.55; 16.62; 80.49; 74.28; 59.35; 56.72
 12.56; 16.61; 80.47; 74.29; 59.35; 56.71
 12.57; 16.61; 80.48; 74.28; 59.34; 56.73
 12.56; 16.61; 80.47; 74.27; 59.36; 56.73
 12.56; 16.61; 80.46; 74.28; 59.38; 56.71
 12.56; 16.61; 80.44; 74.30; 59.39; 56.71
 12.57; 16.60; 80.45; 74.29; 59.38; 56.71
 12.57; 16.61; 80.46; 74.28; 59.39; 56.70
 12.56; 16.60; 80.48; 74.27; 59.40; 56.69
 12.57; 16.60; 80.46; 74.26; 59.41; 56.70
 12.57; 16.61; 80.47; 74.25; 59.39; 56.71
 12.57; 16.60; 80.47; 74.25; 59.39; 56.71
 12.57; 16.61; 80.47; 74.24; 59.38; 56.72
 12.57; 16.61; 80.48; 74.23; 59.39; 56.72
 12.57; 16.62; 80.48; 74.23; 59.37; 56.73
 12.57; 16.63; 80.48; 74.22; 59.37; 56.74
 12.58; 16.61; 80.48; 74.22; 59.36; 56.74
 12.58; 16.62; 80.47; 74.21; 59.38; 56.75
 12.59; 16.61; 80.47; 74.22; 59.36; 56.76
 12.59; 16.62; 80.48; 74.21; 59.36; 56.75
 12.58; 16.62; 80.47; 74.22; 59.36; 56.74
 12.60; 16.61; 80.45; 74.23; 59.36; 56.74
 12.61; 16.61; 80.46; 74.23; 59.35; 56.75
 12.61; 16.61; 80.46; 74.21; 59.35; 56.77
 12.61; 16.61; 80.47; 74.21; 59.34; 56.76
 12.62; 16.60; 80.46; 74.22; 59.34; 56.76
 12.61; 16.61; 80.46; 74.21; 59.34; 56.77
 12.61; 16.61; 80.46; 74.21; 59.34; 56.77
 12.61; 16.61; 80.45; 74.21; 59.35; 56.77
 12.60; 16.62; 80.43; 74.22; 59.36; 56.77
 12.61; 16.61; 80.43; 74.22; 59.33; 56.78
 12.62; 16.62; 80.43; 74.22; 59.32; 56.78
 12.62; 16.62; 80.43; 74.22; 59.32; 56.79
 12.62; 16.63; 80.42; 74.21; 59.32; 56.80
 12.62; 16.63; 80.41; 74.20; 59.32; 56.81
 12.62; 16.63; 80.42; 74.21; 59.31; 56.81
 12.61; 16.63; 80.42; 74.21; 59.32; 56.81
 12.60; 16.64; 80.40; 74.20; 59.33; 56.83
 12.61; 16.63; 80.40; 74.21; 59.34; 56.82
 12.60; 16.65; 80.39; 74.22; 59.33; 56.81
 12.60; 16.64; 80.38; 74.22; 59.36; 56.80
 12.61; 16.64; 80.37; 74.23; 59.37; 56.78
 12.61; 16.64; 80.37; 74.24; 59.37; 56.77
 12.60; 16.65; 80.37; 74.23; 59.39; 56.76
 12.60; 16.64; 80.36; 74.23; 59.39; 56.77
 12.59; 16.65; 80.36; 74.23; 59.42; 56.76
 12.59; 16.64; 80.36; 74.24; 59.40; 56.76
 12.58; 16.66; 80.36; 74.25; 59.40; 56.75
 12.58; 16.65; 80.34; 74.25; 59.43; 56.74
 12.57; 16.66; 80.34; 74.26; 59.42; 56.74
 12.57; 16.65; 80.33; 74.27; 59.43; 56.74
 12.56; 16.66; 80.33; 74.27; 59.42; 56.76
 12.57; 16.67; 80.32; 74.27; 59.42; 56.75
 12.57; 16.67; 80.31; 74.28; 59.43; 56.74
 12.57; 16.67; 80.31; 74.28; 59.43; 56.75
 12.56; 16.68; 80.32; 74.27; 59.43; 56.74
 12.55; 16.70; 80.31; 74.28; 59.43; 56.73
 12.55; 16.70; 80.29; 74.29; 59.45; 56.73
 12.54; 16.72; 80.29; 74.28; 59.45; 56.74
 12.54; 16.72; 80.29; 74.27; 59.43; 56.74
 12.55; 16.72; 80.29; 74.26; 59.44; 56.74
 12.55; 16.72; 80.28; 74.27; 59.45; 56.74
 12.54; 16.72; 80.27; 74.27; 59.45; 56.74
 12.53; 16.75; 80.27; 74.28; 59.45; 56.73
 12.53; 16.76; 80.25; 74.28; 59.46; 56.72
 12.55; 16.74; 80.24; 74.29; 59.46; 56.71
 12.54; 16.75; 80.25; 74.28; 59.46; 56.71
 12.54; 16.76; 80.25; 74.29; 59.45; 56.70
 12.54; 16.76; 80.24; 74.30; 59.46; 56.69
 12.54; 16.77; 80.22; 74.29; 59.47; 56.71
 12.54; 16.77; 80.22; 74.30; 59.46; 56.70
 12.54; 16.78; 80.23; 74.29; 59.45; 56.71
 12.56; 16.77; 80.22; 74.28; 59.45; 56.71
 12.55; 16.77; 80.22; 74.29; 59.44; 56.72
 12.55; 16.77; 80.22; 74.29; 59.45; 56.72
 12.54; 16.77; 80.22; 74.30; 59.46; 56.71
 12.54; 16.77; 80.22; 74.31; 59.46; 56.70
 12.55; 16.78; 80.22; 74.31; 59.45; 56.70
 12.54; 16.78; 80.21; 74.31; 59.45; 56.71
 12.54; 16.78; 80.21; 74.32; 59.45; 56.70
 12.53; 16.79; 80.22; 74.31; 59.45; 56.70
 12.54; 16.78; 80.22; 74.30; 59.45; 56.71
 12.54; 16.77; 80.22; 74.30; 59.46; 56.71
 12.54; 16.77; 80.21; 74.30; 59.48; 56.70
 12.54; 16.77; 80.21; 74.31; 59.46; 56.71
 12.55; 16.77; 80.22; 74.32; 59.45; 56.70
 12.54; 16.78; 80.22; 74.32; 59.45; 56.69
 12.54; 16.78; 80.22; 74.32; 59.45; 56.69
 12.53; 16.79; 80.22; 74.30; 59.44; 56.71
 12.55; 16.78; 80.23; 74.30; 59.43; 56.72
 12.55; 16.77; 80.23; 74.30; 59.43; 56.72
 12.56; 16.77; 80.23; 74.31; 59.41; 56.72
 12.56; 16.77; 80.23; 74.31; 59.42; 56.71
 12.56; 16.76; 80.22; 74.32; 59.42; 56.71
 12.56; 16.77; 80.22; 74.33; 59.41; 56.72
 12.56; 16.77; 80.22; 74.32; 59.41; 56.72
 12.56; 16.77; 80.22; 74.30; 59.42; 56.73
 12.57; 16.76; 80.22; 74.31; 59.42; 56.73
 12.58; 16.76; 80.21; 74.31; 59.42; 56.72
 12.58; 16.75; 80.21; 74.32; 59.42; 56.73
 12.57; 16.75; 80.21; 74.32; 59.41; 56.73
 12.58; 16.74; 80.21; 74.33; 59.41; 56.73
 12.58; 16.74; 80.21; 74.33; 59.42; 56.72
 12.57; 16.74; 80.21; 74.33; 59.42; 56.72
 12.57; 16.74; 80.22; 74.33; 59.41; 56.73
 12.58; 16.73; 80.23; 74.32; 59.40; 56.74
 12.58; 16.73; 80.24; 74.31; 59.40; 56.75
 12.58; 16.74; 80.23; 74.28; 59.41; 56.76
 12.57; 16.74; 80.23; 74.27; 59.41; 56.76
 12.57; 16.74; 80.23; 74.27; 59.42; 56.77
 12.58; 16.73; 80.23; 74.28; 59.43; 56.76
 12.57; 16.74; 80.22; 74.27; 59.43; 56.77
 12.57; 16.74; 80.23; 74.27; 59.43; 56.76
 12.56; 16.74; 80.23; 74.28; 59.42; 56.76
 12.57; 16.74; 80.22; 74.27; 59.43; 56.76
 12.57; 16.75; 80.21; 74.28; 59.43; 56.76
 12.57; 16.75; 80.21; 74.28; 59.42; 56.75
 12.57; 16.75; 80.21; 74.29; 59.42; 56.75
 12.59; 16.74; 80.22; 74.30; 59.41; 56.75
 12.60; 16.73; 80.23; 74.28; 59.40; 56.76
 12.60; 16.72; 80.24; 74.29; 59.40; 56.75
 12.60; 16.74; 80.24; 74.29; 59.38; 56.76
 12.61; 16.73; 80.24; 74.29; 59.37; 56.75
 12.61; 16.73; 80.26; 74.28; 59.36; 56.76
 12.60; 16.73; 80.24; 74.29; 59.39; 56.75
 12.60; 16.75; 80.24; 74.29; 59.38; 56.75
 12.60; 16.75; 80.25; 74.28; 59.38; 56.74
 12.62; 16.75; 80.27; 74.25; 59.36; 56.75
 12.62; 16.75; 80.26; 74.25; 59.37; 56.75
 12.61; 16.76; 80.26; 74.26; 59.36; 56.76
 12.63; 16.76; 80.27; 74.24; 59.35; 56.75
 12.63; 16.76; 80.27; 74.24; 59.34; 56.76
 12.63; 16.76; 80.28; 74.23; 59.34; 56.76
 12.62; 16.76; 80.29; 74.24; 59.33; 56.76
 12.63; 16.75; 80.29; 74.24; 59.33; 56.76
 12.64; 16.75; 80.30; 74.23; 59.33; 56.75
 12.63; 16.75; 80.30; 74.24; 59.34; 56.74
 12.63; 16.76; 80.29; 74.24; 59.34; 56.75
 12.63; 16.75; 80.30; 74.25; 59.34; 56.74
 12.64; 16.74; 80.31; 74.25; 59.32; 56.74
 12.63; 16.75; 80.31; 74.26; 59.32; 56.73
 12.63; 16.75; 80.31; 74.24; 59.34; 56.74
