Baseline1;Baseline2;Chad;Coac;OneLaneIsEnough;ReinforcedGreediness
 11.32; 15.66; 79.72; 73.96; 59.25; 60.09
 11.31; 15.70; 79.81; 73.83; 59.16; 60.19
 11.30; 15.74; 79.63; 73.80; 59.26; 60.28
 11.19; 15.87; 79.72; 73.67; 59.27; 60.28
 11.18; 15.82; 79.55; 73.73; 59.55; 60.18
 11.17; 15.86; 79.37; 73.69; 59.73; 60.18
 11.34; 15.80; 79.20; 73.66; 59.73; 60.27
 11.33; 15.75; 79.38; 73.54; 59.73; 60.27
 11.40; 15.70; 79.30; 73.68; 59.91; 60.00
 11.39; 15.65; 79.39; 73.65; 59.91; 60.00
 11.38; 15.69; 79.40; 73.53; 59.91; 60.09
 11.28; 15.81; 79.49; 73.42; 59.83; 60.17
 11.19; 15.85; 79.49; 73.47; 59.83; 60.17
 11.09; 15.88; 79.50; 73.53; 59.92; 60.08
 11.17; 15.92; 79.50; 73.58; 59.83; 60.00
 11.32; 15.95; 79.50; 73.39; 59.75; 60.08
 11.39; 15.90; 79.34; 73.44; 59.84; 60.08
 11.38; 15.93; 79.35; 73.33; 59.76; 60.24
 11.29; 15.97; 79.44; 73.15; 59.84; 60.32
 11.28; 15.92; 79.52; 72.96; 59.84; 60.48
 11.43; 15.87; 79.44; 73.10; 59.68; 60.48
 11.34; 15.91; 79.45; 73.23; 59.76; 60.31
 11.25; 15.94; 79.45; 73.12; 59.84; 60.39
 11.16; 15.97; 79.53; 73.10; 59.77; 60.47
 11.15; 15.92; 79.46; 73.23; 59.77; 60.46
 11.15; 15.88; 79.54; 73.21; 59.77; 60.46
 11.21; 15.83; 79.47; 73.18; 59.85; 60.45
 11.13; 15.86; 79.55; 73.08; 59.85; 60.53
 11.19; 15.75; 79.55; 73.21; 59.93; 60.37
 11.11; 15.78; 79.63; 73.26; 59.78; 60.44
 11.03; 15.81; 79.63; 73.31; 59.78; 60.44
 11.09; 15.84; 79.64; 73.36; 59.56; 60.51
 11.30; 15.72; 79.64; 73.33; 59.57; 60.43
 11.22; 15.76; 79.71; 73.31; 59.42; 60.58
 11.14; 15.86; 79.79; 73.21; 59.29; 60.71
 11.21; 15.82; 79.79; 73.12; 59.22; 60.85
 11.20; 15.85; 79.72; 73.24; 59.15; 60.85
 11.19; 15.80; 79.79; 73.22; 59.16; 60.84
 11.11; 15.83; 79.79; 73.26; 59.10; 60.90
 11.31; 15.72; 79.72; 73.10; 59.17; 60.97
 11.37; 15.75; 79.66; 73.22; 59.11; 60.89
 11.36; 15.78; 79.59; 73.33; 59.05; 60.88
 11.35; 15.88; 79.53; 73.38; 58.85; 61.01
 11.34; 15.91; 79.53; 73.29; 58.79; 61.14
 11.40; 15.93; 79.47; 73.40; 58.73; 61.07
 11.32; 15.96; 79.54; 73.38; 58.81; 60.99
 11.25; 16.05; 79.54; 73.36; 58.75; 61.05
 11.24; 16.08; 79.67; 73.33; 58.56; 61.11
 11.23; 16.04; 79.55; 73.38; 58.70; 61.10
 11.23; 16.06; 79.68; 73.23; 58.65; 61.16
 11.22; 16.09; 79.68; 73.21; 58.65; 61.15
 11.27; 16.18; 79.75; 72.99; 58.60; 61.21
 11.27; 16.14; 79.68; 72.97; 58.73; 61.20
 11.32; 16.10; 79.81; 72.96; 58.62; 61.19
 11.25; 16.12; 79.75; 73.00; 58.63; 61.25
 11.18; 16.21; 79.75; 73.04; 58.57; 61.24
 11.23; 16.23; 79.69; 73.09; 58.58; 61.17
 11.41; 16.38; 79.57; 73.19; 58.59; 60.86
 11.46; 16.34; 79.63; 73.23; 58.54; 60.79
 11.52; 16.30; 79.58; 73.39; 58.55; 60.67
 11.57; 16.27; 79.58; 73.31; 58.61; 60.66
 11.68; 16.41; 79.40; 73.41; 58.68; 60.42
 11.61; 16.43; 79.46; 73.33; 58.81; 60.36
 11.54; 16.57; 79.29; 73.43; 58.88; 60.30
 11.59; 16.47; 79.29; 73.41; 59.00; 60.24
 11.58; 16.61; 79.12; 73.45; 59.18; 60.06
 11.69; 16.57; 79.13; 73.49; 59.07; 60.06
 11.62; 16.59; 79.13; 73.58; 59.13; 59.94
 11.55; 16.61; 79.14; 73.51; 59.20; 60.00
 11.60; 16.74; 78.91; 73.54; 59.31; 59.89
 11.59; 16.70; 78.98; 73.52; 59.26; 59.94
 11.64; 16.67; 78.93; 73.67; 59.32; 59.77
 11.69; 16.57; 78.93; 73.76; 59.33; 59.72
 11.68; 16.59; 78.83; 73.85; 59.50; 59.55
 11.72; 16.56; 78.78; 74.00; 59.44; 59.50
 11.77; 16.52; 78.78; 74.03; 59.50; 59.39
 11.81; 16.48; 78.63; 74.12; 59.56; 59.40
 11.80; 16.56; 78.52; 74.21; 59.56; 59.34
 11.85; 16.47; 78.53; 74.24; 59.51; 59.40
 11.89; 16.43; 78.43; 74.27; 59.62; 59.35
 11.94; 16.34; 78.49; 74.25; 59.62; 59.35
 11.87; 16.47; 78.40; 74.28; 59.73; 59.25
 11.81; 16.49; 78.51; 74.26; 59.63; 59.31
 11.80; 16.51; 78.52; 74.34; 59.63; 59.21
 11.89; 16.42; 78.53; 74.42; 59.53; 59.21
 11.83; 16.60; 78.43; 74.50; 59.53; 59.11
 11.82; 16.61; 78.39; 74.48; 59.53; 59.17
 11.87; 16.58; 78.29; 74.56; 59.64; 59.07
 11.91; 16.49; 78.30; 74.54; 59.69; 59.07
 11.95; 16.51; 78.26; 74.62; 59.79; 58.87
 11.99; 16.48; 78.32; 74.59; 59.74; 58.88
 11.93; 16.50; 78.38; 74.62; 59.80; 58.78
 11.92; 16.46; 78.43; 74.65; 59.80; 58.74
 11.86; 16.58; 78.39; 74.72; 59.85; 58.59
 11.85; 16.55; 78.45; 74.65; 59.85; 58.65
 11.79; 16.57; 78.46; 74.58; 60.00; 58.61
 11.78; 16.58; 78.47; 74.65; 59.95; 58.56
 11.72; 16.70; 78.47; 74.63; 59.95; 58.52
 11.67; 16.72; 78.48; 74.75; 59.90; 58.48
 11.66; 16.68; 78.49; 74.83; 59.85; 58.49
 11.75; 16.65; 78.50; 74.90; 59.81; 58.40
 11.79; 16.67; 78.55; 74.93; 59.81; 58.26
 11.78; 16.73; 78.51; 74.90; 59.76; 58.32
 11.87; 16.75; 78.52; 74.78; 59.86; 58.23
 11.81; 16.76; 78.52; 74.86; 59.81; 58.24
 11.75; 16.82; 78.58; 74.83; 59.86; 58.15
 11.70; 16.84; 78.63; 74.86; 59.81; 58.16
 11.78; 16.76; 78.64; 74.88; 59.86; 58.08
 11.82; 16.78; 78.69; 74.77; 59.86; 58.08
 11.77; 16.84; 78.70; 74.74; 59.86; 58.09
 11.85; 16.81; 78.66; 74.72; 59.77; 58.19
 11.84; 16.77; 78.71; 74.79; 59.72; 58.16
 11.88; 16.79; 78.76; 74.82; 59.68; 58.07
 11.83; 16.94; 78.77; 74.79; 59.73; 57.95
 11.86; 16.91; 78.77; 74.77; 59.64; 58.05
 11.81; 16.92; 78.73; 74.80; 59.73; 58.01
 11.76; 17.03; 78.74; 74.82; 59.68; 57.97
 11.79; 17.00; 78.74; 74.75; 59.73; 57.98
 11.79; 17.01; 78.62; 74.78; 59.82; 57.99
 11.73; 17.02; 78.58; 74.89; 59.82; 57.96
 11.77; 16.99; 78.63; 74.87; 59.82; 57.92
 11.72; 17.05; 78.55; 74.89; 59.91; 57.89
 11.71; 17.02; 78.55; 74.91; 59.87; 57.94
 11.75; 16.99; 78.56; 74.89; 59.91; 57.90
 11.74; 17.00; 78.61; 74.91; 59.91; 57.83
 11.69; 17.10; 78.53; 74.89; 59.96; 57.84
 11.72; 17.07; 78.45; 74.83; 60.00; 57.93
 11.76; 17.00; 78.50; 74.85; 59.96; 57.94
 11.75; 17.01; 78.55; 74.91; 59.91; 57.86
 11.70; 17.06; 78.60; 74.89; 59.87; 57.87
 11.74; 16.99; 78.56; 74.87; 59.92; 57.92
 11.77; 16.92; 78.57; 74.85; 60.00; 57.89
 11.76; 16.93; 78.57; 74.79; 60.08; 57.86
 11.72; 16.95; 78.66; 74.69; 60.13; 57.87
 11.79; 16.88; 78.62; 74.67; 60.12; 57.92
 11.78; 16.89; 78.59; 74.73; 60.17; 57.84
 11.78; 16.90; 78.60; 74.63; 60.21; 57.89
 11.77; 16.91; 78.60; 74.61; 60.25; 57.86
 11.76; 16.89; 78.61; 74.63; 60.25; 57.87
 11.76; 16.98; 78.53; 74.73; 60.16; 57.84
 11.71; 17.03; 78.58; 74.67; 60.12; 57.89
 11.66; 17.04; 78.58; 74.74; 60.04; 57.94
 11.65; 17.10; 78.59; 74.68; 60.04; 57.94
