AntiSquid;Baseline1;Baseline2;Chad;Coac;Conrisc;Fabbiamo;Marasbot;ProphetCoac;ReinforcedGreediness;UJIAgent1;UJIAgent2;UJIAgent3
 44.10; 20.83; 28.56; 79.43; 78.73; 36.28; 44.53; 54.60; 59.64; 64.06; 41.75; 55.56; 41.93
 43.62; 20.75; 28.66; 79.25; 78.91; 36.14; 45.07; 54.68; 59.52; 64.20; 41.92; 55.36; 41.92
 43.58; 20.58; 29.00; 78.83; 79.08; 36.25; 45.42; 54.33; 59.75; 63.83; 41.92; 55.42; 42.00
 43.87; 20.67; 29.33; 78.59; 78.76; 35.87; 45.26; 54.41; 59.23; 64.05; 42.24; 55.56; 42.16
 43.83; 20.99; 29.01; 78.29; 78.93; 35.74; 45.27; 54.57; 59.38; 63.78; 42.31; 55.69; 42.23
 43.95; 20.99; 28.93; 78.38; 78.93; 36.16; 44.89; 54.56; 59.20; 63.92; 42.06; 55.97; 42.06
 44.21; 21.14; 28.70; 78.40; 78.55; 36.65; 45.22; 54.32; 59.10; 63.73; 42.21; 55.79; 41.98
 44.09; 20.76; 28.64; 78.41; 78.94; 36.82; 45.23; 54.47; 59.17; 63.71; 42.05; 55.76; 41.97
 43.75; 20.61; 28.79; 78.27; 79.02; 36.61; 45.46; 54.46; 59.23; 63.84; 42.26; 55.73; 41.96
 43.93; 20.39; 29.09; 78.14; 78.95; 36.55; 45.54; 54.31; 59.43; 63.82; 42.11; 55.56; 42.18
 43.97; 20.33; 28.95; 78.02; 78.74; 36.35; 45.62; 54.60; 59.41; 63.65; 42.24; 55.75; 42.39
 43.79; 20.34; 28.95; 77.90; 78.88; 36.09; 45.62; 54.80; 59.75; 63.56; 42.02; 55.86; 42.44
 43.54; 20.49; 28.68; 77.92; 79.03; 36.53; 45.49; 54.93; 59.65; 63.40; 42.22; 55.56; 42.57
 43.44; 20.77; 28.76; 78.14; 78.83; 36.75; 45.49; 54.71; 59.70; 63.59; 41.94; 55.60; 42.28
 43.41; 20.56; 28.76; 78.23; 79.17; 36.90; 45.23; 54.64; 59.81; 63.51; 41.94; 55.65; 42.20
 43.45; 20.63; 28.70; 77.98; 79.03; 36.71; 45.50; 54.50; 59.85; 63.62; 42.06; 55.69; 42.26
 43.23; 20.38; 29.10; 78.06; 79.30; 36.52; 45.70; 54.49; 60.03; 63.48; 41.99; 55.34; 42.38
 43.40; 20.64; 29.17; 77.95; 78.72; 36.47; 45.83; 54.62; 59.49; 63.65; 42.18; 55.51; 42.37
 43.18; 20.52; 29.17; 77.84; 78.91; 36.43; 45.90; 54.61; 59.53; 63.76; 42.30; 55.49; 42.36
 43.22; 20.52; 29.17; 77.86; 78.86; 36.75; 45.83; 54.48; 59.33; 63.93; 42.10; 55.47; 42.48
 43.01; 20.65; 29.11; 78.00; 78.49; 37.19; 45.83; 54.29; 59.31; 64.09; 42.10; 55.58; 42.34
 43.00; 20.53; 29.11; 77.96; 78.74; 37.20; 45.71; 54.53; 59.36; 64.01; 42.09; 55.37; 42.39
 42.86; 20.42; 28.93; 78.15; 78.87; 37.26; 45.77; 54.40; 59.58; 64.05; 41.90; 55.48; 42.32
 43.02; 20.54; 28.76; 78.23; 78.99; 37.32; 45.66; 54.46; 59.62; 64.08; 41.67; 55.16; 42.49
 43.17; 20.72; 28.88; 78.24; 78.99; 37.15; 45.60; 54.57; 59.20; 63.89; 41.90; 55.15; 42.53
 43.21; 20.83; 28.77; 78.25; 79.05; 37.16; 45.43; 54.68; 59.13; 64.10; 42.18; 54.85; 42.35
 43.19; 21.00; 28.66; 78.32; 79.17; 36.94; 45.55; 55.01; 58.95; 63.91; 42.40; 54.73; 42.17
 43.50; 21.11; 28.50; 78.44; 79.33; 36.94; 45.22; 55.22; 58.72; 63.78; 42.22; 54.72; 42.28
 43.53; 21.05; 28.62; 78.29; 79.39; 36.84; 45.39; 55.37; 58.99; 63.49; 42.05; 54.50; 42.49
 43.61; 21.05; 28.63; 78.30; 79.38; 36.58; 45.13; 55.52; 59.31; 63.47; 41.94; 54.49; 42.59
 43.80; 21.10; 28.53; 78.26; 79.54; 36.49; 45.25; 55.29; 59.35; 63.46; 41.67; 54.59; 42.68
 43.99; 21.15; 28.59; 78.32; 79.54; 36.55; 45.36; 55.01; 59.34; 63.38; 41.77; 54.64; 42.37
 44.32; 21.15; 28.70; 78.39; 79.48; 36.46; 45.31; 54.95; 59.06; 63.26; 41.98; 54.79; 42.16
 44.34; 21.14; 28.45; 78.40; 79.68; 36.21; 45.42; 55.14; 59.16; 63.15; 42.03; 54.78; 42.10
 44.36; 21.04; 28.35; 78.46; 79.88; 36.18; 45.27; 55.18; 59.04; 63.14; 42.17; 54.83; 42.09
 44.38; 21.18; 28.16; 78.46; 79.97; 35.94; 45.08; 55.27; 59.39; 62.98; 41.97; 54.87; 42.34
 44.44; 21.08; 28.32; 78.37; 80.01; 35.91; 44.89; 55.51; 59.52; 62.98; 41.82; 54.81; 42.33
 44.51; 21.27; 28.33; 78.48; 80.05; 35.88; 44.71; 55.44; 59.66; 62.92; 41.67; 54.66; 42.42
 44.43; 21.22; 28.49; 78.49; 80.09; 35.71; 44.57; 55.62; 59.64; 63.06; 41.81; 54.60; 42.27
 44.49; 21.26; 28.54; 78.50; 80.08; 35.63; 44.59; 55.60; 59.58; 63.15; 41.86; 54.55; 42.17
 44.65; 21.31; 28.36; 78.41; 80.16; 35.65; 44.55; 55.78; 59.47; 63.15; 41.86; 54.59; 42.07
 44.66; 21.30; 28.32; 78.56; 80.34; 35.77; 44.57; 55.90; 59.27; 63.04; 41.85; 54.40; 42.01
 44.81; 21.30; 28.38; 78.61; 80.42; 35.65; 44.44; 56.02; 59.40; 62.90; 41.48; 54.35; 42.24
 44.96; 21.38; 28.34; 78.62; 80.49; 35.44; 44.14; 56.04; 59.62; 62.90; 41.44; 54.30; 42.33
 44.88; 21.56; 28.26; 78.62; 80.53; 35.55; 44.16; 55.84; 59.78; 62.89; 41.49; 54.12; 42.32
 45.03; 21.55; 28.32; 78.72; 80.51; 35.57; 44.09; 55.69; 59.54; 62.89; 41.58; 54.17; 42.36
 45.12; 21.72; 28.15; 78.59; 80.67; 35.51; 44.15; 55.67; 59.57; 62.79; 41.67; 54.26; 42.13
 45.09; 21.58; 28.03; 78.55; 80.83; 35.44; 44.21; 55.79; 59.52; 62.79; 41.75; 54.34; 42.08
 45.18; 21.66; 28.08; 78.65; 80.99; 35.33; 44.01; 55.77; 59.59; 62.70; 41.80; 54.21; 42.03
 45.23; 21.65; 28.05; 78.57; 81.19; 35.27; 44.12; 55.67; 59.84; 62.53; 41.62; 54.12; 42.16
 45.32; 21.73; 28.10; 78.53; 81.21; 35.12; 43.92; 55.61; 59.95; 62.61; 41.54; 54.17; 42.19
 45.20; 21.63; 28.11; 78.54; 81.27; 35.10; 43.86; 55.51; 60.06; 62.61; 41.50; 54.25; 42.36
 45.33; 21.83; 28.21; 78.50; 81.33; 35.00; 43.67; 55.42; 59.96; 62.53; 41.79; 54.21; 42.23
 45.46; 21.86; 28.09; 78.55; 81.31; 34.86; 43.65; 55.53; 59.94; 62.48; 41.91; 54.08; 42.26
 45.47; 21.81; 27.90; 78.47; 81.50; 34.97; 43.67; 55.64; 59.89; 62.44; 41.99; 54.04; 42.21
 45.47; 21.93; 27.87; 78.60; 81.59; 34.87; 43.65; 55.70; 59.83; 62.36; 41.95; 54.00; 42.17
 45.47; 21.96; 27.80; 78.65; 81.73; 34.86; 43.67; 55.81; 59.82; 62.36; 41.71; 53.89; 42.28
 45.63; 21.90; 27.78; 78.61; 81.67; 34.56; 43.49; 55.91; 60.00; 62.37; 41.63; 54.05; 42.40
 45.44; 21.97; 27.79; 78.62; 81.72; 34.63; 43.36; 55.86; 60.14; 62.45; 41.55; 54.13; 42.35
 45.37; 21.96; 27.80; 78.62; 81.74; 34.66; 43.22; 55.84; 60.24; 62.41; 41.67; 54.28; 42.19
 45.56; 22.15; 27.62; 78.78; 81.71; 34.57; 43.13; 55.86; 60.15; 62.41; 41.71; 54.28; 42.07
 45.41; 22.21; 27.56; 78.78; 81.80; 34.59; 43.20; 56.00; 60.13; 62.37; 41.67; 54.28; 41.99
 45.45; 22.20; 27.50; 78.86; 81.82; 34.43; 43.14; 56.02; 60.23; 62.37; 41.63; 54.28; 42.06
 45.50; 22.15; 27.36; 78.98; 81.87; 34.35; 43.13; 56.04; 60.44; 62.15; 41.59; 54.20; 42.25
 45.65; 22.14; 27.42; 78.87; 81.99; 34.15; 42.89; 56.03; 60.57; 62.11; 41.67; 54.13; 42.39
 45.58; 22.31; 27.43; 78.80; 82.08; 34.29; 42.77; 55.90; 60.58; 62.19; 41.56; 54.02; 42.49
 45.61; 22.37; 27.45; 78.80; 82.16; 34.28; 42.69; 55.96; 60.45; 62.12; 41.78; 54.06; 42.27
 45.62; 22.36; 27.43; 78.73; 82.14; 34.24; 42.75; 56.05; 60.43; 62.12; 41.92; 53.99; 42.23
 45.51; 22.45; 27.30; 78.81; 82.18; 34.16; 42.82; 56.11; 60.45; 62.09; 41.88; 54.06; 42.18
 45.48; 22.47; 27.31; 78.81; 82.30; 34.05; 42.74; 56.20; 60.43; 61.92; 41.88; 54.17; 42.25
 45.66; 22.39; 27.19; 78.81; 82.38; 33.97; 42.76; 56.29; 60.56; 61.89; 41.70; 54.17; 42.25
