AntiSquid;Baseline1;Baseline2;Chad;Coac;Conrisc;Fabbiamo;Marasbot;ProphetCoac;ReinforcedGreediness;UJIAgent1;UJIAgent2;UJIAgent3
 44.53; 20.92; 27.71; 77.44; 85.69; 34.62; 43.23; 55.88; 57.72; 61.19; 41.01; 54.76; 45.29
 44.51; 20.93; 27.72; 77.46; 85.70; 34.61; 43.21; 55.90; 57.74; 61.19; 41.01; 54.76; 45.27
 44.51; 20.92; 27.72; 77.47; 85.72; 34.61; 43.21; 55.88; 57.72; 61.19; 41.00; 54.77; 45.28
 44.49; 20.92; 27.75; 77.46; 85.73; 34.58; 43.19; 55.85; 57.70; 61.18; 41.04; 54.79; 45.32
 44.50; 20.92; 27.75; 77.45; 85.74; 34.62; 43.16; 55.81; 57.70; 61.19; 41.04; 54.79; 45.32
 44.50; 20.91; 27.74; 77.46; 85.73; 34.61; 43.16; 55.82; 57.70; 61.21; 41.05; 54.79; 45.33
 44.47; 20.94; 27.74; 77.48; 85.74; 34.60; 43.17; 55.81; 57.73; 61.17; 41.06; 54.79; 45.31
 44.47; 20.96; 27.73; 77.47; 85.74; 34.59; 43.19; 55.82; 57.73; 61.18; 41.05; 54.77; 45.29
 44.47; 20.97; 27.73; 77.47; 85.75; 34.59; 43.17; 55.83; 57.77; 61.17; 41.04; 54.77; 45.27
 44.46; 20.97; 27.74; 77.49; 85.76; 34.60; 43.14; 55.81; 57.78; 61.18; 41.03; 54.77; 45.27
 44.43; 20.98; 27.74; 77.46; 85.76; 34.59; 43.15; 55.81; 57.74; 61.18; 41.08; 54.79; 45.29
 44.43; 20.99; 27.71; 77.43; 85.77; 34.63; 43.14; 55.82; 57.74; 61.19; 41.04; 54.80; 45.31
 44.41; 20.98; 27.70; 77.44; 85.78; 34.64; 43.12; 55.84; 57.73; 61.19; 41.02; 54.82; 45.32
 44.43; 20.99; 27.71; 77.46; 85.77; 34.64; 43.13; 55.82; 57.73; 61.19; 41.04; 54.82; 45.29
 44.43; 21.01; 27.69; 77.44; 85.76; 34.64; 43.13; 55.83; 57.73; 61.20; 41.07; 54.80; 45.28
 44.46; 21.01; 27.69; 77.45; 85.76; 34.63; 43.13; 55.83; 57.74; 61.19; 41.06; 54.81; 45.25
 44.45; 21.01; 27.69; 77.43; 85.77; 34.64; 43.11; 55.81; 57.74; 61.20; 41.08; 54.82; 45.25
 44.44; 20.99; 27.68; 77.42; 85.77; 34.65; 43.10; 55.83; 57.78; 61.18; 41.08; 54.83; 45.25
 44.45; 20.96; 27.71; 77.43; 85.79; 34.67; 43.09; 55.82; 57.81; 61.16; 41.05; 54.81; 45.24
 44.46; 20.95; 27.72; 77.40; 85.80; 34.68; 43.09; 55.84; 57.76; 61.14; 41.06; 54.82; 45.26
 44.47; 20.95; 27.71; 77.40; 85.81; 34.72; 43.10; 55.84; 57.74; 61.13; 41.03; 54.83; 45.27
 44.47; 20.96; 27.70; 77.41; 85.82; 34.72; 43.11; 55.85; 57.74; 61.12; 41.02; 54.83; 45.26
 44.45; 20.99; 27.70; 77.43; 85.83; 34.73; 43.08; 55.83; 57.75; 61.11; 41.03; 54.85; 45.23
 44.46; 20.96; 27.69; 77.43; 85.83; 34.72; 43.07; 55.85; 57.75; 61.11; 41.04; 54.86; 45.23
 44.43; 20.96; 27.71; 77.40; 85.83; 34.70; 43.08; 55.87; 57.78; 61.11; 41.05; 54.86; 45.22
 44.41; 20.93; 27.73; 77.39; 85.85; 34.71; 43.09; 55.87; 57.81; 61.11; 41.01; 54.83; 45.25
 44.43; 20.91; 27.76; 77.38; 85.86; 34.69; 43.07; 55.89; 57.77; 61.11; 41.04; 54.83; 45.26
 44.43; 20.90; 27.76; 77.37; 85.87; 34.67; 43.10; 55.91; 57.76; 61.10; 41.01; 54.83; 45.27
 44.43; 20.90; 27.76; 77.37; 85.88; 34.65; 43.11; 55.93; 57.76; 61.10; 41.01; 54.83; 45.27
 44.41; 20.93; 27.73; 77.39; 85.87; 34.64; 43.10; 55.92; 57.76; 61.11; 41.01; 54.85; 45.26
 44.42; 20.92; 27.74; 77.39; 85.89; 34.64; 43.09; 55.93; 57.79; 61.09; 41.01; 54.85; 45.23
 44.39; 20.92; 27.73; 77.39; 85.89; 34.63; 43.12; 55.93; 57.82; 61.09; 41.02; 54.83; 45.22
 44.40; 20.90; 27.76; 77.39; 85.90; 34.63; 43.11; 55.94; 57.83; 61.09; 40.99; 54.83; 45.24
 44.42; 20.90; 27.78; 77.37; 85.90; 34.61; 43.08; 55.98; 57.79; 61.09; 41.02; 54.81; 45.25
 44.42; 20.89; 27.76; 77.38; 85.91; 34.64; 43.10; 55.97; 57.78; 61.07; 41.01; 54.83; 45.25
 44.43; 20.89; 27.75; 77.39; 85.91; 34.62; 43.09; 55.96; 57.79; 61.07; 41.04; 54.80; 45.27
 44.43; 20.90; 27.74; 77.41; 85.90; 34.62; 43.11; 55.95; 57.78; 61.08; 41.07; 54.78; 45.23
 44.41; 20.88; 27.75; 77.41; 85.90; 34.64; 43.08; 55.96; 57.80; 61.09; 41.07; 54.77; 45.23
 44.38; 20.89; 27.74; 77.38; 85.91; 34.64; 43.09; 55.96; 57.81; 61.10; 41.10; 54.76; 45.23
 44.40; 20.86; 27.75; 77.37; 85.93; 34.65; 43.10; 55.95; 57.82; 61.09; 41.06; 54.76; 45.25
 44.42; 20.84; 27.76; 77.34; 85.93; 34.66; 43.08; 55.97; 57.81; 61.07; 41.07; 54.78; 45.27
 44.40; 20.84; 27.75; 77.34; 85.94; 34.66; 43.08; 55.98; 57.81; 61.08; 41.05; 54.78; 45.28
 44.41; 20.84; 27.74; 77.32; 85.93; 34.64; 43.10; 55.96; 57.83; 61.06; 41.07; 54.79; 45.30
 44.41; 20.87; 27.76; 77.33; 85.93; 34.62; 43.10; 55.95; 57.80; 61.08; 41.08; 54.80; 45.27
 44.41; 20.84; 27.76; 77.35; 85.93; 34.64; 43.10; 55.95; 57.79; 61.08; 41.09; 54.81; 45.26
 44.40; 20.84; 27.73; 77.34; 85.94; 34.65; 43.09; 55.95; 57.82; 61.07; 41.12; 54.81; 45.25
 44.41; 20.82; 27.75; 77.33; 85.96; 34.65; 43.10; 55.95; 57.85; 61.06; 41.08; 54.79; 45.26
 44.42; 20.80; 27.76; 77.29; 85.97; 34.66; 43.09; 55.97; 57.85; 61.06; 41.07; 54.79; 45.26
 44.40; 20.80; 27.78; 77.30; 85.97; 34.66; 43.10; 55.98; 57.86; 61.06; 41.04; 54.80; 45.25
 44.40; 20.81; 27.78; 77.31; 85.99; 34.65; 43.08; 55.95; 57.85; 61.05; 41.06; 54.81; 45.25
 44.40; 20.85; 27.78; 77.33; 85.99; 34.65; 43.05; 55.95; 57.84; 61.06; 41.06; 54.82; 45.22
 44.41; 20.82; 27.78; 77.34; 85.99; 34.65; 43.06; 55.96; 57.82; 61.08; 41.08; 54.82; 45.20
 44.40; 20.80; 27.77; 77.34; 85.99; 34.65; 43.07; 55.95; 57.86; 61.08; 41.09; 54.81; 45.20
 44.42; 20.77; 27.76; 77.34; 86.00; 34.65; 43.09; 55.98; 57.87; 61.07; 41.05; 54.79; 45.20
 44.42; 20.76; 27.77; 77.31; 86.01; 34.67; 43.07; 55.98; 57.85; 61.07; 41.08; 54.79; 45.22
 44.42; 20.77; 27.78; 77.32; 86.02; 34.67; 43.09; 55.97; 57.84; 61.07; 41.07; 54.81; 45.18
 44.43; 20.79; 27.78; 77.34; 86.01; 34.67; 43.06; 55.96; 57.83; 61.07; 41.08; 54.79; 45.20
 44.42; 20.81; 27.76; 77.36; 86.01; 34.65; 43.06; 55.94; 57.83; 61.09; 41.09; 54.81; 45.18
 44.44; 20.78; 27.76; 77.34; 86.03; 34.65; 43.05; 55.93; 57.86; 61.09; 41.09; 54.82; 45.16
 44.42; 20.77; 27.77; 77.32; 86.04; 34.64; 43.07; 55.93; 57.89; 61.08; 41.11; 54.81; 45.15
 44.44; 20.75; 27.77; 77.32; 86.05; 34.65; 43.06; 55.95; 57.90; 61.06; 41.08; 54.80; 45.18
 44.47; 20.75; 27.78; 77.29; 86.06; 34.63; 43.07; 55.99; 57.88; 61.05; 41.10; 54.77; 45.17
 44.43; 20.76; 27.76; 77.28; 86.07; 34.65; 43.09; 56.01; 57.89; 61.02; 41.08; 54.80; 45.15
 44.42; 20.76; 27.77; 77.29; 86.06; 34.64; 43.10; 56.01; 57.91; 61.02; 41.08; 54.79; 45.16
 44.41; 20.80; 27.76; 77.29; 86.06; 34.63; 43.09; 56.00; 57.91; 61.01; 41.07; 54.82; 45.15
 44.42; 20.79; 27.75; 77.28; 86.06; 34.62; 43.08; 56.01; 57.93; 61.00; 41.08; 54.83; 45.16
 44.40; 20.78; 27.74; 77.27; 86.05; 34.62; 43.10; 56.04; 57.94; 61.00; 41.07; 54.81; 45.17
 44.44; 20.76; 27.76; 77.27; 86.06; 34.61; 43.09; 56.06; 57.94; 61.00; 41.05; 54.80; 45.17
 44.46; 20.74; 27.77; 77.24; 86.07; 34.61; 43.08; 56.07; 57.91; 60.99; 41.07; 54.81; 45.18
 44.45; 20.73; 27.76; 77.25; 86.06; 34.63; 43.11; 56.08; 57.89; 60.98; 41.06; 54.81; 45.20
 44.44; 20.75; 27.77; 77.25; 86.06; 34.60; 43.09; 56.10; 57.88; 60.98; 41.03; 54.81; 45.24
 44.42; 20.77; 27.75; 77.25; 86.08; 34.61; 43.10; 56.08; 57.88; 60.98; 41.03; 54.82; 45.23
 44.42; 20.76; 27.76; 77.24; 86.08; 34.61; 43.09; 56.09; 57.91; 60.98; 41.04; 54.81; 45.23
 44.42; 20.75; 27.75; 77.22; 86.06; 34.60; 43.10; 56.10; 57.93; 60.97; 41.06; 54.81; 45.22
 44.45; 20.72; 27.76; 77.22; 86.08; 34.60; 43.08; 56.12; 57.95; 60.97; 41.02; 54.80; 45.23
 44.45; 20.71; 27.77; 77.20; 86.09; 34.60; 43.09; 56.10; 57.93; 60.98; 41.04; 54.80; 45.23
 44.45; 20.70; 27.79; 77.19; 86.11; 34.61; 43.08; 56.09; 57.94; 60.98; 41.01; 54.82; 45.24
 44.44; 20.71; 27.77; 77.17; 86.12; 34.62; 43.09; 56.10; 57.95; 60.97; 41.01; 54.82; 45.24
 44.44; 20.71; 27.74; 77.19; 86.12; 34.62; 43.08; 56.10; 57.97; 60.96; 41.02; 54.81; 45.23
 44.44; 20.71; 27.75; 77.20; 86.13; 34.63; 43.07; 56.08; 57.96; 60.96; 41.05; 54.81; 45.21
 44.43; 20.71; 27.74; 77.18; 86.14; 34.62; 43.07; 56.08; 57.99; 60.96; 41.06; 54.81; 45.22
 44.46; 20.69; 27.77; 77.17; 86.15; 34.64; 43.05; 56.06; 57.98; 60.96; 41.03; 54.79; 45.25
 44.49; 20.68; 27.78; 77.16; 86.16; 34.62; 43.03; 56.05; 57.96; 60.97; 41.05; 54.80; 45.26
 44.49; 20.67; 27.78; 77.16; 86.16; 34.64; 43.04; 56.05; 57.97; 60.97; 41.03; 54.81; 45.25
 44.48; 20.65; 27.77; 77.16; 86.16; 34.62; 43.05; 56.06; 57.98; 60.97; 41.04; 54.80; 45.24
 44.49; 20.67; 27.78; 77.18; 86.15; 34.63; 43.04; 56.05; 57.99; 60.98; 41.05; 54.79; 45.20
 44.48; 20.65; 27.79; 77.18; 86.15; 34.63; 43.04; 56.06; 57.99; 61.00; 41.06; 54.78; 45.20
 44.47; 20.65; 27.77; 77.19; 86.13; 34.64; 43.06; 56.06; 58.01; 61.00; 41.05; 54.77; 45.19
 44.49; 20.65; 27.78; 77.20; 86.12; 34.62; 43.07; 56.05; 58.00; 61.01; 41.05; 54.76; 45.20
 44.49; 20.65; 27.80; 77.20; 86.12; 34.61; 43.07; 56.04; 58.01; 61.02; 41.03; 54.76; 45.20
 44.48; 20.65; 27.83; 77.21; 86.12; 34.61; 43.08; 56.05; 57.99; 61.01; 41.04; 54.73; 45.20
 44.49; 20.65; 27.83; 77.22; 86.12; 34.61; 43.06; 56.05; 58.00; 61.01; 41.05; 54.72; 45.19
 44.49; 20.65; 27.84; 77.22; 86.12; 34.61; 43.07; 56.04; 57.99; 61.02; 41.06; 54.71; 45.19
 44.49; 20.66; 27.84; 77.24; 86.12; 34.64; 43.07; 56.02; 57.97; 61.00; 41.05; 54.72; 45.19
 44.51; 20.66; 27.81; 77.21; 86.11; 34.65; 43.09; 56.03; 57.98; 61.00; 41.03; 54.72; 45.20
 44.53; 20.67; 27.81; 77.23; 86.10; 34.63; 43.09; 56.03; 57.97; 61.00; 41.01; 54.73; 45.21
 44.55; 20.67; 27.82; 77.23; 86.11; 34.61; 43.08; 56.03; 57.96; 61.00; 41.01; 54.70; 45.21
 44.56; 20.68; 27.81; 77.24; 86.11; 34.61; 43.09; 56.03; 57.96; 61.00; 41.02; 54.69; 45.20
 44.57; 20.68; 27.80; 77.24; 86.11; 34.61; 43.08; 56.04; 57.98; 61.00; 41.01; 54.69; 45.19
 44.57; 20.68; 27.79; 77.25; 86.12; 34.62; 43.08; 56.02; 57.98; 60.97; 41.02; 54.70; 45.19
 44.58; 20.68; 27.78; 77.26; 86.12; 34.61; 43.07; 56.03; 57.95; 60.97; 41.05; 54.70; 45.20
 44.56; 20.67; 27.75; 77.25; 86.11; 34.64; 43.10; 56.02; 57.97; 60.98; 41.03; 54.71; 45.20
 44.57; 20.65; 27.75; 77.26; 86.11; 34.65; 43.09; 56.01; 57.96; 60.99; 41.03; 54.72; 45.21
 44.58; 20.65; 27.75; 77.27; 86.11; 34.63; 43.11; 56.03; 57.97; 61.00; 41.01; 54.71; 45.19
 44.58; 20.65; 27.75; 77.27; 86.12; 34.62; 43.11; 56.03; 57.98; 60.98; 41.02; 54.70; 45.17
 44.59; 20.66; 27.74; 77.25; 86.14; 34.64; 43.09; 56.05; 57.99; 60.98; 41.02; 54.70; 45.14
 44.60; 20.65; 27.73; 77.27; 86.13; 34.67; 43.09; 56.04; 57.98; 60.99; 41.02; 54.69; 45.14
 44.60; 20.65; 27.72; 77.28; 86.14; 34.69; 43.09; 56.06; 57.96; 61.00; 41.02; 54.68; 45.13
 44.59; 20.65; 27.70; 77.27; 86.13; 34.70; 43.10; 56.06; 57.97; 61.00; 41.02; 54.70; 45.12
 44.57; 20.65; 27.69; 77.29; 86.13; 34.68; 43.11; 56.04; 57.97; 61.00; 41.01; 54.70; 45.15
 44.57; 20.66; 27.71; 77.28; 86.14; 34.67; 43.10; 56.05; 57.98; 61.01; 41.00; 54.69; 45.15
 44.57; 20.66; 27.71; 77.30; 86.14; 34.68; 43.08; 56.02; 57.97; 61.00; 41.02; 54.70; 45.15
 44.59; 20.64; 27.70; 77.30; 86.15; 34.69; 43.08; 56.04; 57.97; 60.99; 41.01; 54.69; 45.15
 44.57; 20.66; 27.71; 77.32; 86.12; 34.70; 43.09; 56.02; 57.97; 60.99; 41.01; 54.69; 45.15
 44.58; 20.65; 27.72; 77.32; 86.13; 34.69; 43.10; 56.02; 57.97; 60.98; 41.01; 54.68; 45.16
 44.56; 20.65; 27.69; 77.32; 86.11; 34.72; 43.13; 56.03; 57.97; 60.97; 41.01; 54.67; 45.17
 44.56; 20.64; 27.69; 77.33; 86.10; 34.70; 43.13; 56.02; 57.99; 61.00; 41.01; 54.65; 45.19
 44.56; 20.66; 27.68; 77.32; 86.11; 34.69; 43.10; 56.05; 58.01; 61.00; 41.01; 54.65; 45.17
 44.55; 20.66; 27.68; 77.34; 86.11; 34.69; 43.11; 56.06; 58.00; 60.98; 41.01; 54.64; 45.16
 44.57; 20.67; 27.68; 77.36; 86.11; 34.69; 43.09; 56.06; 58.01; 60.98; 41.00; 54.62; 45.17
 44.58; 20.69; 27.67; 77.37; 86.12; 34.68; 43.09; 56.03; 58.00; 60.96; 41.01; 54.62; 45.17
 44.59; 20.68; 27.67; 77.38; 86.11; 34.70; 43.09; 56.03; 58.00; 60.97; 41.00; 54.62; 45.16
 44.60; 20.67; 27.64; 77.39; 86.10; 34.71; 43.14; 56.03; 58.00; 60.97; 40.99; 54.60; 45.15
 44.62; 20.67; 27.65; 77.41; 86.08; 34.69; 43.14; 56.02; 57.99; 60.97; 40.99; 54.60; 45.18
 44.64; 20.69; 27.66; 77.40; 86.08; 34.65; 43.15; 56.02; 58.00; 60.99; 40.96; 54.61; 45.16
 44.64; 20.70; 27.64; 77.41; 86.09; 34.65; 43.14; 56.03; 57.98; 60.99; 40.98; 54.59; 45.16
 44.67; 20.70; 27.63; 77.40; 86.09; 34.65; 43.13; 56.02; 57.99; 60.97; 41.00; 54.59; 45.15
 44.66; 20.71; 27.65; 77.43; 86.09; 34.65; 43.14; 56.00; 57.97; 60.97; 41.00; 54.58; 45.15
 44.65; 20.71; 27.62; 77.44; 86.08; 34.68; 43.15; 56.01; 57.96; 60.97; 41.02; 54.58; 45.15
 44.64; 20.71; 27.61; 77.44; 86.08; 34.70; 43.17; 56.03; 57.95; 60.98; 41.00; 54.57; 45.14
 44.62; 20.70; 27.63; 77.46; 86.08; 34.68; 43.16; 55.99; 57.97; 60.99; 40.99; 54.58; 45.15
 44.64; 20.71; 27.64; 77.46; 86.08; 34.65; 43.16; 56.00; 57.98; 60.98; 40.97; 54.56; 45.16
 44.63; 20.71; 27.63; 77.49; 86.06; 34.66; 43.15; 56.02; 57.98; 60.99; 40.98; 54.54; 45.16
 44.63; 20.71; 27.62; 77.49; 86.07; 34.65; 43.15; 56.03; 58.01; 60.98; 40.99; 54.53; 45.15
 44.60; 20.73; 27.61; 77.51; 86.06; 34.65; 43.15; 56.03; 58.01; 60.99; 40.99; 54.53; 45.15
 44.59; 20.73; 27.59; 77.53; 86.06; 34.66; 43.15; 56.04; 58.02; 60.98; 40.99; 54.52; 45.14
 44.59; 20.72; 27.57; 77.51; 86.05; 34.69; 43.18; 56.05; 58.03; 60.97; 40.98; 54.53; 45.14
 44.61; 20.71; 27.57; 77.52; 86.04; 34.67; 43.16; 56.05; 58.03; 60.98; 40.99; 54.53; 45.15
 44.61; 20.71; 27.58; 77.53; 86.05; 34.65; 43.14; 56.04; 58.03; 60.99; 40.98; 54.53; 45.18
 44.60; 20.72; 27.58; 77.53; 86.04; 34.65; 43.16; 56.06; 58.03; 61.00; 40.97; 54.51; 45.16
 44.59; 20.74; 27.57; 77.53; 86.03; 34.66; 43.16; 56.06; 58.05; 60.99; 40.97; 54.51; 45.15
 44.60; 20.73; 27.58; 77.54; 86.02; 34.67; 43.14; 56.04; 58.05; 60.99; 40.97; 54.51; 45.15
 44.58; 20.73; 27.57; 77.54; 86.02; 34.67; 43.14; 56.04; 58.07; 60.99; 40.98; 54.52; 45.15
 44.58; 20.74; 27.54; 77.54; 86.01; 34.68; 43.17; 56.04; 58.06; 61.00; 40.96; 54.52; 45.15
 44.59; 20.73; 27.55; 77.55; 86.00; 34.67; 43.17; 56.01; 58.06; 61.01; 40.96; 54.54; 45.15
 44.59; 20.73; 27.55; 77.54; 86.00; 34.66; 43.18; 56.02; 58.07; 61.03; 40.95; 54.53; 45.16
 44.59; 20.75; 27.53; 77.57; 85.99; 34.64; 43.18; 56.03; 58.09; 61.01; 40.93; 54.55; 45.15
 44.59; 20.75; 27.52; 77.58; 86.00; 34.64; 43.17; 56.05; 58.10; 61.00; 40.93; 54.54; 45.14
 44.57; 20.74; 27.53; 77.57; 86.00; 34.67; 43.17; 56.03; 58.10; 61.01; 40.94; 54.53; 45.14
 44.56; 20.76; 27.51; 77.56; 86.00; 34.68; 43.18; 56.04; 58.09; 61.00; 40.98; 54.50; 45.14
 44.56; 20.74; 27.49; 77.55; 86.02; 34.69; 43.19; 56.06; 58.08; 61.02; 40.96; 54.51; 45.13
 44.56; 20.75; 27.49; 77.55; 86.01; 34.67; 43.20; 56.06; 58.08; 61.02; 40.96; 54.52; 45.15
 44.57; 20.73; 27.49; 77.56; 86.02; 34.65; 43.21; 56.07; 58.09; 61.02; 40.93; 54.52; 45.15
 44.57; 20.72; 27.49; 77.58; 86.02; 34.64; 43.22; 56.08; 58.09; 61.01; 40.92; 54.51; 45.14
 44.59; 20.71; 27.50; 77.59; 86.02; 34.64; 43.20; 56.09; 58.12; 61.00; 40.92; 54.51; 45.12
 44.59; 20.71; 27.48; 77.61; 86.02; 34.66; 43.19; 56.07; 58.12; 60.99; 40.92; 54.52; 45.12
 44.58; 20.73; 27.46; 77.61; 86.01; 34.67; 43.20; 56.07; 58.12; 60.98; 40.93; 54.53; 45.12
 44.57; 20.75; 27.44; 77.64; 85.98; 34.66; 43.21; 56.04; 58.11; 60.98; 40.95; 54.55; 45.12
 44.54; 20.74; 27.44; 77.65; 85.97; 34.64; 43.22; 56.06; 58.11; 60.99; 40.95; 54.56; 45.13
 44.52; 20.76; 27.45; 77.63; 85.97; 34.63; 43.24; 56.04; 58.12; 60.96; 40.98; 54.56; 45.12
 44.54; 20.77; 27.44; 77.65; 85.97; 34.62; 43.22; 56.05; 58.13; 60.96; 40.97; 54.56; 45.12
 44.54; 20.77; 27.46; 77.62; 85.99; 34.63; 43.23; 56.05; 58.14; 60.94; 40.95; 54.55; 45.13
 44.55; 20.76; 27.46; 77.62; 85.99; 34.66; 43.22; 56.03; 58.13; 60.94; 40.95; 54.55; 45.15
 44.54; 20.76; 27.46; 77.60; 86.00; 34.64; 43.24; 56.03; 58.11; 60.91; 40.97; 54.55; 45.18
 44.52; 20.77; 27.45; 77.61; 86.00; 34.63; 43.26; 56.03; 58.12; 60.90; 40.97; 54.55; 45.18
 44.52; 20.76; 27.45; 77.63; 86.00; 34.63; 43.24; 56.03; 58.11; 60.92; 40.98; 54.56; 45.17
 44.48; 20.76; 27.48; 77.61; 86.01; 34.64; 43.26; 56.00; 58.12; 60.90; 41.01; 54.57; 45.17
 44.49; 20.75; 27.48; 77.60; 86.00; 34.64; 43.27; 56.01; 58.12; 60.91; 41.02; 54.56; 45.16
 44.50; 20.74; 27.50; 77.60; 86.00; 34.66; 43.26; 55.99; 58.11; 60.90; 41.01; 54.54; 45.19
 44.52; 20.73; 27.52; 77.60; 86.00; 34.66; 43.27; 55.97; 58.11; 60.90; 41.00; 54.52; 45.20
 44.54; 20.73; 27.53; 77.58; 86.02; 34.65; 43.29; 55.96; 58.10; 60.87; 41.01; 54.51; 45.21
 44.51; 20.76; 27.51; 77.60; 86.02; 34.65; 43.30; 55.94; 58.10; 60.88; 41.01; 54.52; 45.22
 44.49; 20.77; 27.50; 77.61; 85.99; 34.65; 43.29; 55.97; 58.08; 60.89; 41.03; 54.52; 45.21
 44.47; 20.78; 27.50; 77.58; 85.99; 34.65; 43.32; 55.97; 58.11; 60.85; 41.05; 54.52; 45.20
 44.49; 20.78; 27.49; 77.59; 86.00; 34.65; 43.32; 55.97; 58.11; 60.84; 41.04; 54.54; 45.19
 44.50; 20.78; 27.51; 77.60; 86.01; 34.67; 43.30; 55.97; 58.11; 60.81; 41.02; 54.51; 45.22
 44.50; 20.78; 27.50; 77.60; 86.02; 34.65; 43.29; 55.95; 58.13; 60.81; 41.02; 54.51; 45.23
 44.50; 20.78; 27.52; 77.59; 86.02; 34.65; 43.29; 55.95; 58.11; 60.81; 41.03; 54.51; 45.24
 44.48; 20.78; 27.49; 77.60; 86.02; 34.65; 43.30; 55.94; 58.11; 60.82; 41.06; 54.53; 45.23
 44.48; 20.79; 27.50; 77.61; 86.01; 34.63; 43.31; 55.93; 58.09; 60.83; 41.08; 54.55; 45.20
 44.48; 20.80; 27.51; 77.59; 86.01; 34.65; 43.30; 55.93; 58.10; 60.79; 41.10; 54.54; 45.20
 44.49; 20.80; 27.49; 77.59; 86.03; 34.63; 43.31; 55.93; 58.10; 60.79; 41.09; 54.55; 45.20
 44.48; 20.79; 27.50; 77.59; 86.04; 34.66; 43.31; 55.93; 58.10; 60.77; 41.08; 54.53; 45.22
 44.49; 20.79; 27.49; 77.60; 86.05; 34.67; 43.28; 55.91; 58.11; 60.77; 41.09; 54.51; 45.23
 44.48; 20.81; 27.50; 77.59; 86.06; 34.66; 43.31; 55.89; 58.10; 60.75; 41.09; 54.49; 45.25
 44.48; 20.81; 27.49; 77.60; 86.08; 34.67; 43.30; 55.89; 58.10; 60.75; 41.09; 54.50; 45.25
 44.48; 20.83; 27.48; 77.62; 86.06; 34.66; 43.30; 55.91; 58.09; 60.75; 41.09; 54.50; 45.23
 44.48; 20.82; 27.51; 77.60; 86.06; 34.66; 43.30; 55.91; 58.11; 60.72; 41.10; 54.49; 45.22
 44.49; 20.83; 27.49; 77.61; 86.06; 34.66; 43.32; 55.91; 58.09; 60.72; 41.11; 54.49; 45.21
 44.50; 20.84; 27.52; 77.61; 86.06; 34.68; 43.30; 55.90; 58.10; 60.67; 41.11; 54.49; 45.23
 44.50; 20.84; 27.52; 77.60; 86.07; 34.68; 43.30; 55.87; 58.11; 60.68; 41.11; 54.49; 45.23
 44.49; 20.85; 27.52; 77.59; 86.08; 34.69; 43.31; 55.86; 58.09; 60.68; 41.09; 54.49; 45.24
 44.49; 20.86; 27.53; 77.60; 86.07; 34.68; 43.31; 55.86; 58.09; 60.69; 41.09; 54.50; 45.24
 44.46; 20.86; 27.52; 77.60; 86.05; 34.69; 43.31; 55.88; 58.10; 60.68; 41.12; 54.52; 45.22
 44.44; 20.87; 27.52; 77.58; 86.06; 34.70; 43.34; 55.88; 58.10; 60.63; 41.15; 54.52; 45.22
 44.46; 20.86; 27.51; 77.57; 86.06; 34.69; 43.34; 55.88; 58.10; 60.63; 41.15; 54.52; 45.22
 44.46; 20.85; 27.55; 77.58; 86.08; 34.71; 43.33; 55.88; 58.10; 60.62; 41.12; 54.50; 45.23
 44.47; 20.83; 27.54; 77.59; 86.09; 34.72; 43.32; 55.86; 58.11; 60.62; 41.12; 54.48; 45.23
 44.47; 20.83; 27.54; 77.56; 86.09; 34.71; 43.36; 55.86; 58.11; 60.58; 41.14; 54.50; 45.23
 44.50; 20.83; 27.52; 77.57; 86.08; 34.71; 43.37; 55.86; 58.11; 60.58; 41.15; 54.51; 45.23
 44.50; 20.83; 27.52; 77.59; 86.06; 34.68; 43.37; 55.86; 58.11; 60.59; 41.15; 54.53; 45.23
 44.47; 20.83; 27.53; 77.55; 86.06; 34.71; 43.39; 55.86; 58.12; 60.55; 41.18; 54.53; 45.23
 44.49; 20.83; 27.54; 77.55; 86.07; 34.72; 43.40; 55.86; 58.11; 60.54; 41.17; 54.52; 45.20
 44.48; 20.81; 27.56; 77.53; 86.08; 34.75; 43.40; 55.86; 58.10; 60.52; 41.15; 54.53; 45.23
 44.50; 20.81; 27.54; 77.53; 86.08; 34.76; 43.39; 55.84; 58.11; 60.51; 41.16; 54.52; 45.25
 44.50; 20.83; 27.53; 77.51; 86.09; 34.75; 43.40; 55.84; 58.09; 60.50; 41.15; 54.53; 45.27
 44.49; 20.83; 27.51; 77.52; 86.08; 34.75; 43.39; 55.85; 58.09; 60.50; 41.15; 54.55; 45.28
 44.49; 20.85; 27.50; 77.53; 86.07; 34.74; 43.40; 55.86; 58.07; 60.52; 41.17; 54.55; 45.27
 44.47; 20.86; 27.50; 77.49; 86.08; 34.76; 43.41; 55.84; 58.08; 60.49; 41.20; 54.54; 45.28
 44.48; 20.86; 27.48; 77.48; 86.09; 34.75; 43.40; 55.85; 58.08; 60.49; 41.20; 54.55; 45.29
 44.49; 20.85; 27.48; 77.47; 86.10; 34.78; 43.40; 55.85; 58.08; 60.47; 41.18; 54.54; 45.31
 44.49; 20.86; 27.48; 77.47; 86.11; 34.78; 43.40; 55.82; 58.09; 60.47; 41.19; 54.54; 45.30
 44.49; 20.87; 27.50; 77.45; 86.12; 34.79; 43.42; 55.81; 58.08; 60.45; 41.19; 54.54; 45.31
 44.47; 20.87; 27.49; 77.45; 86.12; 34.78; 43.45; 55.80; 58.07; 60.45; 41.20; 54.56; 45.31
