AntiSquid;Baseline1;Baseline2;Coac;Conrisc;Fabbiamo;Marasbot;ProphetCoac;UJIAgent1;UJIAgent2;UJIAgent3
47.85;20.98;34.84;91.29;37.13;37.53;57.45;90.79;37.53;49.19;39.84
47.99;20.87;34.55;91.35;37.28;37.50;57.12;90.98;37.50;49.46;39.92
47.89;21.10;34.68;91.42;37.56;37.47;57.33;90.92;37.60;49.47;39.97
47.53;21.20;34.67;91.36;37.65;37.65;57.43;90.99;37.57;49.34;39.89
47.55;21.16;34.52;91.42;37.87;37.87;57.84;91.05;37.34;49.21;39.81
47.20;21.00;34.78;91.36;37.71;37.83;57.91;91.12;37.83;49.38;39.90
47.22;20.96;34.51;91.43;37.68;37.92;57.73;91.06;38.16;50.36;39.53
Invalid format at line 4936
47.36;21.08;34.24;91.49;37.65;38.25;58.03;91.13;38.37;50.48;40.10
47.62;20.86;34.51;91.55;37.74;38.21;58.10;91.07;38.42;50.84;40.41
47.13;21.19;34.64;91.61;37.71;38.18;58.27;91.13;38.24;50.95;40.60
47.46;21.39;34.63;91.67;37.44;37.91;57.86;90.73;38.18;50.83;40.43
47.15;21.24;34.39;91.89;37.18;37.65;57.59;90.45;37.91;50.47;40.14
47.39;21.10;34.15;91.94;36.99;37.50;57.44;90.74;37.65;50.12;39.86
47.51;21.41;34.26;91.99;37.66;36.94;57.52;90.80;37.62;50.12;39.81
47.53;21.72;34.25;91.94;37.63;37.18;57.13;90.75;37.93;50.11;39.77
47.76;21.58;34.25;91.99;37.93;37.02;58.06;90.81;37.03;49.89;39.73
47.66;21.77;34.13;91.83;37.90;37.07;58.01;90.66;37.61;49.89;39.91
47.68;21.62;34.01;91.88;37.95;37.05;57.86;90.72;37.69;50.85;39.34
47.59;21.88;34.00;91.93;38.00;36.81;57.70;90.78;37.97;51.05;39.87
47.81;21.91;33.55;91.88;38.16;37.21;57.97;90.83;38.26;51.26;40.04
47.32;21.88;34.27;91.93;38.12;37.19;58.02;90.87;38.33;51.35;40.31
47.95;22.05;34.27;91.89;38.10;37.27;58.07;90.81;38.10;51.14;40.06
47.67;21.91;34.16;91.76;37.86;37.04;57.72;90.35;37.86;50.82;39.92
47.69;21.78;33.95;91.80;37.55;36.81;57.36;90.79;37.63;50.51;39.67
47.70;21.85;34.04;91.73;38.44;36.79;57.32;90.75;37.60;50.51;39.53
47.52;21.82;34.14;91.76;38.60;37.07;57.63;90.80;37.68;50.40;39.49
47.72;21.69;33.94;91.81;38.57;37.05;57.52;90.86;37.60;50.40;39.46
47.73;21.66;34.03;91.86;38.73;37.12;57.67;90.91;37.69;50.40;39.42
47.74;21.63;33.83;91.81;38.51;37.29;57.72;90.87;37.66;50.75;39.38
47.94;21.70;33.89;91.85;38.48;37.45;57.77;90.92;37.92;50.66;39.12
48.04;22.43;33.86;91.90;38.36;37.71;57.91;90.97;37.99;50.74;39.11
48.06;22.87;33.80;91.94;38.43;37.78;57.96;91.02;37.96;50.93;39.26
47.70;23.06;33.80;91.99;38.58;37.85;57.83;91.07;37.94;50.92;39.23
47.56;22.98;33.89;92.08;38.37;37.64;57.51;90.84;37.73;50.64;39.01
47.31;22.89;33.70;92.01;38.16;37.43;57.19;90.88;37.52;50.36;38.80
47.41;22.77;33.52;91.88;38.20;37.41;57.16;91.02;37.50;50.45;38.93
47.34;22.64;33.61;91.84;38.57;37.63;57.30;91.07;37.48;50.45;38.88
47.35;22.61;33.78;91.88;38.46;37.95;56.86;91.11;37.46;50.45;38.83
47.36;22.49;33.69;91.92;38.52;37.84;57.31;91.16;37.46;50.45;38.80
47.21;22.37;33.87;91.88;38.32;37.82;57.19;91.03;37.99;50.77;38.77
47.47;22.25;33.87;91.92;38.22;37.96;57.24;91.08;37.96;51.27;38.38
47.40;22.40;33.86;91.96;38.36;37.94;57.37;91.12;38.17;51.43;38.64
47.58;22.70;33.79;92.00;38.33;38.00;57.50;91.17;38.13;51.51;38.78
46.99;22.83;34.00;92.04;38.39;38.14;57.55;91.21;38.08;51.58;38.92
47.24;22.72;33.83;91.98;38.20;38.04;57.44;90.84;38.14;51.66;38.97
47.01;22.69;33.66;91.90;38.01;37.85;57.25;90.79;37.95;51.40;38.78
47.03;22.66;33.50;91.94;37.68;37.99;57.06;91.00;37.77;51.15;38.59
47.12;22.79;33.42;91.98;37.77;37.82;57.03;91.04;37.99;51.31;38.64
46.98;22.68;33.50;92.02;37.83;38.41;56.61;91.01;38.05;51.22;38.78
46.99;22.65;33.41;91.98;37.81;38.37;56.82;91.05;37.86;51.21;39.00
46.77;22.54;33.33;91.94;37.69;38.50;56.79;91.09;38.73;51.03;38.97
46.87;22.44;33.33;91.97;37.65;38.48;56.91;91.06;38.86;51.31;38.64
46.88;22.25;33.25;92.01;37.69;38.53;56.88;91.10;38.84;51.30;39.45
46.89;22.37;33.07;92.05;37.67;38.81;57.08;91.12;39.12;51.52;39.50
46.84;22.42;33.18;92.01;37.80;38.71;57.20;91.00;39.32;51.67;39.62
46.90;22.40;33.11;92.04;37.71;38.76;57.32;91.03;39.29;51.73;39.67
46.70;22.30;32.96;91.58;37.61;38.59;57.06;91.06;39.11;51.58;39.49
46.78;22.20;32.81;91.54;37.37;38.42;56.80;91.24;38.94;51.42;39.31
46.72;22.32;32.74;91.49;37.55;38.52;56.85;91.27;38.99;51.64;39.29
46.66;22.22;32.81;91.52;37.61;38.82;56.79;91.24;39.11;51.63;39.33
46.67;22.27;32.67;91.56;37.52;38.79;56.88;91.13;39.03;51.70;39.31
46.75;22.17;32.60;91.60;37.50;38.84;56.99;91.10;39.34;51.76;39.28
46.69;22.15;32.50;91.49;37.34;38.89;56.96;91.07;39.31;52.25;39.18
46.78;22.05;32.63;91.53;37.25;38.80;56.93;91.04;39.36;52.24;39.61
46.86;22.13;32.61;91.56;37.31;38.91;57.11;91.07;39.40;52.30;39.89
46.88;22.39;33.17;91.53;37.29;38.89;56.94;91.04;39.44;52.43;39.93
46.91;22.40;33.19;91.56;37.28;38.93;56.92;91.08;39.35;52.49;39.83
47.01;22.34;33.13;91.63;37.12;38.77;56.68;90.91;39.19;52.27;39.67
46.83;22.25;33.06;91.47;36.97;38.61;56.45;90.92;39.03;52.13;39.56
46.77;22.15;32.92;91.50;37.08;38.59;56.42;91.04;39.00;52.19;39.52
46.72;22.20;32.79;91.54;37.66;38.31;56.53;91.08;39.12;52.18;39.48
46.67;22.11;32.72;91.50;37.65;38.76;56.36;91.05;39.09;52.17;39.52
46.74;22.09;32.59;91.54;37.70;38.61;56.71;91.02;39.17;52.10;39.50
46.69;22.00;32.79;91.50;37.61;38.59;56.55;90.92;39.23;52.36;39.61
46.77;22.11;32.80;91.54;37.53;38.57;56.46;90.89;39.20;52.53;39.73
Invalid format at line 9293
46.91;22.13;32.66;91.51;37.58;38.74;56.50;90.93;39.23;52.65;40.05
46.86;22.07;32.49;91.54;37.82;38.78;56.60;90.96;39.38;52.83;40.22
46.60;22.24;32.63;91.57;37.80;38.76;56.65;91.00;39.29;52.95;40.32
46.49;22.35;32.63;91.46;37.66;38.61;56.63;90.90;39.40;53.07;40.17
46.32;22.26;32.51;91.42;37.52;38.47;56.49;90.91;39.25;52.86;40.01
46.40;22.18;32.38;91.45;37.38;38.37;56.27;91.15;39.10;52.66;39.86
46.29;22.29;32.45;91.48;37.47;38.50;56.38;91.12;39.20;52.71;39.77
46.18;22.20;32.45;91.52;37.45;38.93;56.20;91.09;39.31;52.70;39.75
46.14;22.12;32.33;91.49;37.55;39.09;56.79;91.06;39.06;52.57;39.60
46.15;22.03;32.27;91.40;37.52;39.01;56.76;91.03;39.79;52.40;39.58
46.28;22.01;32.15;91.37;37.42;39.05;56.80;91.01;39.83;52.89;39.18
46.30;22.09;32.22;91.28;37.47;39.03;56.77;91.03;39.99;53.00;39.39
46.31;22.40;32.31;91.25;37.40;39.19;56.87;91.05;40.20;52.99;39.43
46.14;22.38;32.50;91.28;37.38;39.29;57.02;91.07;40.24;53.04;39.52
46.11;22.30;32.50;91.31;37.43;39.38;57.12;91.10;40.21;52.97;39.56
45.95;22.28;32.57;91.02;37.29;39.24;56.91;91.00;40.07;52.84;39.42
45.96;22.20;32.45;91.04;37.21;39.10;56.71;91.04;39.93;52.65;39.28
45.97;22.30;32.39;91.01;37.37;39.17;56.81;91.07;39.85;52.70;39.32
45.92;22.28;32.34;91.04;37.41;39.63;56.78;91.10;39.82;52.69;39.24
45.82;22.20;32.28;91.02;37.34;39.66;56.89;91.13;39.69;52.74;39.28
45.95;22.18;32.27;91.05;37.39;39.75;56.87;91.10;39.68;52.73;39.37
45.79;22.11;32.19;91.08;37.26;39.90;56.85;91.02;39.73;53.09;39.24
45.69;22.03;32.12;91.11;37.19;39.99;56.88;91.05;39.82;53.13;39.51
45.76;22.04;32.12;91.14;37.24;40.08;56.97;91.08;39.97;53.18;39.74
45.67;22.05;32.35;91.17;37.28;40.06;57.06;91.06;40.00;53.33;39.89
45.51;22.11;32.39;91.20;37.32;40.09;57.09;90.97;40.03;53.32;39.92
45.50;22.20;32.34;91.36;37.20;39.96;56.90;90.73;39.90;53.15;39.83
45.35;22.13;32.23;91.35;37.07;39.88;56.71;90.62;39.77;53.03;39.75
45.42;22.06;32.12;91.37;36.88;39.91;56.80;90.68;39.80;53.07;39.66
45.49;22.15;32.13;91.40;37.05;39.70;56.83;90.71;39.84;53.01;39.80
45.40;22.13;32.13;91.43;37.04;40.00;56.64;90.69;39.81;53.00;39.84
45.36;22.17;32.14;91.46;37.03;39.98;56.75;90.72;39.85;53.00;39.76
45.37;22.20;32.19;91.38;36.91;39.91;56.62;90.69;40.00;53.29;39.69
45.55;22.24;32.09;91.40;36.95;39.99;56.55;90.72;40.07;53.58;39.29
45.61;22.22;32.04;91.43;36.89;40.18;56.69;90.75;40.04;53.56;39.62
45.68;22.36;31.89;91.46;36.88;40.26;56.78;90.73;40.18;53.71;39.71
45.53;22.45;32.08;91.43;36.86;40.29;56.87;90.71;40.16;53.75;39.74
Invalid format at line 11665
45.69;22.43;32.04;91.49;36.75;40.17;56.91;90.48;40.19;53.74;39.69
45.55;22.36;31.94;91.52;36.64;40.08;56.73;90.43;40.06;53.57;39.56
45.62;22.29;31.84;91.49;36.52;40.00;56.60;90.59;39.94;53.41;39.44
45.68;22.33;31.89;91.47;36.83;39.94;56.69;90.52;39.97;53.45;39.37
Invalid format at line 11933
45.59;22.26;31.85;91.44;36.75;40.29;56.69;90.55;40.05;53.38;39.32
45.61;22.19;31.80;91.42;36.73;40.22;57.11;90.58;39.83;53.37;39.30
45.57;22.12;31.80;91.39;36.81;40.15;57.09;90.50;40.33;53.28;39.23
45.54;22.10;31.71;91.42;36.70;40.13;57.12;90.52;40.31;53.61;39.20
45.60;22.03;31.71;91.45;36.64;40.16;56.95;90.49;40.29;53.60;39.88
45.56;22.12;31.73;91.47;36.73;40.29;57.03;90.51;40.31;53.74;40.01
45.52;22.21;31.72;91.44;36.76;40.36;57.06;90.54;40.39;53.77;40.14
45.46;22.24;31.77;91.47;36.85;40.34;57.14;90.57;40.37;53.67;40.12
45.38;22.17;31.68;91.50;36.79;40.22;56.97;90.38;40.25;53.56;40.00
45.44;22.11;31.58;91.48;36.66;40.11;56.80;90.39;40.14;53.40;39.88
45.40;22.24;31.59;91.45;37.02;40.19;56.73;90.42;40.02;53.29;39.96
45.41;22.17;31.69;91.48;37.05;40.23;56.71;90.44;40.05;53.29;40.04
45.37;22.16;31.68;91.50;37.00;40.16;56.91;90.42;39.98;53.18;40.02
45.43;22.14;31.62;91.53;36.89;40.09;57.02;90.45;40.34;53.12;39.95
45.31;22.08;31.60;91.46;36.83;40.17;57.05;90.48;40.38;53.23;39.93
45.32;22.08;31.56;91.43;36.87;40.29;56.98;90.46;40.27;53.35;40.08
45.24;22.35;31.52;91.41;36.86;40.41;57.06;90.44;40.34;53.44;40.33
45.25;22.42;31.52;91.39;36.90;40.44;57.13;90.42;40.42;53.52;40.45
45.17;22.45;31.62;91.37;36.93;40.42;57.16;90.40;40.44;53.51;40.47
45.21;22.48;31.58;91.49;36.83;40.30;57.00;90.19;40.33;53.36;40.44
45.09;22.42;31.49;91.49;36.73;40.19;56.84;90.15;40.22;53.26;40.37
45.15;22.36;31.40;91.51;36.70;40.13;56.91;90.26;40.16;53.30;40.26
45.07;22.48;31.50;91.49;36.68;39.98;57.03;90.24;40.27;53.39;40.28
45.00;22.56;31.51;91.51;36.58;40.20;57.01;90.22;40.30;53.33;40.22
45.10;22.50;31.51;91.49;36.66;40.18;57.27;90.25;40.05;53.28;40.20
45.11;22.43;31.47;91.47;36.56;40.16;57.21;90.19;40.43;53.26;40.23
45.21;22.37;31.39;91.49;36.51;40.10;57.23;90.21;40.41;53.58;40.14
45.18;22.51;31.39;91.51;36.50;40.26;57.26;90.19;40.43;53.66;40.25
45.20;22.69;31.44;91.54;36.45;40.28;57.34;90.22;40.55;53.74;40.23
45.07;22.76;31.67;91.56;36.40;40.31;57.32;90.24;40.53;53.77;40.25
45.25;22.79;31.67;91.59;36.30;40.24;57.35;90.05;40.46;53.72;40.24
45.13;22.73;31.59;91.58;36.21;40.17;57.20;90.01;40.36;53.62;40.13
45.18;22.67;31.51;91.60;36.05;40.10;57.09;90.08;40.30;53.48;40.03
45.20;22.74;31.60;91.62;35.99;40.09;57.20;90.10;40.28;53.56;40.05
45.17;22.73;31.60;91.65;35.97;40.33;57.08;90.08;40.30;53.51;40.08
45.26;22.71;31.52;91.67;35.91;40.23;57.47;90.11;40.02;53.41;40.15
