AntiSquid;Baseline1;Baseline2;Coac;Conrisc;Fabbiamo;Marasbot;ProphetCoac;UJIAgent1;UJIAgent2;UJIAgent3
45.10;21.31;31.14;89.81;37.92;42.39;57.59;88.22;41.09;54.88;40.36
45.10;21.30;31.12;89.79;37.91;42.38;57.57;88.23;41.08;54.85;40.35
45.11;21.31;31.12;89.79;37.93;42.38;57.57;88.23;41.08;54.86;40.36
45.09;21.30;31.13;89.78;37.93;42.43;57.58;88.23;41.09;54.86;40.35
45.08;21.30;31.13;89.78;37.93;42.44;57.58;88.21;41.10;54.86;40.34
45.09;21.29;31.13;89.78;37.92;42.44;57.58;88.22;41.12;54.85;40.34
45.08;21.28;31.15;89.79;37.91;42.45;57.58;88.22;41.10;54.84;40.35
45.07;21.28;31.14;89.79;37.91;42.44;57.59;88.21;41.10;54.86;40.38
45.07;21.26;31.14;89.80;37.93;42.47;57.60;88.20;41.12;54.88;40.41
45.08;21.26;31.18;89.80;37.95;42.46;57.61;88.20;41.12;54.89;40.41
45.05;21.25;31.21;89.81;37.94;42.48;57.62;88.20;41.12;54.90;40.41
45.06;21.26;31.20;89.79;37.92;42.48;57.60;88.17;41.10;54.89;40.40
45.04;21.25;31.19;89.79;37.90;42.46;57.59;88.14;41.09;54.88;40.39
45.04;21.24;31.17;89.78;37.93;42.48;57.59;88.15;41.07;54.88;40.37
45.03;21.26;31.17;89.78;37.95;42.46;57.59;88.16;41.08;54.87;40.37
45.02;21.25;31.18;89.77;37.94;42.49;57.59;88.16;41.09;54.87;40.36
45.03;21.25;31.18;89.78;37.96;42.50;57.62;88.17;41.04;54.86;40.36
45.03;21.24;31.19;89.77;37.94;42.50;57.62;88.17;41.06;54.86;40.36
45.04;21.23;31.19;89.77;37.95;42.51;57.61;88.16;41.06;54.88;40.36
45.05;21.23;31.19;89.77;37.94;42.52;57.61;88.17;41.07;54.90;40.39
45.06;21.22;31.20;89.77;37.94;42.52;57.62;88.17;41.09;54.91;40.41
45.03;21.22;31.25;89.77;37.94;42.55;57.63;88.17;41.08;54.91;40.42
45.08;21.22;31.23;89.76;37.92;42.53;57.63;88.15;41.06;54.92;40.41
45.07;21.21;31.23;89.75;37.91;42.52;57.61;88.15;41.05;54.90;40.39
45.07;21.20;31.22;89.75;37.89;42.51;57.61;88.15;41.03;54.87;40.38
45.08;21.21;31.21;89.75;37.96;42.48;57.62;88.15;41.02;54.87;40.38
45.06;21.20;31.23;89.76;37.96;42.53;57.59;88.15;41.01;54.85;40.39
45.07;21.20;31.23;89.75;37.95;42.53;57.64;88.15;40.96;54.84;40.38
45.08;21.19;31.23;89.75;37.97;42.53;57.64;88.15;41.01;54.81;40.39
45.07;21.19;31.25;89.75;37.97;42.53;57.64;88.15;41.01;54.81;40.37
Invalid format at line 84067
45.08;21.18;31.24;89.75;37.96;42.53;57.66;88.16;41.01;54.81;40.43
45.08;21.20;31.26;89.75;37.97;42.54;57.67;88.16;41.02;54.82;40.46
45.08;21.20;31.31;89.74;37.98;42.53;57.66;88.16;41.01;54.83;40.47
45.07;21.22;31.32;89.75;37.99;42.53;57.66;88.15;41.01;54.83;40.46
45.06;21.21;31.30;89.77;37.98;42.51;57.64;88.12;40.99;54.80;40.45
45.04;21.20;31.30;89.77;37.97;42.49;57.62;88.11;40.98;54.78;40.44
45.05;21.21;31.31;89.77;37.96;42.49;57.64;88.11;40.98;54.78;40.46
45.04;21.21;31.32;89.77;37.95;42.48;57.65;88.12;41.00;54.77;40.46
45.02;21.21;31.33;89.78;37.96;42.48;57.63;88.12;41.00;54.76;40.45
45.03;21.21;31.33;89.78;37.96;42.49;57.63;88.13;40.99;54.76;40.45
45.03;21.20;31.35;89.79;37.95;42.48;57.63;88.12;40.99;54.77;40.44
45.02;21.20;31.34;89.79;37.95;42.47;57.65;88.12;40.98;54.78;40.47
45.04;21.18;31.34;89.79;37.96;42.50;57.65;88.12;40.99;54.80;40.52
45.02;21.18;31.40;89.79;37.97;42.49;57.65;88.11;41.00;54.81;40.52
44.99;21.18;31.43;89.79;37.98;42.49;57.67;88.12;41.00;54.81;40.51
45.00;21.18;31.45;89.79;37.97;42.47;57.66;88.09;40.99;54.79;40.50
44.99;21.17;31.44;89.77;37.96;42.45;57.64;88.08;40.97;54.77;40.49
44.98;21.17;31.43;89.78;38.00;42.45;57.62;88.09;40.96;54.77;40.47
44.98;21.16;31.43;89.78;38.03;42.42;57.63;88.09;40.96;54.77;40.47
44.96;21.16;31.44;89.77;38.03;42.47;57.63;88.08;40.96;54.75;40.46
44.98;21.16;31.45;89.77;38.05;42.48;57.68;88.09;40.90;54.73;40.45
44.97;21.15;31.45;89.77;38.05;42.49;57.66;88.09;40.94;54.73;40.45
44.98;21.14;31.44;89.77;38.05;42.48;57.66;88.08;40.95;54.75;40.45
44.99;21.14;31.43;89.78;38.05;42.50;57.67;88.08;40.94;54.76;40.51
44.98;21.13;31.46;89.77;38.06;42.51;57.68;88.08;40.96;54.78;40.52
44.98;21.14;31.49;89.76;38.06;42.51;57.67;88.07;40.96;54.79;40.53
45.01;21.14;31.48;89.76;38.05;42.50;57.68;88.04;40.96;54.79;40.54
44.99;21.13;31.47;89.76;38.03;42.49;57.65;88.03;40.94;54.78;40.52
44.98;21.12;31.46;89.75;38.03;42.47;57.63;88.05;40.92;54.76;40.50
44.98;21.14;31.47;89.76;38.03;42.47;57.63;88.05;40.93;54.77;40.51
44.96;21.13;31.47;89.75;38.04;42.52;57.61;88.05;40.93;54.76;40.50
44.97;21.13;31.48;89.76;38.04;42.53;57.63;88.05;40.90;54.75;40.49
44.98;21.13;31.50;89.76;38.04;42.51;57.64;88.05;40.96;54.72;40.48
44.96;21.12;31.49;89.76;38.04;42.51;57.62;88.05;40.96;54.76;40.48
44.97;21.12;31.48;89.76;38.03;42.50;57.61;88.06;40.95;54.75;40.58
44.98;21.10;31.51;89.77;38.03;42.52;57.63;88.06;40.96;54.76;40.59
44.98;21.10;31.58;89.76;38.03;42.51;57.62;88.06;40.95;54.78;40.60
44.94;21.11;31.59;89.75;38.03;42.52;57.63;88.07;40.94;54.79;40.62
44.93;21.10;31.58;89.76;38.02;42.51;57.61;88.04;40.93;54.77;40.61
44.92;21.09;31.56;89.74;38.01;42.49;57.59;88.04;40.91;54.75;40.59
44.92;21.09;31.57;89.73;38.05;42.49;57.61;88.03;40.91;54.74;40.60
44.91;21.09;31.57;89.72;38.05;42.54;57.61;88.04;40.90;54.74;40.60
44.90;21.08;31.57;89.73;38.05;42.54;57.59;88.04;40.91;54.73;40.59
44.91;21.09;31.57;89.73;38.06;42.54;57.59;88.05;40.93;54.73;40.59
44.91;21.08;31.57;89.72;38.05;42.52;57.58;88.04;40.95;54.74;40.59
44.92;21.08;31.57;89.72;38.05;42.53;57.58;88.04;40.95;54.75;40.58
44.93;21.07;31.57;89.72;38.06;42.54;57.60;88.04;40.98;54.75;40.62
44.92;21.07;31.61;89.73;38.07;42.54;57.60;88.04;40.97;54.75;40.64
44.93;21.08;31.64;89.72;38.07;42.54;57.61;88.03;40.96;54.74;40.63
44.95;21.07;31.64;89.73;38.05;42.53;57.59;88.01;40.95;54.73;40.64
44.93;21.06;31.63;89.71;38.04;42.51;57.57;88.03;40.93;54.71;40.63
44.95;21.05;31.61;89.72;38.04;42.51;57.55;88.05;40.93;54.70;40.61
44.95;21.06;31.62;89.72;38.04;42.49;57.54;88.06;40.93;54.71;40.62
44.94;21.05;31.62;89.72;38.04;42.53;57.53;88.05;40.93;54.69;40.63
44.95;21.05;31.61;89.73;38.04;42.53;57.57;88.06;40.89;54.68;40.64
44.94;21.04;31.60;89.73;38.03;42.53;57.57;88.06;40.95;54.67;40.63
44.94;21.03;31.60;89.74;38.03;42.53;57.58;88.06;40.95;54.71;40.59
44.96;21.02;31.60;89.74;38.05;42.55;57.59;88.07;40.96;54.72;40.59
44.97;21.03;31.60;89.75;38.06;42.55;57.60;88.07;40.96;54.73;40.60
44.95;21.05;31.60;89.75;38.05;42.55;57.61;88.08;40.97;54.75;40.62
44.96;21.05;31.61;89.75;38.03;42.56;57.61;88.05;40.96;54.75;40.61
44.94;21.05;31.59;89.76;38.02;42.54;57.59;88.05;40.95;54.73;40.59
44.94;21.04;31.58;89.77;37.99;42.52;57.56;88.09;40.93;54.71;40.57
44.95;21.04;31.57;89.77;38.05;42.49;57.57;88.09;40.92;54.70;40.58
44.94;21.04;31.57;89.77;38.04;42.56;57.54;88.09;40.92;54.70;40.57
44.95;21.03;31.56;89.78;38.03;42.57;57.58;88.09;40.89;54.69;40.58
44.94;21.02;31.55;89.78;38.03;42.57;57.59;88.09;40.96;54.65;40.58
44.94;21.01;31.55;89.79;38.02;42.57;57.58;88.09;40.95;54.69;40.57
Invalid format at line 88422
44.95;21.02;31.54;89.79;38.04;42.57;57.57;88.09;40.96;54.67;40.62
44.96;21.03;31.54;89.79;38.03;42.58;57.58;88.10;40.98;54.69;40.64
44.96;21.03;31.57;89.79;38.03;42.58;57.59;88.10;40.99;54.69;40.65
44.95;21.03;31.57;89.79;38.02;42.59;57.60;88.11;40.98;54.69;40.65
44.94;21.02;31.56;89.81;38.01;42.57;57.58;88.09;40.97;54.67;40.64
44.93;21.01;31.55;89.80;37.99;42.56;57.56;88.09;40.95;54.65;40.62
44.93;21.02;31.54;89.81;37.98;42.57;57.56;88.10;40.95;54.67;40.62
44.92;21.02;31.55;89.81;37.97;42.60;57.57;88.10;40.96;54.66;40.62
44.91;21.01;31.55;89.81;37.96;42.61;57.59;88.11;40.94;54.65;40.61
44.93;21.01;31.55;89.81;37.95;42.61;57.60;88.11;40.96;54.64;40.60
44.92;21.00;31.56;89.82;37.94;42.61;57.60;88.11;40.99;54.62;40.59
44.92;21.00;31.57;89.82;37.93;42.60;57.61;88.11;41.00;54.62;40.59
44.93;21.01;31.56;89.83;37.94;42.62;57.61;88.11;41.01;54.63;40.63
44.93;21.03;31.62;89.82;37.93;42.61;57.61;88.11;41.00;54.64;40.64
44.91;21.05;31.63;89.83;37.92;42.62;57.62;88.11;41.00;54.63;40.65
44.90;21.05;31.63;89.82;37.90;42.60;57.60;88.11;40.98;54.63;40.66
44.88;21.04;31.61;89.83;37.89;42.58;57.58;88.11;40.97;54.62;40.65
44.89;21.03;31.60;89.83;37.88;42.59;57.57;88.13;40.96;54.60;40.63
44.88;21.05;31.59;89.83;37.89;42.56;57.58;88.14;40.96;54.62;40.64
44.86;21.04;31.61;89.83;37.88;42.57;57.58;88.14;40.98;54.62;40.64
44.86;21.04;31.60;89.84;37.88;42.57;57.65;88.15;40.95;54.60;40.63
44.86;21.05;31.60;89.84;37.88;42.57;57.65;88.14;40.98;54.56;40.62
44.87;21.05;31.59;89.84;37.87;42.59;57.64;88.15;40.98;54.62;40.58
44.89;21.03;31.58;89.84;37.88;42.60;57.64;88.15;40.99;54.62;40.62
44.90;21.05;31.59;89.85;37.87;42.60;57.64;88.16;41.01;54.63;40.63
44.87;21.06;31.63;89.85;37.87;42.61;57.65;88.16;41.00;54.64;40.63
44.90;21.06;31.61;89.84;37.86;42.62;57.66;88.15;40.99;54.63;40.62
44.89;21.05;31.60;89.85;37.85;42.60;57.64;88.14;40.98;54.61;40.61
44.90;21.04;31.59;89.85;37.83;42.58;57.62;88.16;40.96;54.59;40.59
44.90;21.04;31.58;89.86;37.86;42.57;57.62;88.16;40.96;54.60;40.60
44.89;21.04;31.58;89.86;37.85;42.62;57.60;88.17;40.95;54.59;40.61
44.90;21.03;31.58;89.86;37.86;42.62;57.64;88.17;40.91;54.58;40.60
44.89;21.04;31.59;89.87;37.85;42.62;57.63;88.17;40.94;54.57;40.60
44.89;21.03;31.58;89.87;37.84;42.63;57.61;88.17;40.94;54.63;40.59
44.89;21.05;31.58;89.87;37.83;42.63;57.62;88.18;40.93;54.63;40.62
44.89;21.04;31.58;89.88;37.85;42.65;57.63;88.18;40.94;54.65;40.63
44.90;21.04;31.61;89.88;37.84;42.65;57.63;88.18;40.96;54.66;40.64
44.91;21.03;31.61;89.88;37.84;42.65;57.64;88.18;40.94;54.67;40.65
44.89;21.03;31.60;89.92;37.82;42.63;57.61;88.15;40.92;54.65;40.63
44.87;21.02;31.59;89.92;37.81;42.61;57.59;88.17;40.91;54.63;40.61
44.87;21.02;31.58;89.92;37.79;42.62;57.60;88.17;40.90;54.64;40.62
44.87;21.02;31.59;89.92;37.81;42.64;57.60;88.18;40.91;54.63;40.61
44.85;21.01;31.60;89.92;37.80;42.64;57.63;88.18;40.90;54.62;40.60
44.86;21.01;31.58;89.92;37.80;42.64;57.66;88.19;40.91;54.61;40.60
44.84;21.00;31.58;89.92;37.80;42.64;57.65;88.19;40.92;54.62;40.59
44.83;21.00;31.59;89.93;37.78;42.65;57.64;88.19;40.91;54.64;40.64
44.84;21.01;31.59;89.93;37.77;42.66;57.65;88.19;40.93;54.65;40.66
44.84;21.02;31.63;89.93;37.77;42.66;57.67;88.19;40.92;54.64;40.67
44.86;21.02;31.65;89.93;37.76;42.66;57.67;88.20;40.92;54.64;40.68
44.87;21.02;31.65;89.94;37.74;42.64;57.64;88.18;40.90;54.64;40.67
44.86;21.01;31.64;89.94;37.73;42.63;57.62;88.19;40.89;54.61;40.65
44.86;21.00;31.63;89.93;37.71;42.62;57.63;88.21;40.89;54.59;40.63
44.86;21.02;31.64;89.94;37.71;42.60;57.64;88.21;40.89;54.60;40.65
44.86;21.02;31.62;89.94;37.71;42.67;57.60;88.22;40.90;54.58;40.63
44.86;21.01;31.62;89.94;37.71;42.68;57.67;88.22;40.86;54.57;40.61
44.85;21.00;31.62;89.95;37.70;42.69;57.67;88.22;40.89;54.57;40.61
Invalid format at line 91986
44.85;20.99;31.61;89.95;37.69;42.69;57.68;88.22;40.88;54.60;40.61
44.84;21.02;31.61;89.96;37.71;42.69;57.67;88.22;40.90;54.60;40.62
44.85;21.04;31.61;89.96;37.71;42.69;57.68;88.23;40.91;54.62;40.62
44.84;21.05;31.63;89.95;37.71;42.69;57.70;88.23;40.92;54.63;40.62
44.86;21.05;31.63;89.95;37.70;42.70;57.71;88.20;40.90;54.62;40.62
44.84;21.04;31.62;89.95;37.69;42.68;57.68;88.21;40.89;54.60;40.60
44.85;21.03;31.61;89.95;37.65;42.67;57.66;88.25;40.87;54.58;40.59
44.84;21.05;31.62;89.96;37.64;42.67;57.68;88.25;40.88;54.58;40.59
Invalid format at line 92515
44.84;21.04;31.62;89.95;37.63;42.71;57.67;88.25;40.89;54.57;40.59
44.84;21.04;31.61;89.96;37.62;42.70;57.72;88.25;40.88;54.57;40.59
44.83;21.04;31.59;89.96;37.62;42.70;57.72;88.26;40.93;54.56;40.58
44.84;21.03;31.58;89.96;37.61;42.69;57.71;88.25;40.92;54.63;40.58
44.84;21.03;31.58;89.97;37.61;42.70;57.71;88.25;40.92;54.63;40.59
44.85;21.04;31.58;89.97;37.61;42.71;57.73;88.25;40.93;54.65;40.60
44.85;21.04;31.60;89.97;37.60;42.72;57.74;88.26;40.93;54.66;40.61
44.83;21.06;31.61;89.98;37.62;42.72;57.75;88.25;40.93;54.66;40.59
44.80;21.05;31.61;89.99;37.60;42.70;57.73;88.23;40.91;54.65;40.57
44.79;21.05;31.60;89.98;37.59;42.69;57.72;88.23;40.90;54.63;40.57
44.78;21.05;31.59;89.98;37.56;42.70;57.73;88.24;40.91;54.65;40.57
44.78;21.05;31.60;89.98;37.56;42.71;57.74;88.24;40.91;54.63;40.56
44.77;21.05;31.61;89.99;37.55;42.71;57.74;88.24;40.90;54.63;40.56
44.78;21.04;31.61;89.99;37.55;42.72;57.76;88.24;40.92;54.62;40.55
44.78;21.04;31.61;89.99;37.53;42.71;57.77;88.24;40.93;54.61;40.56
44.79;21.04;31.59;89.99;37.52;42.72;57.77;88.23;40.94;54.64;40.55
44.79;21.08;31.60;90.00;37.53;42.72;57.78;88.23;40.93;54.65;40.57
44.80;21.10;31.60;90.00;37.53;42.71;57.79;88.24;40.95;54.66;40.58
44.74;21.10;31.61;90.00;37.54;42.72;57.79;88.24;40.95;54.66;40.60
44.75;21.11;31.62;90.01;37.53;42.71;57.77;88.22;40.94;54.66;40.59
44.73;21.10;31.60;90.01;37.51;42.69;57.75;88.22;40.93;54.64;40.58
44.74;21.09;31.59;90.01;37.49;42.70;57.75;88.24;40.92;54.62;40.56
44.73;21.10;31.60;90.02;37.50;42.68;57.76;88.25;40.93;54.63;40.56
44.72;21.09;31.62;90.02;37.49;42.71;57.75;88.25;40.94;54.61;40.56
44.73;21.09;31.61;90.02;37.49;42.71;57.79;88.25;40.90;54.62;40.55
44.75;21.08;31.59;90.02;37.49;42.70;57.79;88.26;40.98;54.56;40.54
44.75;21.08;31.58;90.02;37.48;42.71;57.78;88.26;40.98;54.59;40.54
44.75;21.09;31.58;90.03;37.48;42.71;57.77;88.26;40.98;54.60;40.60
44.75;21.07;31.60;90.03;37.47;42.73;57.79;88.26;40.99;54.61;40.61
44.74;21.07;31.63;90.03;37.47;42.73;57.81;88.25;41.00;54.61;40.62
44.73;21.08;31.64;90.02;37.48;42.74;57.82;88.23;40.99;54.60;40.61
44.71;21.07;31.63;90.05;37.46;42.73;57.80;88.21;40.98;54.58;40.60
44.72;21.06;31.62;90.05;37.44;42.71;57.78;88.24;40.96;54.56;40.59
44.70;21.06;31.61;90.05;37.50;42.72;57.77;88.24;40.95;54.56;40.58
44.69;21.05;31.61;90.05;37.50;42.78;57.77;88.25;40.96;54.55;40.56
44.70;21.06;31.60;90.05;37.49;42.79;57.75;88.25;40.96;54.56;40.57
44.68;21.05;31.60;90.05;37.49;42.80;57.76;88.25;40.98;54.57;40.56
44.67;21.05;31.59;90.05;37.48;42.80;57.77;88.26;40.97;54.59;40.57
44.66;21.06;31.58;90.06;37.47;42.81;57.77;88.25;40.97;54.59;40.59
44.67;21.07;31.58;90.06;37.47;42.83;57.78;88.26;40.99;54.61;40.60
44.68;21.07;31.57;90.06;37.48;42.84;57.78;88.26;41.00;54.61;40.61
44.70;21.08;31.57;90.06;37.48;42.85;57.79;88.27;40.99;54.61;40.60
44.68;21.07;31.58;90.06;37.47;42.84;57.78;88.26;40.98;54.59;40.58
44.66;21.06;31.57;90.06;37.45;42.82;57.76;88.25;40.96;54.57;40.57
44.66;21.06;31.55;90.06;37.50;42.81;57.76;88.26;40.95;54.57;40.56
44.66;21.05;31.55;90.06;37.53;42.85;57.75;88.26;40.94;54.56;40.56
44.65;21.05;31.57;90.06;37.52;42.87;57.75;88.25;40.93;54.55;40.56
44.67;21.05;31.56;90.07;37.52;42.86;57.78;88.25;40.94;54.54;40.55
44.65;21.05;31.56;90.07;37.51;42.85;57.78;88.25;40.97;54.54;40.54
Invalid format at line 95664
44.65;21.05;31.54;90.07;37.51;42.84;57.78;88.25;40.97;54.57;40.56
44.65;21.05;31.54;90.07;37.51;42.86;57.78;88.25;40.98;54.57;40.60
44.65;21.06;31.56;90.08;37.53;42.86;57.79;88.25;40.98;54.58;40.62
44.62;21.06;31.57;90.07;37.54;42.86;57.80;88.25;40.98;54.59;40.63
44.65;21.06;31.57;90.07;37.52;42.84;57.79;88.23;40.97;54.60;40.62
44.63;21.05;31.55;90.06;37.51;42.83;57.76;88.24;40.96;54.58;40.60
44.62;21.05;31.54;90.07;37.52;42.83;57.76;88.25;40.95;54.56;40.59
44.61;21.05;31.54;90.07;37.57;42.83;57.75;88.25;40.94;54.57;40.58
44.60;21.04;31.54;90.06;37.56;42.86;57.75;88.25;40.95;54.58;40.57
44.61;21.03;31.53;90.05;37.55;42.85;57.80;88.25;40.93;54.58;40.56
44.61;21.03;31.53;90.05;37.54;42.86;57.81;88.24;40.98;54.58;40.55
44.62;21.02;31.53;90.05;37.55;42.87;57.81;88.24;40.98;54.60;40.52
Invalid format at line 96400
Invalid format at line 96408
44.61;21.03;31.53;90.05;37.55;42.88;57.81;88.25;40.97;54.61;40.55
44.62;21.03;31.51;90.06;37.56;42.90;57.82;88.25;40.98;54.62;40.57
44.61;21.02;31.54;90.06;37.57;42.90;57.83;88.24;40.98;54.63;40.58
44.61;21.02;31.55;90.05;37.57;42.91;57.84;88.23;40.97;54.63;40.58
44.59;21.01;31.54;90.04;37.57;42.90;57.84;88.21;40.96;54.61;40.56
44.59;21.01;31.52;90.04;37.54;42.89;57.83;88.22;40.94;54.60;40.55
44.59;21.01;31.52;90.04;37.58;42.87;57.82;88.23;40.95;54.61;40.55
44.58;21.00;31.51;90.05;37.57;42.94;57.82;88.23;40.95;54.59;40.54
44.57;21.01;31.51;90.05;37.57;42.93;57.80;88.24;40.97;54.59;40.54
44.57;21.01;31.50;90.05;37.56;42.94;57.81;88.24;40.99;54.59;40.54
44.57;21.00;31.50;90.05;37.55;42.94;57.81;88.23;40.99;54.62;40.52
44.58;21.00;31.50;90.05;37.56;42.94;57.81;88.24;41.00;54.60;40.55
44.57;21.04;31.50;90.05;37.55;42.96;57.82;88.24;41.01;54.61;40.56
44.56;21.07;31.52;90.06;37.55;42.97;57.82;88.25;41.01;54.61;40.57
44.56;21.08;31.52;90.05;37.55;42.98;57.83;88.24;40.99;54.60;40.57
44.55;21.08;31.52;90.07;37.54;42.96;57.81;88.23;40.97;54.58;40.55
44.54;21.07;31.51;90.06;37.53;42.95;57.79;88.23;40.96;54.58;40.54
44.53;21.07;31.50;90.07;37.53;42.95;57.80;88.24;40.96;54.59;40.53
44.53;21.07;31.50;90.07;37.54;43.00;57.79;88.25;40.95;54.57;40.52
44.51;21.06;31.50;90.07;37.53;43.03;57.77;88.25;40.95;54.56;40.52
44.52;21.06;31.49;90.08;37.54;43.03;57.78;88.25;40.92;54.56;40.53
44.51;21.07;31.51;90.08;37.54;43.04;57.78;88.26;40.91;54.56;40.53
44.51;21.06;31.50;90.07;37.54;43.04;57.77;88.26;40.91;54.60;40.53
44.53;21.03;31.50;90.08;37.56;43.05;57.78;88.26;40.92;54.61;40.55
44.53;21.04;31.50;90.08;37.56;43.08;57.79;88.27;40.92;54.62;40.57
44.53;21.03;31.52;90.07;37.55;43.08;57.80;88.27;40.92;54.62;40.57
44.53;21.04;31.52;90.08;37.53;43.06;57.78;88.25;40.93;54.63;40.57
44.51;21.03;31.51;90.07;37.52;43.05;57.77;88.26;40.91;54.61;40.56
44.52;21.02;31.50;90.07;37.51;43.04;57.76;88.29;40.90;54.59;40.54
44.51;21.03;31.51;90.07;37.55;43.05;57.76;88.29;40.88;54.58;40.54
44.50;21.03;31.51;90.07;37.56;43.08;57.73;88.29;40.88;54.57;40.55
44.50;21.02;31.51;90.08;37.55;43.08;57.78;88.29;40.87;54.56;40.54
44.48;21.01;31.50;90.07;37.54;43.08;57.79;88.28;40.90;54.57;40.54
Invalid format at line 98524
44.48;21.01;31.50;90.07;37.54;43.09;57.79;88.28;40.90;54.59;40.53
44.50;21.02;31.49;90.06;37.55;43.11;57.80;88.27;40.90;54.59;40.54
44.50;21.04;31.47;90.07;37.55;43.13;57.80;88.28;40.91;54.61;40.56
44.47;21.04;31.49;90.07;37.56;43.13;57.80;88.28;40.92;54.62;40.57
44.50;21.04;31.49;90.08;37.54;43.14;57.81;88.27;40.91;54.63;40.57
44.49;21.03;31.48;90.09;37.53;43.12;57.79;88.22;40.90;54.61;40.55
44.49;21.03;31.47;90.10;37.52;43.10;57.78;88.25;40.88;54.59;40.54
44.47;21.03;31.46;90.10;37.56;43.13;57.77;88.25;40.88;54.60;40.54
44.46;21.03;31.46;90.10;37.56;43.17;57.77;88.25;40.87;54.59;40.54
44.46;21.02;31.44;90.10;37.54;43.17;57.80;88.24;40.85;54.59;40.54
44.46;21.02;31.44;90.10;37.55;43.16;57.81;88.25;40.88;54.60;40.53
44.45;21.01;31.43;90.09;37.54;43.18;57.81;88.25;40.88;54.64;40.53
44.45;21.02;31.43;90.08;37.52;43.20;57.81;88.25;40.89;54.65;40.52
44.46;21.02;31.43;90.09;37.53;43.22;57.81;88.26;40.91;54.64;40.53
44.46;21.03;31.47;90.09;37.55;43.23;57.81;88.26;40.91;54.65;40.53
44.45;21.03;31.47;90.09;37.55;43.23;57.82;88.26;40.91;54.65;40.52
44.45;21.03;31.46;90.10;37.54;43.21;57.80;88.25;40.90;54.63;40.51
44.43;21.02;31.45;90.10;37.53;43.20;57.78;88.25;40.88;54.62;40.50
44.44;21.01;31.44;90.08;37.57;43.20;57.77;88.26;40.88;54.61;40.49
44.42;21.01;31.45;90.09;37.56;43.21;57.77;88.27;40.88;54.61;40.50
44.41;21.01;31.45;90.08;37.56;43.26;57.76;88.27;40.88;54.60;40.49
44.41;21.00;31.43;90.09;37.55;43.26;57.80;88.27;40.86;54.61;40.49
44.42;21.00;31.42;90.09;37.55;43.26;57.79;88.26;40.90;54.59;40.49
44.42;20.99;31.42;90.08;37.55;43.27;57.79;88.26;40.91;54.62;40.49
44.42;20.98;31.42;90.09;37.57;43.28;57.79;88.26;40.92;54.62;40.51
44.42;21.00;31.42;90.09;37.58;43.29;57.79;88.27;40.93;54.63;40.52
44.41;21.01;31.44;90.09;37.58;43.28;57.79;88.27;40.95;54.63;40.53
44.40;21.03;31.45;90.09;37.56;43.27;57.78;88.24;40.95;54.63;40.52
44.39;21.02;31.44;90.09;37.55;43.25;57.77;88.25;40.93;54.61;40.50
44.39;21.01;31.43;90.09;37.53;43.25;57.76;88.26;40.92;54.59;40.50
44.37;21.02;31.43;90.09;37.57;43.26;57.76;88.27;40.92;54.58;40.50
44.36;21.01;31.42;90.09;37.56;43.34;57.75;88.27;40.92;54.57;40.48
44.37;21.01;31.42;90.09;37.56;43.34;57.78;88.27;40.89;54.56;40.47
44.36;21.01;31.41;90.09;37.56;43.33;57.78;88.28;40.94;54.55;40.47
44.36;21.00;31.39;90.09;37.55;43.33;57.78;88.28;40.95;54.59;40.46
44.35;21.00;31.39;90.09;37.56;43.33;57.78;88.28;40.96;54.58;40.51
44.36;21.03;31.37;90.10;37.57;43.35;57.77;88.28;40.97;54.60;40.53
44.35;21.02;31.40;90.09;37.58;43.35;57.78;88.29;40.96;54.61;40.53
44.37;21.03;31.41;90.10;37.58;43.36;57.78;88.29;40.95;54.60;40.51
44.35;21.02;31.40;90.10;37.57;43.35;57.76;88.27;40.94;54.59;40.50
44.36;21.01;31.39;90.09;37.55;43.33;57.74;88.29;40.93;54.58;40.49
44.34;21.02;31.39;90.09;37.58;43.35;57.74;88.30;40.93;54.57;40.48
44.34;21.01;31.39;90.09;37.56;43.40;57.75;88.30;40.93;54.56;40.47
44.33;21.01;31.38;90.08;37.55;43.42;57.77;88.31;40.92;54.54;40.47
44.33;21.01;31.38;90.09;37.55;43.42;57.77;88.31;40.95;54.54;40.47
44.33;21.01;31.38;90.09;37.54;43.42;57.77;88.31;40.95;54.54;40.47
Invalid format at line 101490
44.33;21.00;31.37;90.09;37.53;43.42;57.77;88.30;40.94;54.55;40.52
44.33;21.01;31.37;90.09;37.54;43.43;57.78;88.31;40.96;54.55;40.53
44.33;21.02;31.42;90.10;37.54;43.43;57.78;88.30;40.96;54.57;40.53
44.31;21.01;31.43;90.09;37.55;43.44;57.79;88.31;40.95;54.56;40.54
44.32;21.01;31.42;90.10;37.53;43.42;57.78;88.28;40.93;54.55;40.53
44.30;21.01;31.42;90.07;37.52;43.41;57.77;88.30;40.92;54.53;40.52
44.30;21.00;31.41;90.08;37.53;43.40;57.76;88.31;40.92;54.53;40.51
44.29;20.99;31.40;90.08;37.58;43.39;57.77;88.31;40.93;54.53;40.50
44.28;20.99;31.41;90.07;37.58;43.41;57.76;88.31;40.92;54.53;40.50
44.30;20.99;31.41;90.07;37.58;43.42;57.77;88.32;40.90;54.53;40.49
44.29;20.98;31.42;90.07;37.58;43.42;57.77;88.31;40.95;54.53;40.48
44.29;20.97;31.41;90.07;37.57;43.41;57.77;88.31;40.94;54.57;40.47
