AdvancedAvocadoAgent;Ag2O;Baseline1;Baseline2;ByteRL;Chad;Coac;DrainPower;DrainPowerAggressive;LANE\\_1\\_0;OneLaneIsEnough;ReinforcedGreediness
 18.53; 18.18; 20.10; 21.42; 94.23; 63.72; 69.23; 74.30; 75.44; 37.94; 56.03; 50.87
 18.44; 18.35; 19.90; 21.44; 94.25; 63.98; 69.04; 74.27; 75.47; 37.82; 56.09; 50.94
 18.69; 18.43; 20.03; 21.38; 94.36; 64.14; 68.52; 74.24; 75.51; 37.63; 55.98; 51.09
 18.43; 18.43; 20.00; 21.49; 94.38; 64.38; 67.93; 74.46; 75.54; 37.77; 56.12; 51.07
 18.51; 18.43; 20.13; 21.35; 94.32; 64.77; 67.61; 74.27; 75.65; 37.66; 56.01; 51.30
 18.34; 18.50; 20.26; 21.37; 94.42; 64.99; 67.46; 74.32; 75.60; 37.48; 55.90; 51.36
 18.57; 18.42; 20.45; 21.32; 94.44; 65.13; 67.16; 74.45; 75.71; 37.30; 55.49; 51.57
 18.64; 18.41; 20.49; 21.57; 94.45; 65.02; 67.26; 74.65; 75.73; 37.06; 55.24; 51.46
 18.64; 18.26; 20.45; 21.74; 94.39; 65.38; 67.05; 74.70; 75.76; 36.97; 55.23; 51.44
 18.78; 18.18; 20.49; 22.06; 94.41; 65.35; 66.99; 74.89; 75.48; 36.81; 55.14; 51.42
 18.91; 18.04; 20.45; 22.29; 94.43; 65.32; 67.01; 75.00; 75.73; 36.73; 54.99; 51.10
 18.69; 18.25; 20.35; 22.44; 94.37; 65.58; 67.10; 74.68; 75.69; 36.72; 54.91; 51.23
 18.68; 18.32; 20.45; 22.16; 94.32; 65.70; 67.05; 74.93; 75.64; 36.86; 54.83; 51.07
 18.74; 18.32; 20.63; 22.24; 94.13; 66.08; 66.99; 74.69; 75.66; 36.64; 54.83; 51.05
 18.60; 18.18; 20.73; 22.25; 94.01; 65.91; 67.08; 74.79; 75.90; 36.64; 54.89; 51.03
 18.59; 18.39; 20.62; 22.39; 94.10; 66.01; 67.03; 74.76; 75.78; 36.57; 54.88; 50.88
 18.65; 18.38; 20.66; 22.33; 94.12; 65.78; 67.11; 74.93; 75.87; 36.56; 54.68; 50.94
 18.58; 18.38; 20.82; 22.46; 94.20; 65.94; 67.13; 74.64; 75.82; 36.43; 54.68; 50.92
 18.70; 18.31; 20.97; 22.66; 94.09; 65.84; 67.01; 74.87; 75.91; 36.36; 54.29; 50.97
 18.82; 18.31; 21.00; 22.60; 94.05; 65.94; 66.90; 74.78; 75.99; 36.30; 54.23; 51.09
 18.88; 18.24; 20.96; 22.47; 93.94; 66.04; 66.92; 75.00; 76.07; 36.24; 54.04; 51.20
 18.80; 18.18; 20.92; 22.60; 94.02; 66.25; 66.87; 74.72; 76.15; 36.18; 53.99; 51.31
 18.92; 18.24; 20.88; 22.73; 93.86; 66.22; 66.83; 75.00; 76.04; 36.24; 54.05; 50.98
 19.03; 18.18; 21.03; 22.97; 93.94; 66.30; 66.79; 74.85; 75.82; 35.94; 54.12; 51.03
 19.14; 18.00; 21.11; 22.85; 93.96; 66.33; 66.87; 74.82; 75.72; 36.06; 54.19; 50.96
 19.07; 18.00; 21.19; 22.90; 94.04; 66.59; 66.77; 74.73; 75.62; 36.01; 54.07; 51.00
 19.11; 17.89; 21.15; 22.90; 94.06; 66.55; 66.67; 74.94; 75.58; 35.96; 54.08; 51.11
 19.22; 18.07; 21.12; 22.96; 94.07; 66.74; 66.74; 74.68; 75.32; 35.79; 53.91; 51.38
 19.26; 18.01; 21.19; 22.90; 94.03; 66.76; 66.82; 74.77; 75.34; 35.85; 53.64; 51.42
 19.08; 18.13; 21.16; 23.12; 94.05; 66.72; 67.06; 74.75; 75.36; 35.63; 53.59; 51.35
 19.12; 18.02; 21.12; 23.17; 94.12; 66.69; 67.02; 74.78; 75.33; 35.64; 53.66; 51.33
 19.22; 17.96; 21.14; 23.22; 94.14; 66.70; 67.03; 74.70; 75.47; 35.38; 53.72; 51.31
 19.32; 17.80; 21.16; 23.32; 94.21; 66.72; 66.94; 74.73; 75.43; 35.50; 53.68; 51.19
 19.30; 17.91; 21.23; 23.10; 94.28; 66.74; 67.01; 74.81; 75.29; 35.51; 53.69; 51.12
 19.45; 17.76; 21.14; 23.15; 94.29; 66.75; 66.97; 74.95; 75.26; 35.62; 53.65; 51.00
 19.38; 17.82; 21.11; 23.25; 94.31; 66.82; 66.93; 74.92; 75.18; 35.58; 53.81; 50.89
 19.58; 17.72; 21.02; 23.30; 94.32; 66.79; 66.99; 74.95; 75.10; 35.59; 53.77; 50.88
 19.51; 17.72; 20.99; 23.24; 94.33; 66.96; 67.06; 74.87; 74.97; 35.50; 54.03; 50.82
 19.49; 17.63; 21.01; 23.18; 94.34; 67.02; 67.07; 74.85; 74.95; 35.66; 53.99; 50.81
 19.53; 17.58; 21.08; 23.13; 94.41; 67.13; 67.08; 74.88; 74.98; 35.61; 53.85; 50.75
 19.76; 17.54; 21.10; 23.17; 94.47; 67.00; 67.09; 74.85; 74.85; 35.62; 53.66; 50.89
 19.75; 17.74; 21.21; 23.02; 94.48; 67.01; 67.11; 74.78; 74.98; 35.53; 53.71; 50.68
 19.97; 17.65; 21.18; 23.07; 94.49; 66.97; 67.26; 74.81; 74.81; 35.64; 53.58; 50.58
 19.86; 17.75; 21.15; 23.06; 94.55; 66.99; 67.42; 74.69; 74.64; 35.60; 53.78; 50.53
 20.08; 17.61; 21.07; 23.06; 94.55; 67.05; 67.47; 74.62; 74.48; 35.65; 53.74; 50.62
 20.06; 17.62; 21.13; 23.01; 94.61; 67.06; 67.48; 74.51; 74.55; 35.57; 53.84; 50.56
 20.04; 17.58; 21.20; 23.14; 94.62; 66.93; 67.44; 74.40; 74.54; 35.48; 53.94; 50.70
 19.93; 17.68; 21.17; 23.19; 94.58; 66.90; 67.54; 74.52; 74.52; 35.45; 53.90; 50.64
 19.95; 17.64; 21.09; 23.18; 94.59; 66.82; 67.55; 74.64; 74.41; 35.55; 53.91; 50.68
 19.89; 17.73; 21.02; 23.18; 94.55; 66.92; 67.60; 74.62; 74.44; 35.60; 53.78; 50.68
 19.96; 17.74; 21.08; 23.08; 94.56; 67.02; 67.56; 74.60; 74.47; 35.61; 53.70; 50.62
 20.04; 17.70; 20.96; 22.99; 94.62; 67.17; 67.56; 74.54; 74.49; 35.61; 53.66; 50.66
 20.02; 17.70; 21.11; 22.90; 94.58; 67.05; 67.61; 74.56; 74.43; 35.71; 53.58; 50.74
 20.04; 17.75; 21.00; 22.81; 94.55; 67.06; 67.71; 74.63; 74.50; 35.67; 53.51; 50.78
 20.03; 17.84; 21.10; 22.64; 94.55; 67.20; 67.71; 74.61; 74.40; 35.68; 53.60; 50.64
 19.88; 17.84; 21.07; 22.68; 94.56; 67.12; 67.67; 74.60; 74.43; 35.64; 53.78; 50.72
 19.91; 17.80; 21.09; 22.56; 94.53; 67.17; 67.63; 74.62; 74.49; 35.69; 53.87; 50.63
 19.85; 17.81; 21.10; 22.56; 94.41; 67.22; 67.72; 74.65; 74.52; 35.61; 53.88; 50.67
 19.92; 17.93; 21.16; 22.48; 94.42; 67.23; 67.77; 74.67; 74.50; 35.58; 53.80; 50.54
 19.82; 17.98; 21.13; 22.56; 94.47; 67.32; 67.73; 74.61; 74.57; 35.50; 53.69; 50.61
 19.81; 18.02; 21.19; 22.48; 94.44; 67.33; 67.74; 74.55; 74.63; 35.35; 53.86; 50.61
 19.79; 17.94; 21.12; 22.53; 94.45; 67.30; 67.78; 74.62; 74.66; 35.32; 53.82; 50.68
 19.94; 17.94; 21.21; 22.37; 94.50; 67.26; 67.86; 74.56; 74.56; 35.25; 53.87; 50.68
 19.88; 17.94; 21.23; 22.33; 94.51; 67.23; 67.79; 74.58; 74.58; 35.14; 53.95; 50.83
 19.87; 17.87; 21.28; 22.30; 94.51; 67.36; 67.79; 74.57; 74.69; 35.11; 53.84; 50.82
 19.85; 17.79; 21.25; 22.22; 94.56; 67.40; 67.79; 74.59; 74.75; 35.08; 53.89; 50.82
 19.88; 17.95; 21.19; 22.15; 94.61; 67.45; 67.76; 74.61; 74.81; 35.05; 53.85; 50.69
 19.86; 17.95; 21.08; 22.15; 94.65; 67.42; 67.57; 74.64; 74.87; 35.06; 53.97; 50.76
 20.00; 17.99; 21.06; 22.05; 94.66; 67.42; 67.50; 74.62; 74.89; 35.00; 54.02; 50.80
 19.95; 17.84; 21.19; 22.16; 94.70; 67.32; 67.43; 74.61; 75.02; 35.01; 53.98; 50.79
 20.04; 17.77; 21.09; 22.13; 94.63; 67.25; 67.55; 74.66; 75.04; 35.10; 53.99; 50.75
 20.03; 17.78; 21.10; 22.14; 94.57; 67.26; 67.59; 74.69; 75.06; 35.11; 53.95; 50.74
 20.05; 17.82; 21.04; 22.07; 94.57; 67.23; 67.67; 74.63; 75.07; 35.23; 53.89; 50.73
