AdvancedAvocadoAgent;Ag2O;Baseline1;Baseline2;ByteRL;Chad;Coac;DrainPower;DrainPowerAggressive;LANE\\_1\\_0;OneLaneIsEnough;ReinforcedGreediness
 19.74; 17.64; 21.43; 21.77; 94.39; 68.40; 67.12; 74.71; 75.39; 34.38; 54.14; 50.88
 19.80; 17.60; 21.41; 21.69; 94.36; 68.34; 67.19; 74.72; 75.44; 34.43; 54.17; 50.86
 19.79; 17.55; 21.42; 21.70; 94.34; 68.28; 67.25; 74.73; 75.43; 34.52; 54.13; 50.87
 19.78; 17.53; 21.38; 21.64; 94.31; 68.24; 67.31; 74.76; 75.45; 34.57; 54.13; 50.89
 19.72; 17.53; 21.37; 21.74; 94.31; 68.22; 67.34; 74.73; 75.42; 34.55; 54.17; 50.89
 19.69; 17.55; 21.38; 21.67; 94.32; 68.12; 67.36; 74.75; 75.45; 34.66; 54.19; 50.86
 19.66; 17.54; 21.34; 21.69; 94.30; 68.14; 67.42; 74.74; 75.46; 34.72; 54.17; 50.80
 19.70; 17.56; 21.33; 21.62; 94.27; 68.10; 67.46; 74.75; 75.47; 34.77; 54.16; 50.82
 19.71; 17.54; 21.35; 21.62; 94.27; 68.05; 67.47; 74.78; 75.45; 34.80; 54.16; 50.79
 19.70; 17.51; 21.34; 21.59; 94.26; 68.05; 67.47; 74.81; 75.44; 34.82; 54.20; 50.81
 19.68; 17.49; 21.33; 21.56; 94.23; 68.01; 67.57; 74.84; 75.43; 34.85; 54.22; 50.81
 19.69; 17.49; 21.29; 21.49; 94.19; 67.99; 67.61; 74.85; 75.34; 34.97; 54.26; 50.82
 19.68; 17.52; 21.24; 21.55; 94.16; 67.93; 67.61; 74.84; 75.41; 34.99; 54.22; 50.84
 19.70; 17.56; 21.23; 21.50; 94.11; 67.90; 67.63; 74.77; 75.45; 35.02; 54.24; 50.89
 19.67; 17.52; 21.22; 21.48; 94.08; 67.94; 67.65; 74.75; 75.44; 35.06; 54.32; 50.87
 19.68; 17.54; 21.21; 21.53; 94.06; 67.88; 67.64; 74.74; 75.49; 35.07; 54.30; 50.86
 19.62; 17.51; 21.23; 21.53; 94.05; 67.92; 67.66; 74.78; 75.46; 35.07; 54.28; 50.88
 19.60; 17.59; 21.26; 21.52; 94.06; 67.87; 67.62; 74.76; 75.48; 35.08; 54.27; 50.91
 19.57; 17.59; 21.28; 21.43; 94.06; 67.81; 67.70; 74.77; 75.49; 35.12; 54.30; 50.87
 19.57; 17.61; 21.32; 21.40; 94.03; 67.78; 67.72; 74.78; 75.52; 35.07; 54.34; 50.87
 19.53; 17.56; 21.31; 21.46; 93.98; 67.81; 67.72; 74.77; 75.52; 35.08; 54.40; 50.86
 19.54; 17.58; 21.32; 21.48; 94.01; 67.78; 67.72; 74.76; 75.55; 35.04; 54.34; 50.88
 19.50; 17.58; 21.30; 21.52; 93.96; 67.73; 67.73; 74.79; 75.59; 35.07; 54.38; 50.86
 19.55; 17.65; 21.25; 21.49; 93.93; 67.73; 67.73; 74.80; 75.58; 35.07; 54.35; 50.87
 19.50; 17.62; 21.28; 21.48; 93.90; 67.77; 67.77; 74.85; 75.53; 35.06; 54.36; 50.89
 19.53; 17.64; 21.30; 21.54; 93.90; 67.77; 67.75; 74.86; 75.52; 35.01; 54.29; 50.88
 19.48; 17.64; 21.29; 21.52; 93.89; 67.82; 67.71; 74.85; 75.55; 35.03; 54.35; 50.86
 19.54; 17.64; 21.28; 21.53; 93.92; 67.82; 67.73; 74.82; 75.54; 34.99; 54.31; 50.88
 19.50; 17.65; 21.30; 21.50; 93.89; 67.81; 67.74; 74.81; 75.60; 34.96; 54.35; 50.91
 19.51; 17.60; 21.32; 21.50; 93.89; 67.79; 67.72; 74.88; 75.59; 34.91; 54.40; 50.89
 19.47; 17.60; 21.29; 21.51; 93.86; 67.81; 67.78; 74.87; 75.61; 34.93; 54.39; 50.88
 19.47; 17.62; 21.28; 21.49; 93.89; 67.81; 67.81; 74.86; 75.60; 34.94; 54.37; 50.86
 19.43; 17.62; 21.31; 21.50; 93.91; 67.80; 67.76; 74.87; 75.57; 34.96; 54.42; 50.86
 19.42; 17.64; 21.29; 21.47; 93.90; 67.80; 67.81; 74.84; 75.61; 34.98; 54.37; 50.86
 19.42; 17.68; 21.26; 21.44; 93.92; 67.75; 67.85; 74.85; 75.64; 35.01; 54.41; 50.78
 19.43; 17.70; 21.30; 21.39; 93.95; 67.75; 67.89; 74.84; 75.57; 34.94; 54.41; 50.83
 19.44; 17.73; 21.31; 21.33; 93.92; 67.73; 67.87; 74.90; 75.56; 34.98; 54.48; 50.74
 19.42; 17.79; 21.32; 21.30; 93.94; 67.75; 67.87; 74.90; 75.57; 34.93; 54.44; 50.77
 19.45; 17.87; 21.29; 21.25; 93.93; 67.74; 67.89; 74.84; 75.61; 34.96; 54.46; 50.72
 19.46; 17.87; 21.34; 21.22; 93.95; 67.75; 67.89; 74.78; 75.55; 34.95; 54.43; 50.80
 19.46; 17.88; 21.31; 21.18; 93.96; 67.74; 67.91; 74.77; 75.54; 35.00; 54.48; 50.78
 19.44; 17.91; 21.30; 21.22; 93.98; 67.77; 67.93; 74.69; 75.49; 35.01; 54.41; 50.85
 19.47; 17.93; 21.31; 21.16; 93.98; 67.73; 67.93; 74.72; 75.52; 35.01; 54.41; 50.84
 19.49; 17.96; 21.30; 21.20; 94.01; 67.78; 67.95; 74.71; 75.42; 34.95; 54.38; 50.86
 19.51; 18.00; 21.28; 21.15; 93.98; 67.75; 67.95; 74.76; 75.43; 34.99; 54.36; 50.86
 19.54; 18.08; 21.29; 21.11; 94.00; 67.76; 67.93; 74.77; 75.33; 34.93; 54.36; 50.90
 19.53; 18.10; 21.28; 21.10; 94.01; 67.75; 67.92; 74.79; 75.32; 34.95; 54.41; 50.85
 19.51; 18.13; 21.28; 21.10; 93.98; 67.82; 67.88; 74.70; 75.30; 34.90; 54.45; 50.95
 19.52; 18.15; 21.32; 21.07; 93.92; 67.77; 67.87; 74.69; 75.26; 35.02; 54.51; 50.89
 19.48; 18.21; 21.36; 21.06; 93.94; 67.80; 67.87; 74.62; 75.20; 35.00; 54.48; 50.97
 19.49; 18.21; 21.37; 21.05; 93.93; 67.74; 67.85; 74.65; 75.22; 35.00; 54.53; 50.95
 19.44; 18.23; 21.42; 21.04; 93.95; 67.77; 67.87; 74.62; 75.16; 35.04; 54.48; 50.96
 19.45; 18.25; 21.41; 20.98; 93.92; 67.73; 67.92; 74.60; 75.12; 35.13; 54.53; 50.96
 19.45; 18.25; 21.40; 20.96; 93.94; 67.78; 67.94; 74.58; 75.08; 35.15; 54.50; 50.99
 19.43; 18.26; 21.40; 20.95; 93.95; 67.78; 67.92; 74.59; 75.09; 35.12; 54.53; 50.99
 19.46; 18.26; 21.39; 20.91; 93.96; 67.76; 67.91; 74.61; 75.10; 35.15; 54.53; 50.97
 19.48; 18.29; 21.43; 20.86; 93.98; 67.76; 67.86; 74.61; 75.07; 35.18; 54.50; 50.98
 19.46; 18.33; 21.43; 20.82; 94.00; 67.78; 67.83; 74.60; 75.08; 35.18; 54.47; 51.02
 19.47; 18.33; 21.53; 20.78; 94.00; 67.75; 67.83; 74.61; 75.07; 35.14; 54.43; 51.05
 19.50; 18.36; 21.47; 20.76; 94.02; 67.74; 67.82; 74.62; 75.03; 35.16; 54.48; 51.05
 19.51; 18.37; 21.56; 20.73; 94.04; 67.74; 67.77; 74.63; 75.04; 35.18; 54.42; 51.01
 19.52; 18.37; 21.50; 20.72; 94.05; 67.71; 67.74; 74.61; 75.09; 35.21; 54.45; 51.03
 19.53; 18.37; 21.48; 20.71; 94.04; 67.69; 67.69; 74.63; 75.07; 35.23; 54.45; 51.09
 19.51; 18.35; 21.47; 20.67; 94.00; 67.66; 67.68; 74.69; 75.09; 35.28; 54.48; 51.10
 19.54; 18.34; 21.51; 20.63; 94.02; 67.68; 67.65; 74.71; 75.05; 35.29; 54.48; 51.09
 19.58; 18.34; 21.47; 20.59; 93.99; 67.67; 67.64; 74.74; 75.06; 35.31; 54.48; 51.14
 19.62; 18.35; 21.50; 20.56; 93.98; 67.64; 67.67; 74.68; 75.04; 35.29; 54.48; 51.18
 19.62; 18.34; 21.51; 20.53; 93.99; 67.61; 67.67; 74.68; 75.06; 35.31; 54.51; 51.18
 19.63; 18.34; 21.57; 20.46; 94.01; 67.61; 67.64; 74.67; 75.08; 35.30; 54.48; 51.20
 19.63; 18.34; 21.58; 20.41; 94.03; 67.64; 67.63; 74.66; 75.11; 35.29; 54.48; 51.21
 19.65; 18.37; 21.63; 20.37; 94.02; 67.68; 67.58; 74.66; 75.10; 35.26; 54.45; 51.24
 19.63; 18.38; 21.61; 20.36; 94.04; 67.65; 67.56; 74.65; 75.09; 35.33; 54.42; 51.28
 19.64; 18.36; 21.63; 20.37; 94.04; 67.60; 67.59; 74.66; 75.07; 35.31; 54.44; 51.28
 19.62; 18.39; 21.61; 20.35; 94.02; 67.56; 67.59; 74.70; 75.11; 35.35; 54.44; 51.27
 19.65; 18.39; 21.61; 20.33; 94.02; 67.52; 67.58; 74.66; 75.14; 35.44; 54.42; 51.24
 19.61; 18.44; 21.63; 20.26; 94.02; 67.50; 67.55; 74.64; 75.14; 35.45; 54.43; 51.34
 19.64; 18.47; 21.62; 20.25; 94.01; 67.40; 67.55; 74.66; 75.14; 35.48; 54.47; 51.31
 19.59; 18.53; 21.62; 20.23; 94.03; 67.40; 67.51; 74.61; 75.13; 35.48; 54.47; 51.39
 19.63; 18.51; 21.65; 20.22; 94.02; 67.41; 67.54; 74.59; 75.16; 35.47; 54.46; 51.34
 19.59; 18.51; 21.67; 20.22; 94.04; 67.38; 67.54; 74.55; 75.07; 35.53; 54.49; 51.40
 19.62; 18.52; 21.69; 20.24; 94.06; 67.29; 67.56; 74.56; 75.08; 35.55; 54.47; 51.35
 19.58; 18.57; 21.66; 20.25; 94.08; 67.28; 67.58; 74.51; 75.06; 35.57; 54.47; 51.39
 19.61; 18.62; 21.61; 20.24; 94.07; 67.20; 67.59; 74.51; 75.07; 35.66; 54.46; 51.37
 19.59; 18.67; 21.61; 20.22; 94.09; 67.23; 67.58; 74.46; 75.03; 35.63; 54.47; 51.42
 19.61; 18.69; 21.59; 20.20; 94.08; 67.17; 67.61; 74.50; 74.99; 35.72; 54.43; 51.40
 19.62; 18.76; 21.58; 20.18; 94.10; 67.19; 67.58; 74.43; 75.01; 35.68; 54.40; 51.46
 19.62; 18.75; 21.58; 20.17; 94.07; 67.15; 67.63; 74.41; 75.04; 35.71; 54.41; 51.45
 19.60; 18.76; 21.60; 20.17; 94.08; 67.17; 67.65; 74.38; 75.00; 35.68; 54.42; 51.51
 19.61; 18.76; 21.62; 20.16; 94.08; 67.09; 67.66; 74.39; 74.99; 35.71; 54.46; 51.47
 19.58; 18.79; 21.61; 20.15; 94.09; 67.10; 67.65; 74.40; 74.96; 35.72; 54.47; 51.50
 19.57; 18.76; 21.59; 20.16; 94.11; 67.11; 67.71; 74.36; 74.92; 35.72; 54.52; 51.48
 19.55; 18.78; 21.60; 20.15; 94.13; 67.12; 67.68; 74.33; 74.86; 35.72; 54.53; 51.54
 19.56; 18.77; 21.57; 20.12; 94.13; 67.10; 67.73; 74.34; 74.85; 35.75; 54.56; 51.52
 19.52; 18.78; 21.55; 20.14; 94.13; 67.12; 67.71; 74.30; 74.86; 35.75; 54.55; 51.59
 19.51; 18.79; 21.51; 20.15; 94.10; 67.13; 67.76; 74.28; 74.89; 35.75; 54.59; 51.53
 19.51; 18.76; 21.50; 20.16; 94.10; 67.08; 67.77; 74.29; 74.93; 35.80; 54.62; 51.48
 19.46; 18.79; 21.47; 20.18; 94.09; 67.01; 67.84; 74.26; 74.94; 35.81; 54.64; 51.49
 19.44; 18.77; 21.46; 20.17; 94.05; 67.02; 67.89; 74.27; 74.96; 35.84; 54.66; 51.46
 19.45; 18.80; 21.43; 20.18; 94.06; 66.98; 67.93; 74.29; 74.97; 35.82; 54.66; 51.44
 19.51; 18.81; 21.36; 20.19; 94.03; 66.94; 68.00; 74.30; 74.96; 35.88; 54.67; 51.35
 19.50; 18.81; 21.32; 20.17; 94.02; 66.88; 68.03; 74.30; 74.99; 35.97; 54.66; 51.35
 19.50; 18.79; 21.34; 20.16; 94.01; 66.82; 68.04; 74.29; 75.03; 35.98; 54.71; 51.32
 19.47; 18.80; 21.33; 20.19; 93.99; 66.79; 68.10; 74.34; 74.99; 36.02; 54.73; 51.26
 19.45; 18.84; 21.36; 20.15; 94.01; 66.79; 68.14; 74.37; 74.99; 35.99; 54.71; 51.20
 19.42; 18.83; 21.34; 20.19; 94.00; 66.77; 68.15; 74.40; 75.01; 35.99; 54.72; 51.18
 19.43; 18.84; 21.33; 20.15; 94.02; 66.74; 68.20; 74.41; 75.01; 36.02; 54.70; 51.15
 19.40; 18.84; 21.31; 20.20; 93.99; 66.73; 68.22; 74.42; 74.99; 36.06; 54.68; 51.15
 19.39; 18.82; 21.30; 20.21; 93.97; 66.71; 68.24; 74.43; 75.01; 36.08; 54.74; 51.10
 19.36; 18.85; 21.28; 20.22; 93.96; 66.68; 68.29; 74.44; 75.02; 36.07; 54.75; 51.10
 19.37; 18.89; 21.25; 20.18; 93.94; 66.65; 68.30; 74.47; 75.03; 36.08; 54.76; 51.07
 19.36; 18.87; 21.22; 20.19; 93.90; 66.64; 68.33; 74.47; 75.07; 36.11; 54.80; 51.04
 19.32; 18.88; 21.21; 20.21; 93.89; 66.61; 68.36; 74.50; 75.11; 36.11; 54.81; 50.98
 19.32; 18.87; 21.19; 20.21; 93.89; 66.56; 68.37; 74.54; 75.09; 36.16; 54.85; 50.97
 19.29; 18.88; 21.19; 20.19; 93.88; 66.52; 68.41; 74.56; 75.12; 36.22; 54.83; 50.92
 19.31; 18.87; 21.23; 20.18; 93.89; 66.54; 68.40; 74.51; 75.11; 36.16; 54.81; 50.96
 19.30; 18.83; 21.24; 20.19; 93.89; 66.52; 68.43; 74.52; 75.07; 36.19; 54.86; 50.96
 19.29; 18.83; 21.23; 20.21; 93.89; 66.57; 68.41; 74.54; 75.03; 36.20; 54.86; 50.93
 19.28; 18.80; 21.22; 20.23; 93.90; 66.57; 68.41; 74.52; 75.04; 36.19; 54.89; 50.95
 19.29; 18.79; 21.20; 20.28; 93.90; 66.64; 68.35; 74.56; 74.98; 36.19; 54.85; 50.97
 19.29; 18.76; 21.20; 20.28; 93.90; 66.63; 68.34; 74.61; 74.99; 36.21; 54.83; 50.96
 19.32; 18.76; 21.18; 20.33; 93.92; 66.68; 68.29; 74.57; 74.98; 36.17; 54.78; 51.02
 19.32; 18.74; 21.15; 20.32; 93.93; 66.71; 68.29; 74.56; 75.01; 36.17; 54.81; 51.01
 19.31; 18.72; 21.19; 20.33; 93.94; 66.74; 68.25; 74.55; 75.02; 36.14; 54.75; 51.05
 19.30; 18.71; 21.18; 20.32; 93.95; 66.74; 68.26; 74.49; 75.05; 36.18; 54.78; 51.03
 19.30; 18.74; 21.17; 20.31; 93.94; 66.77; 68.25; 74.50; 75.05; 36.16; 54.78; 51.05
 19.25; 18.79; 21.16; 20.33; 93.96; 66.77; 68.27; 74.51; 75.04; 36.14; 54.75; 51.02
 19.30; 18.76; 21.21; 20.33; 93.97; 66.78; 68.26; 74.47; 75.01; 36.09; 54.76; 51.06
 19.27; 18.76; 21.20; 20.34; 93.99; 66.77; 68.28; 74.47; 75.01; 36.08; 54.79; 51.03
 19.28; 18.76; 21.19; 20.36; 94.01; 66.81; 68.27; 74.46; 74.99; 36.04; 54.78; 51.05
 19.28; 18.72; 21.22; 20.34; 94.00; 66.82; 68.31; 74.44; 75.01; 36.08; 54.76; 51.02
 19.29; 18.69; 21.22; 20.37; 94.00; 66.84; 68.27; 74.42; 75.03; 36.05; 54.76; 51.04
 19.25; 18.69; 21.24; 20.37; 94.01; 66.85; 68.30; 74.39; 75.04; 36.08; 54.75; 51.04
 19.27; 18.69; 21.23; 20.38; 94.02; 66.87; 68.30; 74.39; 75.02; 36.07; 54.72; 51.04
 19.28; 18.69; 21.21; 20.38; 94.03; 66.86; 68.35; 74.37; 75.04; 36.06; 54.68; 51.06
 19.32; 18.70; 21.19; 20.35; 94.03; 66.90; 68.37; 74.35; 75.01; 36.05; 54.63; 51.11
 19.34; 18.66; 21.22; 20.34; 94.01; 66.91; 68.41; 74.37; 74.99; 36.04; 54.66; 51.05
 19.35; 18.68; 21.21; 20.32; 94.01; 66.95; 68.38; 74.34; 74.96; 36.03; 54.66; 51.10
 19.42; 18.63; 21.20; 20.30; 93.99; 66.95; 68.44; 74.35; 74.94; 36.04; 54.65; 51.09
 19.41; 18.67; 21.18; 20.31; 94.01; 67.00; 68.43; 74.33; 74.88; 35.99; 54.67; 51.11
 19.44; 18.65; 21.19; 20.29; 94.03; 66.98; 68.44; 74.32; 74.86; 36.04; 54.67; 51.09
 19.42; 18.69; 21.20; 20.26; 94.03; 67.03; 68.42; 74.26; 74.83; 36.02; 54.72; 51.11
 19.48; 18.66; 21.23; 20.22; 94.05; 67.01; 68.45; 74.25; 74.84; 36.01; 54.68; 51.12
 19.45; 18.67; 21.24; 20.24; 94.06; 67.04; 68.40; 74.21; 74.81; 36.01; 54.72; 51.16
 19.52; 18.66; 21.23; 20.20; 94.08; 67.04; 68.39; 74.21; 74.82; 36.00; 54.71; 51.15
 19.57; 18.61; 21.23; 20.22; 94.08; 67.07; 68.34; 74.19; 74.82; 35.97; 54.73; 51.18
 19.60; 18.62; 21.22; 20.22; 94.10; 67.08; 68.34; 74.18; 74.78; 35.96; 54.73; 51.16
 19.62; 18.63; 21.23; 20.20; 94.11; 67.13; 68.35; 74.12; 74.74; 35.91; 54.78; 51.17
 19.63; 18.61; 21.26; 20.18; 94.12; 67.16; 68.41; 74.09; 74.74; 35.90; 54.74; 51.17
 19.59; 18.64; 21.26; 20.16; 94.13; 67.20; 68.42; 74.07; 74.70; 35.89; 54.78; 51.15
 19.62; 18.64; 21.25; 20.14; 94.14; 67.21; 68.45; 74.08; 74.65; 35.89; 54.80; 51.12
 19.65; 18.66; 21.24; 20.17; 94.15; 67.27; 68.44; 74.04; 74.60; 35.86; 54.77; 51.15
 19.70; 18.66; 21.24; 20.14; 94.16; 67.28; 68.43; 74.03; 74.62; 35.85; 54.77; 51.13
 19.70; 18.70; 21.22; 20.14; 94.16; 67.33; 68.45; 73.99; 74.57; 35.81; 54.81; 51.13
 19.76; 18.68; 21.22; 20.12; 94.16; 67.33; 68.46; 74.00; 74.57; 35.80; 54.80; 51.10
 19.74; 18.66; 21.22; 20.14; 94.18; 67.28; 68.49; 74.02; 74.55; 35.84; 54.80; 51.09
 19.73; 18.69; 21.23; 20.13; 94.16; 67.27; 68.50; 74.05; 74.54; 35.84; 54.81; 51.06
 19.71; 18.72; 21.24; 20.15; 94.16; 67.24; 68.50; 74.08; 74.53; 35.81; 54.82; 51.03
 19.71; 18.73; 21.24; 20.13; 94.15; 67.23; 68.54; 74.10; 74.54; 35.80; 54.81; 51.03
 19.73; 18.69; 21.25; 20.15; 94.13; 67.21; 68.57; 74.12; 74.56; 35.79; 54.79; 51.00
 19.69; 18.70; 21.24; 20.16; 94.14; 67.22; 68.56; 74.14; 74.55; 35.80; 54.79; 51.01
 19.71; 18.68; 21.25; 20.16; 94.15; 67.21; 68.55; 74.16; 74.58; 35.79; 54.78; 51.00
 19.69; 18.66; 21.26; 20.15; 94.14; 67.20; 68.54; 74.18; 74.63; 35.78; 54.76; 51.01
 19.71; 18.67; 21.23; 20.16; 94.15; 67.19; 68.56; 74.20; 74.62; 35.77; 54.77; 50.98
 19.72; 18.64; 21.22; 20.16; 94.13; 67.16; 68.54; 74.20; 74.65; 35.77; 54.81; 51.00
 19.77; 18.62; 21.20; 20.17; 94.13; 67.12; 68.54; 74.22; 74.68; 35.74; 54.82; 50.98
 19.79; 18.59; 21.21; 20.14; 94.12; 67.14; 68.56; 74.21; 74.70; 35.75; 54.79; 51.00
 19.80; 18.56; 21.20; 20.16; 94.14; 67.12; 68.54; 74.23; 74.72; 35.74; 54.81; 50.98
 19.80; 18.56; 21.23; 20.13; 94.13; 67.11; 68.55; 74.20; 74.73; 35.72; 54.85; 50.99
 19.79; 18.57; 21.22; 20.15; 94.14; 67.10; 68.57; 74.22; 74.73; 35.68; 54.83; 50.98
 19.80; 18.56; 21.21; 20.12; 94.11; 67.10; 68.56; 74.25; 74.76; 35.66; 54.87; 50.99
 19.82; 18.55; 21.23; 20.11; 94.09; 67.08; 68.55; 74.28; 74.79; 35.63; 54.89; 50.98
 19.79; 18.58; 21.25; 20.10; 94.10; 67.04; 68.58; 74.31; 74.77; 35.63; 54.87; 50.97
 19.83; 18.57; 21.26; 20.10; 94.10; 67.02; 68.59; 74.32; 74.80; 35.60; 54.85; 50.96
 19.81; 18.56; 21.25; 20.11; 94.09; 67.01; 68.61; 74.32; 74.80; 35.62; 54.89; 50.93
 19.79; 18.51; 21.28; 20.17; 94.07; 67.01; 68.60; 74.31; 74.81; 35.63; 54.89; 50.93
 19.79; 18.53; 21.28; 20.15; 94.09; 66.97; 68.61; 74.29; 74.81; 35.65; 54.90; 50.94
 19.78; 18.51; 21.28; 20.17; 94.07; 66.97; 68.64; 74.28; 74.78; 35.66; 54.90; 50.95
 19.79; 18.52; 21.28; 20.16; 94.08; 66.97; 68.65; 74.26; 74.76; 35.63; 54.89; 51.00
 19.80; 18.50; 21.29; 20.18; 94.07; 66.95; 68.66; 74.28; 74.76; 35.61; 54.92; 50.99
 19.83; 18.54; 21.27; 20.16; 94.07; 66.93; 68.64; 74.23; 74.79; 35.59; 54.93; 51.03
 19.82; 18.52; 21.31; 20.19; 94.07; 66.89; 68.66; 74.22; 74.79; 35.57; 54.93; 51.03
 19.86; 18.49; 21.35; 20.18; 94.08; 66.90; 68.63; 74.20; 74.77; 35.57; 54.91; 51.06
 19.87; 18.47; 21.40; 20.22; 94.09; 66.90; 68.62; 74.21; 74.75; 35.52; 54.90; 51.06
 19.89; 18.47; 21.40; 20.22; 94.10; 66.87; 68.63; 74.22; 74.71; 35.53; 54.91; 51.04
 19.87; 18.44; 21.41; 20.24; 94.08; 66.87; 68.67; 74.19; 74.74; 35.52; 54.95; 51.02
 19.88; 18.46; 21.44; 20.20; 94.09; 66.85; 68.70; 74.17; 74.71; 35.50; 54.95; 51.05
 19.89; 18.43; 21.44; 20.24; 94.10; 66.84; 68.71; 74.18; 74.70; 35.47; 54.95; 51.05
 19.91; 18.43; 21.43; 20.23; 94.12; 66.82; 68.71; 74.13; 74.67; 35.51; 54.95; 51.09
 19.92; 18.42; 21.47; 20.24; 94.12; 66.81; 68.73; 74.12; 74.69; 35.47; 54.93; 51.08
 19.93; 18.43; 21.46; 20.25; 94.13; 66.84; 68.72; 74.06; 74.66; 35.48; 54.93; 51.11
 19.91; 18.43; 21.46; 20.30; 94.12; 66.82; 68.71; 74.07; 74.67; 35.47; 54.95; 51.09
 19.93; 18.43; 21.48; 20.28; 94.14; 66.80; 68.69; 74.09; 74.66; 35.47; 54.93; 51.10
 19.92; 18.39; 21.51; 20.32; 94.14; 66.77; 68.72; 74.07; 74.69; 35.44; 54.95; 51.07
 19.91; 18.38; 21.52; 20.30; 94.16; 66.79; 68.73; 74.06; 74.69; 35.47; 54.92; 51.08
 19.92; 18.37; 21.51; 20.30; 94.16; 66.77; 68.73; 74.04; 74.69; 35.48; 54.94; 51.09
 19.92; 18.34; 21.49; 20.30; 94.15; 66.78; 68.71; 74.06; 74.69; 35.48; 54.98; 51.10
 19.91; 18.32; 21.49; 20.31; 94.17; 66.80; 68.69; 74.08; 74.70; 35.46; 54.98; 51.10
 19.88; 18.33; 21.52; 20.32; 94.17; 66.80; 68.65; 74.11; 74.72; 35.44; 54.98; 51.08
 19.85; 18.34; 21.49; 20.34; 94.18; 66.81; 68.65; 74.13; 74.68; 35.44; 55.01; 51.07
 19.85; 18.34; 21.47; 20.34; 94.17; 66.84; 68.64; 74.16; 74.69; 35.47; 54.98; 51.06
 19.82; 18.36; 21.45; 20.33; 94.18; 66.83; 68.63; 74.15; 74.70; 35.48; 55.05; 51.02
 19.81; 18.39; 21.43; 20.33; 94.17; 66.83; 68.61; 74.18; 74.71; 35.46; 55.04; 51.03
 19.78; 18.37; 21.42; 20.33; 94.16; 66.84; 68.61; 74.21; 74.74; 35.45; 55.03; 51.05
 19.78; 18.35; 21.42; 20.34; 94.18; 66.85; 68.59; 74.20; 74.75; 35.47; 55.04; 51.05
 19.78; 18.32; 21.42; 20.33; 94.17; 66.86; 68.60; 74.20; 74.75; 35.46; 55.04; 51.05
 19.79; 18.29; 21.44; 20.34; 94.17; 66.88; 68.60; 74.21; 74.74; 35.45; 55.06; 51.03
 19.77; 18.30; 21.45; 20.34; 94.17; 66.90; 68.58; 74.22; 74.74; 35.43; 55.06; 51.04
 19.77; 18.29; 21.44; 20.36; 94.19; 66.93; 68.57; 74.18; 74.77; 35.40; 55.07; 51.04
 19.76; 18.27; 21.42; 20.38; 94.17; 66.95; 68.57; 74.20; 74.75; 35.41; 55.08; 51.04
 19.77; 18.24; 21.42; 20.39; 94.13; 66.96; 68.56; 74.24; 74.79; 35.37; 55.09; 51.03
 19.74; 18.25; 21.43; 20.41; 94.14; 66.95; 68.53; 74.26; 74.81; 35.38; 55.09; 51.02
 19.74; 18.26; 21.44; 20.38; 94.12; 66.95; 68.50; 74.30; 74.83; 35.39; 55.10; 50.99
 19.71; 18.25; 21.45; 20.39; 94.11; 66.98; 68.50; 74.32; 74.82; 35.36; 55.13; 50.97
 19.70; 18.24; 21.47; 20.40; 94.10; 66.97; 68.51; 74.32; 74.83; 35.34; 55.10; 51.00
 19.69; 18.24; 21.49; 20.38; 94.10; 66.98; 68.52; 74.29; 74.85; 35.33; 55.12; 51.00
 19.70; 18.21; 21.47; 20.37; 94.12; 66.97; 68.51; 74.32; 74.87; 35.35; 55.13; 50.98
 19.69; 18.21; 21.47; 20.37; 94.13; 67.00; 68.49; 74.32; 74.85; 35.35; 55.16; 50.96
 19.68; 18.23; 21.44; 20.38; 94.11; 67.00; 68.51; 74.34; 74.87; 35.32; 55.17; 50.94
 19.68; 18.25; 21.43; 20.37; 94.11; 67.04; 68.48; 74.33; 74.86; 35.33; 55.18; 50.94
 19.70; 18.24; 21.40; 20.38; 94.10; 67.02; 68.48; 74.35; 74.90; 35.31; 55.21; 50.91
 19.69; 18.22; 21.41; 20.38; 94.10; 67.02; 68.48; 74.34; 74.89; 35.34; 55.24; 50.89
 19.69; 18.21; 21.41; 20.40; 94.09; 66.99; 68.46; 74.37; 74.90; 35.33; 55.24; 50.90
 19.70; 18.25; 21.40; 20.42; 94.11; 67.03; 68.45; 74.37; 74.86; 35.32; 55.21; 50.88
 19.70; 18.22; 21.38; 20.45; 94.12; 67.02; 68.43; 74.37; 74.87; 35.34; 55.21; 50.87
 19.69; 18.21; 21.37; 20.46; 94.12; 67.05; 68.41; 74.37; 74.85; 35.35; 55.22; 50.89
 19.69; 18.23; 21.36; 20.44; 94.12; 67.05; 68.43; 74.40; 74.86; 35.34; 55.22; 50.86
 19.71; 18.23; 21.33; 20.45; 94.13; 67.06; 68.41; 74.39; 74.87; 35.33; 55.22; 50.86
 19.71; 18.22; 21.33; 20.44; 94.12; 67.05; 68.41; 74.41; 74.90; 35.32; 55.24; 50.84
 19.70; 18.20; 21.34; 20.42; 94.13; 67.08; 68.42; 74.36; 74.92; 35.32; 55.23; 50.88
 19.69; 18.20; 21.32; 20.42; 94.14; 67.09; 68.40; 74.36; 74.92; 35.35; 55.24; 50.87
 19.68; 18.22; 21.32; 20.39; 94.15; 67.11; 68.38; 74.36; 74.92; 35.37; 55.25; 50.85
