Baseline1;Baseline2;Chad;Coac;OneLaneIsEnough;ReinforcedGreediness;referee-rust
 50.00; 50.00;100.00;100.00;100.00;100.00; 16.67
 25.00; 50.00;100.00; 75.00; 75.00;100.00; 30.43
 16.67; 33.33;100.00; 83.33; 80.00;100.00; 32.35
 25.00; 37.50;100.00; 85.71; 71.43;100.00; 31.11
 20.00; 40.00;100.00; 88.89; 77.78;100.00; 30.36
 16.67; 45.45; 90.91; 90.91; 81.82;100.00; 29.85
 15.38; 46.15; 92.31; 92.31; 84.62;100.00; 28.21
 13.33; 53.33; 93.33; 93.33; 86.67;100.00; 26.97
 11.76; 58.82; 94.12; 94.12; 87.50;100.00; 26.00
 10.53; 63.16; 94.74; 94.44; 83.33;100.00; 26.13
 14.29; 61.90; 95.00; 95.00; 85.00; 95.00; 26.23
 17.39; 59.09; 95.45; 95.45; 86.36; 95.45; 25.56
 16.67; 58.33; 95.83; 95.83; 87.50; 95.83; 25.00
 19.23; 57.69; 96.15; 96.15; 84.62; 96.15; 25.00
 25.00; 60.71; 96.43; 96.43; 82.14; 96.30; 23.95
 23.33; 63.33; 96.67; 96.67; 82.76; 96.55; 23.60
 25.00; 65.62; 96.88; 96.77; 83.87; 96.77; 22.75
 26.47; 67.65; 96.97; 93.94; 84.85; 96.97; 22.50
 27.78; 68.57; 97.14; 91.43; 85.71; 97.14; 22.27
 27.03; 70.27; 97.30; 91.89; 86.49; 97.30; 21.62
 28.21; 69.23; 97.44; 92.31; 82.05; 97.37; 22.32
 31.71; 68.29; 97.56; 92.68; 82.50; 97.50; 21.72
 30.23; 69.77; 95.35; 92.86; 80.95; 97.62; 22.35
 33.33; 66.67; 95.45; 93.18; 79.55; 97.73; 22.56
 34.04; 65.22; 95.65; 93.48; 80.43; 97.83; 22.38
 35.42; 64.58; 95.83; 93.75; 79.17; 97.92; 22.22
 34.00; 62.00; 96.00; 94.00; 80.00; 98.00; 22.67
 34.62; 61.54; 96.15; 94.23; 80.77; 98.04; 22.51
 35.19; 62.96; 96.30; 94.44; 81.13; 98.11; 22.05
 37.50; 64.29; 96.43; 94.55; 80.00; 96.36; 21.92
 39.66; 63.79; 96.49; 94.74; 80.70; 96.49; 21.51
 38.33; 62.71; 93.22; 94.92; 79.66; 96.61; 22.54
 39.34; 60.66; 91.80; 95.08; 78.69; 96.72; 22.95
 39.68; 61.90; 92.06; 95.24; 77.78; 96.77; 22.81
 40.00; 63.08; 90.77; 95.38; 78.12; 96.88; 22.68
 40.30; 64.18; 89.55; 95.45; 78.79; 96.97; 22.56
