Baseline1;Baseline2;Chad;Coac;OneLaneIsEnough;ReinforcedGreediness;referee-rust
 39.13; 63.77; 89.71; 95.59; 79.41; 97.06; 22.68
 39.44; 64.29; 90.00; 95.71; 78.57; 97.14; 22.57
 38.89; 65.28; 90.28; 95.83; 79.17; 97.22; 22.22
 39.19; 66.22; 90.54; 95.95; 79.73; 97.30; 21.85
 39.47; 67.11; 90.79; 96.05; 80.26; 97.33; 21.54
 39.74; 67.95; 91.03; 96.15; 80.52; 97.40; 21.24
 38.75; 68.75; 91.25; 96.20; 81.01; 97.47; 21.17
 40.24; 69.51; 91.36; 96.30; 81.48; 97.53; 20.70
 40.48; 68.67; 91.57; 96.39; 81.93; 96.39; 20.84
 40.00; 69.41; 91.76; 96.47; 82.35; 96.47; 20.59
 40.23; 70.11; 91.95; 96.55; 82.76; 96.51; 20.35
 40.45; 70.79; 92.13; 96.63; 82.95; 96.59; 20.11
 40.66; 71.43; 92.31; 96.67; 83.33; 96.67; 19.89
 40.86; 72.04; 92.39; 96.74; 83.70; 96.74; 19.68
 41.05; 72.34; 92.55; 95.74; 84.04; 96.81; 19.65
 40.62; 72.92; 91.67; 95.83; 84.38; 96.88; 19.62
 40.82; 73.47; 91.84; 95.92; 84.69; 96.94; 19.39
 42.00; 74.00; 92.00; 96.00; 85.00; 96.97; 19.03
 42.16; 74.51; 92.16; 96.08; 85.15; 97.03; 18.85
 41.35; 75.00; 92.31; 96.12; 84.47; 97.09; 19.00
 41.51; 75.47; 92.38; 96.19; 83.81; 97.14; 18.99
 41.67; 75.70; 92.52; 96.26; 84.11; 97.20; 18.82
 41.28; 76.15; 92.66; 96.33; 84.40; 97.25; 18.65
 41.44; 76.58; 92.79; 96.40; 84.68; 97.27; 18.50
 41.59; 76.99; 92.92; 96.46; 83.93; 97.32; 18.49
 41.74; 77.39; 93.04; 96.49; 84.21; 97.37; 18.34
 41.88; 77.78; 93.10; 96.55; 84.48; 97.41; 18.19
 41.18; 77.12; 93.22; 96.61; 84.75; 97.46; 18.34
 40.83; 77.50; 93.33; 96.67; 85.00; 97.50; 18.19
 40.98; 77.87; 93.44; 96.72; 84.43; 97.54; 18.17
 41.13; 78.23; 93.55; 96.77; 83.87; 97.56; 18.17
 41.27; 78.57; 93.65; 96.83; 84.00; 97.60; 18.04
 41.41; 78.12; 93.75; 96.85; 84.25; 97.64; 18.04
 41.54; 78.46; 93.80; 96.90; 84.50; 96.90; 18.04
 41.67; 78.63; 93.89; 96.95; 84.73; 96.18; 18.04
 41.35; 78.20; 93.98; 96.99; 84.96; 96.24; 18.05
 40.74; 78.52; 94.07; 97.04; 84.44; 96.27; 18.17
 40.88; 78.83; 94.16; 96.35; 84.56; 96.32; 18.17
 40.29; 78.42; 94.24; 96.38; 84.06; 96.38; 18.41
 39.72; 78.72; 94.29; 96.43; 84.29; 96.43; 18.41
 39.16; 78.87; 94.37; 96.48; 84.51; 96.48; 18.41
 39.58; 78.47; 94.44; 96.53; 84.72; 96.53; 18.29
 39.73; 78.77; 93.84; 96.58; 84.93; 96.58; 18.26
 39.19; 79.05; 93.92; 96.62; 85.14; 96.60; 18.26
 38.67; 78.00; 94.00; 96.67; 85.23; 95.97; 18.60
 38.16; 77.63; 93.42; 96.69; 85.43; 96.03; 18.81
 37.66; 77.92; 93.46; 96.73; 84.97; 96.08; 18.91
 37.82; 78.06; 93.55; 96.77; 85.16; 96.13; 18.80
 37.58; 78.34; 93.63; 96.82; 84.71; 96.18; 18.79
 37.11; 77.99; 93.08; 96.86; 84.91; 96.20; 18.99
 36.65; 78.26; 93.17; 96.89; 84.38; 96.25; 19.09
 36.81; 78.53; 93.25; 96.91; 83.95; 96.30; 19.08
 36.97; 78.79; 93.29; 96.95; 83.54; 96.34; 19.07
 37.13; 78.92; 93.37; 96.39; 83.73; 96.39; 19.06
 36.90; 79.17; 93.45; 96.43; 83.93; 96.43; 18.95
 36.47; 79.41; 93.53; 96.47; 84.12; 96.47; 18.92
 36.05; 79.07; 93.60; 96.51; 84.30; 96.49; 19.01
 36.21; 79.31; 93.68; 96.55; 84.39; 96.53; 18.91
 36.93; 79.55; 93.75; 96.57; 84.57; 96.57; 18.71
 36.52; 79.78; 93.79; 96.61; 84.75; 96.61; 18.70
 36.11; 79.89; 93.85; 96.65; 83.80; 96.65; 18.88
 35.91; 80.11; 93.92; 96.69; 83.43; 96.69; 18.88
 35.52; 80.33; 93.99; 96.72; 83.06; 96.15; 19.05
 35.68; 80.00; 94.05; 96.76; 83.15; 95.65; 19.13
 35.29; 80.21; 94.12; 96.77; 83.33; 95.70; 19.12
 34.92; 79.89; 94.15; 96.81; 82.98; 95.21; 19.38
 34.55; 80.00; 93.68; 96.84; 83.16; 94.74; 19.54
 34.38; 79.17; 93.23; 96.88; 83.33; 94.27; 19.79
 34.54; 79.38; 93.30; 96.91; 82.99; 94.33; 19.76
 34.18; 79.08; 93.37; 96.94; 83.16; 94.36; 19.83
 33.84; 78.79; 93.43; 96.97; 83.25; 93.91; 19.98
 33.50; 78.50; 93.00; 96.98; 83.42; 93.47; 20.22
 33.17; 78.22; 93.03; 97.01; 83.08; 93.03; 20.45
 32.84; 77.83; 93.10; 97.04; 83.25; 93.10; 20.51
 32.68; 77.07; 93.17; 97.07; 83.41; 93.17; 20.57
 32.37; 77.29; 93.24; 97.10; 83.57; 93.20; 20.55
 32.06; 76.56; 93.30; 97.13; 83.65; 93.27; 20.69
 31.75; 76.78; 93.36; 97.14; 83.81; 93.33; 20.67
 31.46; 77.00; 93.40; 97.17; 83.96; 92.92; 20.72
 31.16; 77.10; 93.46; 97.20; 84.11; 92.99; 20.70
 31.48; 76.39; 93.52; 97.22; 83.80; 92.59; 20.83
 31.65; 76.61; 93.58; 97.25; 83.94; 92.66; 20.72
 31.36; 76.82; 93.64; 97.27; 84.09; 92.69; 20.70
 31.53; 76.58; 93.69; 97.30; 84.16; 92.76; 20.68
 31.25; 76.79; 93.75; 97.31; 84.30; 92.83; 20.66
 31.42; 76.99; 93.78; 97.33; 84.44; 92.89; 20.56
 31.14; 76.65; 93.83; 97.36; 84.58; 92.95; 20.62
 31.00; 75.98; 93.89; 96.94; 84.72; 93.01; 20.74
 31.17; 76.19; 93.94; 96.97; 84.42; 93.04; 20.72
 30.90; 75.97; 93.99; 96.57; 84.48; 93.10; 20.85
 31.49; 75.74; 94.04; 96.15; 84.62; 93.16; 20.82
 31.22; 75.95; 94.07; 96.19; 84.75; 92.80; 20.87
 31.38; 75.63; 93.70; 96.22; 84.87; 92.86; 20.92
 31.38; 75.73; 93.72; 96.23; 84.94; 92.86; 20.87
           Baseline1         referee-rust wins= 31.38% errs=  0.00% alls=119
           Baseline2         referee-rust wins= 75.73% errs=  0.00% alls=119
                Chad         referee-rust wins= 93.72% errs=  0.00% alls=119
                Coac         referee-rust wins= 96.23% errs=  0.00% alls=119
     OneLaneIsEnough         referee-rust wins= 84.94% errs=  0.84% alls=119
ReinforcedGreediness         referee-rust wins= 92.86% errs=  0.00% alls=119
        referee-rust            Baseline1 wins= 68.62% errs=  0.00% alls=119
        referee-rust            Baseline2 wins= 24.27% errs=  0.00% alls=119
        referee-rust                 Chad wins=  6.28% errs=  0.00% alls=119
        referee-rust                 Coac wins=  3.77% errs=  0.00% alls=119
        referee-rust      OneLaneIsEnough wins= 15.06% errs=  0.00% alls=119
        referee-rust ReinforcedGreediness wins=  7.14% errs=  0.00% alls=119
                Coac wins= 96.23% errs=  0.00% alls=119 avg= 19.53± 31.54ms
                Chad wins= 93.72% errs=  0.00% alls=119 avg=162.63± 64.88ms
ReinforcedGreediness wins= 92.86% errs=  0.00% alls=119 avg= 84.51± 73.89ms
     OneLaneIsEnough wins= 84.94% errs=  0.84% alls=119 avg=  6.75± 17.98ms
           Baseline2 wins= 75.73% errs=  0.00% alls=119 avg=  3.71±  0.79ms
           Baseline1 wins= 31.38% errs=  0.00% alls=119 avg=  2.94±  0.54ms
        referee-rust wins= 20.87% errs=  0.00% alls=716 avg=  3.02±  0.74ms
