Baseline1;Baseline2;Chad;Coac;OneLaneIsEnough;ReinforcedGreediness;referee-rust
 15.48; 39.88; 79.76; 76.19; 57.14; 80.36; 41.87
 15.29; 40.00; 80.00; 76.47; 57.65; 80.00; 41.76
 15.12; 39.53; 80.23; 76.74; 58.14; 80.12; 41.71
 15.52; 39.66; 80.46; 77.01; 58.38; 80.35; 41.46
 15.34; 39.20; 80.68; 77.14; 58.86; 80.57; 41.41
 16.29; 38.76; 80.79; 77.40; 59.32; 80.79; 41.17
 16.11; 39.11; 80.45; 77.65; 59.78; 80.45; 41.12
 16.02; 38.67; 80.66; 77.90; 60.22; 80.66; 40.98
 15.85; 38.80; 80.87; 78.14; 60.66; 80.77; 40.84
 15.68; 38.38; 81.08; 78.38; 60.33; 80.98; 40.88
 16.04; 37.97; 80.75; 78.49; 60.75; 80.65; 40.93
 15.87; 37.57; 80.85; 78.19; 61.17; 80.85; 40.97
 15.71; 37.37; 81.05; 78.42; 61.58; 81.05; 40.84
 15.62; 37.50; 80.73; 78.65; 61.46; 81.25; 40.80
 15.98; 37.11; 80.93; 78.35; 61.34; 81.44; 40.81
 16.33; 37.24; 81.12; 78.06; 61.73; 81.54; 40.68
 16.67; 36.87; 81.31; 77.78; 61.93; 81.73; 40.64
 16.50; 37.00; 81.50; 77.89; 61.81; 81.91; 40.60
 16.34; 36.63; 81.59; 77.61; 61.69; 81.59; 40.81
 16.67; 36.45; 81.77; 77.83; 61.58; 81.28; 40.77
 17.07; 36.10; 81.95; 78.05; 61.46; 81.46; 40.65
 17.39; 36.23; 81.64; 78.26; 61.84; 81.07; 40.61
 17.70; 35.89; 81.82; 78.47; 62.02; 81.25; 40.50
 18.01; 36.49; 81.99; 78.57; 61.90; 81.43; 40.30
 18.31; 36.15; 82.08; 78.30; 61.79; 81.60; 40.35
 18.14; 35.98; 82.24; 78.50; 61.68; 81.78; 40.31
 18.06; 35.65; 82.41; 78.24; 61.57; 81.94; 40.35
 18.35; 35.32; 82.11; 78.44; 61.47; 82.11; 40.37
 18.64; 35.00; 82.27; 77.73; 61.82; 82.19; 40.41
 18.92; 34.68; 82.43; 77.93; 61.99; 81.90; 40.38
 18.75; 34.82; 82.59; 78.03; 61.43; 82.06; 40.42
 18.58; 34.96; 82.67; 78.22; 61.33; 82.22; 40.38
 18.42; 34.80; 82.82; 78.41; 61.23; 81.94; 40.43
 18.78; 34.50; 82.53; 78.60; 60.70; 82.10; 40.47
 18.61; 34.20; 82.68; 78.79; 60.61; 82.17; 40.51
 18.45; 33.91; 82.83; 78.97; 60.78; 82.33; 40.47
 18.30; 33.62; 82.98; 79.06; 61.11; 82.05; 40.51
 18.14; 33.33; 82.63; 78.81; 61.02; 82.20; 40.69
 17.99; 33.19; 82.35; 78.99; 61.34; 82.35; 40.66
 17.92; 32.92; 82.50; 79.17; 60.83; 82.50; 40.69
 18.18; 33.06; 82.64; 79.34; 61.16; 82.64; 40.50
 18.44; 32.79; 82.79; 79.51; 61.07; 82.72; 40.46
 18.70; 32.93; 82.93; 79.67; 61.22; 82.45; 40.37
 18.95; 33.06; 83.06; 79.76; 60.73; 82.59; 40.34
 19.60; 33.60; 83.13; 79.52; 61.04; 82.73; 40.11
 20.24; 33.47; 83.27; 79.68; 60.96; 82.47; 40.01
 20.16; 33.99; 83.40; 79.84; 60.87; 82.21; 39.92
 20.39; 34.12; 83.14; 79.61; 60.78; 82.28; 39.96
 20.62; 34.24; 83.27; 79.77; 60.55; 82.42; 39.87
 20.85; 34.36; 83.40; 79.84; 60.85; 82.56; 39.72
 20.69; 34.48; 83.46; 79.62; 60.77; 82.69; 39.76
 20.91; 34.35; 83.59; 79.77; 60.31; 82.82; 39.73
 20.83; 34.47; 83.71; 79.92; 59.85; 82.58; 39.77
 21.43; 34.59; 83.83; 80.08; 59.77; 82.71; 39.60
 21.27; 34.33; 83.96; 80.22; 59.33; 82.77; 39.70
 21.11; 34.81; 84.07; 80.37; 59.48; 82.90; 39.56
 21.32; 34.93; 84.19; 80.44; 59.41; 83.03; 39.47
 21.17; 35.04; 84.25; 80.59; 58.97; 83.15; 39.51
 21.01; 35.27; 84.36; 80.73; 58.91; 83.27; 39.43
 21.30; 35.74; 84.48; 80.87; 58.84; 83.03; 39.29
 21.51; 35.84; 84.23; 81.00; 59.14; 83.09; 39.21
 21.35; 35.94; 84.34; 81.14; 59.29; 82.86; 39.19
 21.20; 36.04; 84.10; 81.21; 59.22; 82.98; 39.23
 21.05; 36.14; 84.15; 80.99; 59.51; 83.10; 39.21
 20.91; 36.36; 83.92; 81.12; 59.44; 83.22; 39.20
 20.83; 36.11; 84.03; 81.25; 59.38; 83.33; 39.18
 20.83; 36.11; 84.03; 81.25; 59.38; 83.33; 39.18
           Baseline1         referee-rust wins= 20.83% errs=  0.00% alls=144
           Baseline2         referee-rust wins= 36.11% errs=  0.00% alls=144
                Chad         referee-rust wins= 84.03% errs=  0.00% alls=144
                Coac         referee-rust wins= 81.25% errs=  0.00% alls=144
     OneLaneIsEnough         referee-rust wins= 59.38% errs=  1.39% alls=144
ReinforcedGreediness         referee-rust wins= 83.33% errs=  0.00% alls=144
        referee-rust            Baseline1 wins= 79.17% errs=  0.00% alls=144
        referee-rust            Baseline2 wins= 63.89% errs=  0.00% alls=144
        referee-rust                 Chad wins= 15.97% errs=  0.00% alls=144
        referee-rust                 Coac wins= 18.75% errs=  0.00% alls=144
        referee-rust      OneLaneIsEnough wins= 40.62% errs=  0.00% alls=144
        referee-rust ReinforcedGreediness wins= 16.67% errs=  0.00% alls=144
                Chad wins= 84.03% errs=  0.00% alls=144 avg=168.61± 58.21ms
ReinforcedGreediness wins= 83.33% errs=  0.00% alls=144 avg= 87.52± 74.65ms
                Coac wins= 81.25% errs=  0.00% alls=144 avg= 18.07± 27.22ms
     OneLaneIsEnough wins= 59.38% errs=  1.39% alls=144 avg=  7.23± 18.76ms
        referee-rust wins= 39.18% errs=  0.00% alls=864 avg=  2.83±  0.38ms
           Baseline2 wins= 36.11% errs=  0.00% alls=144 avg=  3.49±  0.45ms
           Baseline1 wins= 20.83% errs=  0.00% alls=144 avg=  2.74±  0.26ms
